NPC编号	对象类型	名称	模型编号	头像	NPC类型	NPC种类ID	响应范围	脚本编号	采集范围	采集动作名	读条时间(ms)	掉落	掉落数量	无拾取物消失时间/秒	最大消失时间/秒	刷新时间	存在时间	宝箱开启前特效	宝箱开启后特效	钥匙数量	钥匙id	NPC特效名称	是否可选中	鼠标形状	模型缩放	开启条件	AI编辑包	拾取规则（0为自由拾取，1为系统分配，2为队伍分配，不填默认为0）	级别	怪物强度	限制创建次数	拾取锁定时间（防止拾取者见利踢人，单位：s）
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	string	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Resource	Photo	NpcType	CKindID	SpringRange	LuaScript	OpenRange	OpenAction	DelayTime	DropID	DropCount	DestroyTime1	DestoryTime2	RefreshTime	LifeTime	BeforeOpenEffect	AfterOpenEffect	KeyNum	KeyID	NpcEffect	SelectState	CursorShape	Scale	ConditionID	AIEditorPackID	AllotType	Level	BossLevel	CountLimit	LockOwnerTime
																																
TeamBoxItem	BoxNpc	组队宝箱的子存储npc	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		100		2	interact041	0					-1							2	9								
																																
BoxNpc00001	BoxNpc	秋夫人的箱子	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3		2	interact041		Boxnpc00001	12	6000000	6000000	-1			DeadPickup				2	9								
BoxNpc00002	BoxNpc	孔雀翎宝箱	npc\itemboxnpc002	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	BoxNpc00002		6000000	6000000	-1		item_open02	item_open03			item_open01	2	9		10376						
BoxNpc00003	BoxNpc	青龙水桶	npc\itemnpc014	icon\funcnpc\itemnpc014.png	161		3		2	interact041	500	BoxNpc00003				-1							2	9								
BoxNpc00004	BoxNpc	男尸	npc\itemnpc151	icon\funcnpc\worldnpc110.png	161		3		2	interact041	5000	BoxNpc00004				-1							2	9								
BoxNpc00005	BoxNpc	疗伤草药	npc\cj_ts0005b		161		3		2	interact041	5000					10000							2	9								
BoxNpc00006	BoxNpc	天心海棠	npc\cj_160050		161		3		2	interact041	5000					10000							2	9								
BoxNpc00007	BoxNpc	朱雀水桶	npc\itemnpc014	icon\funcnpc\itemnpc175.png	161		3		2	interact041	2000	BoxNpc00007				-1							2	9		10376						
BoxNpc00009	BoxNpc	尸体1	npc\kqshiti01	icon\monster\fbnpc00001.png	161		3		2	interact041	5000					-1							2	9								
BoxNpc00010	BoxNpc	尸体2	npc\kqshiti02	icon\monster\fbnpc00001.png	161		3		2	interact041	5000					-1							2	9								
BoxNpc00011	BoxNpc	尸体3	npc\kqshiti03	icon\monster\fbnpc00001.png	161		3		2	interact041	5000					-1							2	9								
BoxNpc00012	BoxNpc	尸体4	npc\kqshiti04	icon\monster\fbnpc00006.png	161		3		2	interact041	5000					-1							2	9								
BoxNpc00013	BoxNpc	尸体5	npc\kqshiti05	icon\monster\fbnpc00006.png	161		3		2	interact041	5000					-1							2	9								
BoxNpc00014	BoxNpc	尸体6	npc\kqshiti06	icon\monster\fbnpc00006.png	161		3		2	interact041	5000					-1							2	9								
BoxNpc00015	BoxNpc	尸体7	npc\kqshiti07	icon\monster\fbnpc00001.png	161		3		2	interact041	5000					-1							2	9								
BoxNpc00017	BoxNpc	穆道人掉落	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3		2	interact041	18000	KongqBoss315	12			-1							2	9				2				
BoxNpc00018	BoxNpc	浮尸	npc\fbnpc00001a	icon\monster\fbnpc00001.png	161		3		2	interact041	5000					-1							2	9								
BoxNpc00019	BoxNpc	骨骸	npc\guhai001	icon\pk\pk_eren.png	161		3		2	interact041	5000					-1							2	9								
BoxNpc00020	BoxNpc	武器架	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3		2	interact041	5000	NormalBox05001				-1							2	9								
BoxNpc00008	BoxNpc	女尸	npc\itemnpc152	icon\funcnpc\worldnpc109.png	161		3		2	interact041	5000	NormalBox05005				-1							2	9								
BoxNpc00016	BoxNpc	宝箱1	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox05003				-1							2	9								
BoxNpc00021	BoxNpc	宝箱2	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox06003				-1							2	9								
BoxNpc00040	BoxNpc	高历掉落	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3		2	interact041	18000	KongqBoss006	8			-1							2	9				2	55	10	1	
																																
BoxNpc00022	BoxNpc	10级宝箱	npc\itemnpc586	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox01003				-1							2	9								
BoxNpc00023	BoxNpc	15级宝箱	npc\itemnpc586	icon\funcnpc\itemnpc005.png	161		3		2	interact041	5000	NormalBox01003				-1							2	9								
