NPC编号	对象类型	名称	隐藏地面贴花	模型编号	头像	类型	NPC种类ID	响应范围	选择操作分类	脚本编号	机关npc类型	机关npc被触发后的执行函数	出生状态	触发机关时的动作	触发后播放的特效	触发后持续添加的buff	NPC阵营	门派	表演时间（ms）	模型缩放	鼠标形状	AI编辑包
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	HideDecal	Resource	Photo	NpcType	CKindID	SpringRange	SelectState	LuaScript	MachineNpcType	SpringFunc	table@BornActionRec	SpringAction	SpringEffect	AddBufferID	Camp	School	ActionTimer	Scale	CursorShape	AIEditorPackID
																						
macclone001010	MachineNpc	星位机关		npc\fbmac00012	icon\funcnpc\clonedoor.png	202		1	0	npc\clone\clone001\macclone001010.lua	-1										0	
MachineNpc00002	MachineNpc	火盆		npc\itemnpc057	icon\funcnpc\clonedoor.png	202		2	0		2			1_stand	E_weaponfire01	buf_fire					0	
macclone001009	MachineNpc	水闸		npc\itemnpc008	icon\funcnpc\clonedoor.png	202		5	0		2			1_stand							0	
MachineNpc00004	MachineNpc	开关3		npc\fbmac00012	icon\funcnpc\clonedoor.png	202		5	0	npc\machine_npc.lua	2			close							0	
MachineNpc00005	MachineNpc	开关4		npc\fbmac00012	icon\funcnpc\clonedoor.png	202		5	0	npc\machine_npc.lua	2			close							0	
MachineNpc00006	MachineNpc	地宫机关		npc\fbmac00012	icon\funcnpc\clonedoor.png	202		5	0	npc\machine_npc.lua	2			open							0	
MachineNpc00007	MachineNpc	金		npc\fbmac00001	icon\funcnpc\clonedoor.png	202		1	0	npc\machine_npc.lua	2			1_stand							0	
MachineNpc00008	MachineNpc	木		npc\fbmac00002	icon\funcnpc\clonedoor.png	202		1	0	npc\machine_npc.lua	2			1_stand							0	
MachineNpc00009	MachineNpc	土		npc\fbmac00003	icon\funcnpc\clonedoor.png	202		1	0	npc\machine_npc.lua	2			1_stand							0	
MachineNpc00010	MachineNpc	水		npc\fbmac00004	icon\funcnpc\clonedoor.png	202		1	0	npc\machine_npc.lua	2			1_stand							0	
