NPC编号	对象类型	名称	隐藏地面贴花	模型编号	头像	类型	NPC种类ID	响应范围	脚本编号	机关npc类型	1：可反复触发，不填默认只能触发1次	初始状态	机关触发后的状态	机关的触发动作	机关的恢复动作	触发后是否需要恢复原来状态0:否    1:是	"默认是否被打开,0:可开启，1：不可开启"	恢复原来状态的时间(ms)	采集动作名	触发读条时间(ms)	触发机关需要物品和提示(物品/个数/扣除表示/不足提示id)	NPC阵营	籍贯	平生	门派	AI编号	巡逻模式	寻路是是否转向	走路速度	跑步速度	路径编号	是否可选中	鼠标形状	机关开启人数（仅SpringMachineNpc可用）（不填则默认为1人）	AI编辑包	是否预载入模型	缩放
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	string
ID	script	Name	HideDecal	Resource	Photo	NpcType	CKindID	SpringRange	LuaScript	MachineNpcType	SpringMode	NormalState	SpringState	SpringAction	ResumeAction	ResumeFlag	UsingFlag	ResumeTime	OpenAction	FlowTime	table@SpringItemList	Camp	Hometown	Story	School	AITemplate	PatrolMode	MotionNoRotate	WalkSpeed	RunSpeed	PathID	SelectState	CursorShape	OpenLessPlayer	AIEditorPackID	PreLoad	Scale
																																					
test_machine_001	SpringMachineNpc	孔雀1号门		npc\fbmac00035	icon\funcnpc\clonedoor.png	173		5		2	1	stand	1_stand			1		10000	interact041	5000	"TaskItemClone005002,2,1,101010"											0	0				
																																					
machineclone001001	SpringMachineNpc		1	npc\fbmac00033	icon\funcnpc\fbmac013023.png	173	4	2	npc\spring_machine_npc.lua	2	1	closeloop	openloop	open	close	1		10000	interact041	5000												2	5				
machineclone001002	SpringMachineNpc		1	npc\fbmac00033	icon\funcnpc\fbmac013023.png	173	4	2	npc\spring_machine_npc.lua	2	1	closeloop	openloop	open	close	1		10000	interact041	5000	"TaskItemClone_001029,1,1,15007"											2	5				
machineclone001003	SpringMachineNpc		1	npc\fbmac00034	icon\funcnpc\fbmac013023.png	173	4	2	npc\spring_machine_npc.lua	2	1	closeloop	openloop	open	close	1		10000	interact041	5000												2	5				
machineclone001004	SpringMachineNpc		1	npc\fbmac00034	icon\funcnpc\fbmac013023.png	173	4	2	npc\spring_machine_npc.lua	2	1	closeloop	openloop	open	close	1		10000	interact041	5000	"TaskItemClone_001029,1,1,15007"											2	5				
machineclone001005	SpringMachineNpc		1	npc\fbmac00035	icon\funcnpc\fbmac013023.png	173	4	2	npc\spring_machine_npc.lua	2	1	closeloop	openloop	open	close	1		10000	interact041	5000												2	5				
machineclone001006	SpringMachineNpc		1	npc\fbmac00035	icon\funcnpc\fbmac013023.png	173	4	2	npc\spring_machine_npc.lua	2	1	closeloop	openloop	open	close	1		10000	interact041	5000	"TaskItemClone_001029,1,1,15007"											2	5				
MachineNpc00220	SpringMachineNpc	青龙外机关	1	npc\fbmac00036	icon\funcnpc\fbmac00036.png	173	4	5	npc\clone\clone001\GotoMachineClone001201.lua	2	1	closeloop	openloop	open	close	1		10000	interact041	5000												2	9				
MachineNpc00221	SpringMachineNpc	白虎外机关	1	npc\fbmac00036	icon\funcnpc\fbmac00036.png	173	4	5	npc\clone\clone001\GotoMachineClone001202.lua	2	1	closeloop	openloop	open	close	1		10000	interact041	5000												2	9				
MachineNpc00222	SpringMachineNpc	朱雀外机关	1	npc\fbmac00036	icon\funcnpc\fbmac00036.png	173	4	5	npc\clone\clone001\GotoMachineClone001203.lua	2	1	closeloop	openloop	open	close	1		10000	interact041	5000												2	9				
MachineNpc00223	SpringMachineNpc	玄武外机关	1	npc\fbmac00036	icon\funcnpc\fbmac00036.png	173	4	5	npc\clone\clone001\GotoMachineClone001204.lua	2	1	closeloop	openloop	open	close	1		10000	interact041	5000												2	9				
MachineNpc00020	SpringMachineNpc	青龙外机关	1	npc\fbmac00036	icon\funcnpc\fbmac00036.png	173	4	5	npc\clone\clone001\GotoMachineClone001001.lua	2	1	closeloop	openloop	open	close	1		10000	interact041	5000												2	9				
MachineNpc00021	SpringMachineNpc	白虎外机关	1	npc\fbmac00036	icon\funcnpc\fbmac00036.png	173	4	5	npc\clone\clone001\GotoMachineClone001002.lua	2	1	closeloop	openloop	open	close	1		10000	interact041	5000												2	9				
MachineNpc00022	SpringMachineNpc	朱雀外机关	1	npc\fbmac00036	icon\funcnpc\fbmac00036.png	173	4	5	npc\clone\clone001\GotoMachineClone001003.lua	2	1	closeloop	openloop	open	close	1		10000	interact041	5000												2	9				
MachineNpc00023	SpringMachineNpc	玄武外机关	1	npc\fbmac00036	icon\funcnpc\fbmac00036.png	173	4	5	npc\clone\clone001\GotoMachineClone001004.lua	2	1	closeloop	openloop	open	close	1		10000	interact041	5000												2	9				
MachineNpc00024	SpringMachineNpc		1	npc\fbmac00036	icon\funcnpc\fbmac00036.png	173	4	5	npc\clone\clone001\GotoMachineClone001005.lua	2	1	closeloop	openloop	open	close	1		10000	interact041	5000												2	5				
																																					
macclone002006	SpringMachineNpc		1	npc\fbmac002013		173	4	2		-1	1	closeloop	openloop	open	close	0		10000	interact041	0												2					
