NPC编号	对象类型	名称	模型编号	脚本编号	AI编号	巡逻模式	寻路是是否转向	走路速度	跑步速度	路径编号	NPC类型	NPC种类ID	响应范围	是否可见	是否可被攻击	是否需要判断高度	Y轴上多近的距离才算触发	是否需要判断矩形触发范围	矩形的边长	矩形的边宽	AI编辑包	触发回调功能	是否可见	存在时间	碰撞形状	碰撞高度	碰撞半径	如果碰撞体配置成矩形柱体 长	如果碰撞体配置成矩形柱体 宽	子弹类型:0 普通子弹只简单碰撞 1火墙类子弹 每秒检查在范围内的对象
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Resource	LuaScript	AITemplate	PatrolMode	MotionNoRotate	WalkSpeed	RunSpeed	PathID	NpcType	CKindID	SpringRange	Invisible	CantBeAttack	NeedYAxisTrigger	Ydistance	NeedRectRangeTrigger	RectLength	RectBoard	AIEditorPackID	RangeEventNum	Invisible	LifeTime	CollideShape	CollideHeight	CollideRadius	CollideRecWidth	CollideRecHeight	BulletType
																														
TriggerNpcClone005001	TriggerNpc	少林出师副本机关用1	npc\itemnpc057								165	4	3	0	1	1	0.5	1	1	1	570									
TriggerNpcClone005002	TriggerNpc	机关寒潭	npc\itemnpc057	npc\clone\clone005\TriggerNpcAddBuffwater.lua							165	4	8	0	1	1	7	1	5	5										
TriggerNpcClone005003	TriggerNpc	机关炭火	npc\itemnpc057	npc\clone\clone005\TriggerNpcAddBufffire.lua							165	4	8	0	1	1	0.5	1	12	12										
TriggerNpcClone005004	TriggerNpc	机关木刺	npc\itemnpc057	npc\clone\clone005\TriggerNpcAddBuffwood.lua							165	4	8	0	1	1	0.5	1	12	12										
TriggerNpcClone005005	TriggerNpc	地板机关	npc\itemnpc057								165	4	12	0	1	1	0.5	1	1	1										
TriggerNpcClone005006	TriggerNpc	钉墙	npc\itemnpc057								165	4	12	0	1	1	0.5	1	1	1										
TriggerNpcClone005007	TriggerNpc	地刺	npc\itemnpc057								165	4	12	0	1	1	0.5	1	1	1										
TriggerNpcClone005008	TriggerNpc	火圈	npc\fbmac00515								165	4	12	0	1	1	0.5	1	1	1										
																														
																														
																														
TriggerNpcClone001001	TriggerNpc	白虎钉墙左	npc\fbmac00027	npc\clone\clone001\TriggerNpcClone001001.lua	3	1	1	0.2	0.2	AI_clone001_019	163	4	20	0	1	1	30	1	31.5	6										
TriggerNpcClone001002	TriggerNpc	白虎钉墙右	npc\fbmac00027	npc\clone\clone001\TriggerNpcClone001001.lua	3	1	1	0.2	0.2	AI_clone001_020	163	4	20	0	1	1	30	1	31.5	6										
TriggerNpcClone001003	TriggerNpc	地钉	npc\worldnpc266	npc\clone\clone001\TriggerNpcClone001001.lua							165	4	5.4	1	1	1	0.5	1	8.3	6.7										
