NPC编号	对象类型	名称	模型编号	头像	采集数量	NPC类型	NPC种类ID	回收时间	响应范围	选择操作分类	鼠标	脚本编号	采集范围	除虫度	干燥度	杂草度	模型路径	采集范围	采集动作名	刷新时间（ms）	读条时间(ms)	采集类型	参数1	参数2	钓鱼难度	回收	掉落	掉落物品	采集地点	最多可采集次数	体力	消耗工具耐久	运营管理读取类别	运营管理读取名称	钓鱼难度	分解技能等级	生活掉落包	生活心得	工具限制ID（不填写表示没有限制）	种植类型	最大HP	当前HP	HP百分比	AI编辑包	是否可以偷取
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Resource	Photo	maxcount	NpcType	CKindID	DestroyTime	SpringRange	SelectState	CursorShape	LuaScript	GatherRange	WormyRatio	DryRatio	WeedRatio	table@model_rec	GatherRange	GatherAction	RefreshTime	DelayTime	GatherType	GatherPara1	GatherPara2	GatherGameDiff	LostItems	DropID	ShowDrop	ShowPoint	MaxCount	NeedEne	UseHardiness	QTypeID	QName	GatherGameDiff	SkinPara2	LifeDropPackage	LifeExpPackage	ToolLimited	CropType	MaxHP	HP	HPRatio	AIEditorPackID	CanSteal
																																													
croppernpc20051	CropNpc	小麦	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	5	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_040047;1,npc\cj_040050;1,npc\cj_040051"	3	life_ys_01	20000	5000	2	sh_nf	1			croppernpc20051	cropper_40082		1			13	13			2013	15		1	100	100	100		0
croppernpc20052	CropNpc	稻子	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	5	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_040047;1,npc\cj_040050;1,npc\cj_040051"	3	life_ys_01	20000	5000	2	sh_nf	1			croppernpc20052	cropper_40083		1			13	13			2014	15		1	100	100	100		0
croppernpc10001	CropNpc	冬笋	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	5	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_040011;1,npc\cj_040011;1,npc\cj_040012"	3	life_ys_01	20000	5000	2	sh_nf	1			croppernpc10001	cropper_40020		1			13	13			1901	15		1	100	100	100		0
croppernpc10002	CropNpc	桂花树	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	9	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_040042;1,npc\cj_040029;1,npc\cj_040030"	3		20000	5000	2	sh_nf	20			croppernpc10002	cropper_40064		1			13	13			1902	15		1	100	100	100		0
croppernpc10003	CropNpc	松树	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	17	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_040031;1,npc\cj_040032;1,npc\cj_040033"	3	life_ys_01	20000	5000	2	sh_nf	40			croppernpc10003	cropper_40065		1			13	13			1903	15		1	100	100	100		0
croppernpc10004	CropNpc	红椒	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	21	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_ty0004c;1,npc\cj_041160a;1,npc\cj_041160b"	3	life_ys_01	20000	5000	2	sh_nf	50			croppernpc10004	cropper_40007		1			13	13			1904	15		1	100	100	100		0
croppernpc10005	CropNpc	韭菜	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	21	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_ty0001c;1,npc\cj_040017;1,npc\cj_040018"	3	life_ys_01	20000	5000	2	sh_nf	50			croppernpc10005	cropper_40067		1			13	13			1905	15		1	100	100	100		0
croppernpc10006	CropNpc	黄花菜	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	33	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_ty0004c;1,npc\cj_040003;1,npc\cj_040004"	3	life_ys_01	20000	5000	2	sh_nf	80			croppernpc10006	cropper_40013		1			13	13			1906	15		1	100	100	100		0
croppernpc10007	CropNpc	山药	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	41	20	7	7	npc\gather_npc.lua	20	10		10	"2,npc\cj_ty0004c;2,npc\cj_040013;2,npc\cj_040014"	3	life_ys_01	20000	5000	2	sh_nf	100			croppernpc10007	cropper_40022		1			13	13			1907	15		1	100	100	100		0
croppernpc10008	CropNpc	栗子	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	41	20	7	7	npc\gather_npc.lua	20	10		10	"2,npc\cj_040015;2,npc\cj_040016;2,npc\cj_040045"	3	life_ys_01	20000	5000	2	sh_nf	100			croppernpc10008	cropper_40023		1			13	13			1908	15		1	100	100	100		0
croppernpc10009	CropNpc	朝天椒	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	45	20	7	7	npc\gather_npc.lua	20	10		10	"2,npc\cj_ty0004c;2,npc\cj_041160a;2,npc\cj_041160b"	3	life_ys_01	20000	5000	2	sh_nf	110			croppernpc10009	cropper_40027		1			13	13			1909	15		1	100	100	100		0
croppernpc10010	CropNpc	香菜	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	57	20	7	7	npc\gather_npc.lua	20	10		10	"2,npc\cj_ty0001c;2,npc\cj_ty0003c;2,npc\cj_ty0003a"	3	life_ys_01	20000	5000	2	sh_nf	140			croppernpc10010	cropper_40071		1			13	13			1910	15		1	100	100	100		0
croppernpc10011	CropNpc	大蒜	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	61	20	7	7	npc\gather_npc.lua	20	10		10	"2,npc\cj_040040;2,npc\cj_ty0002a;2,npc\cj_041120a"	3	life_ys_01	20000	5000	2	sh_nf	150			croppernpc10011	cropper_40029		1			13	13			1911	15		1	100	100	100		0
croppernpc10012	CropNpc	香菇	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	65	20	7	7	npc\gather_npc.lua	20	10		10	"2,npc\cj_ty0002c;2,npc\cj_ty0004a;2,npc\cj_ty0004b"	3	life_ys_01	20000	5000	2	sh_nf	160			croppernpc10012	cropper_40042		1			13	13			1912	15		1	100	100	100		0
croppernpc10013	CropNpc	竹笋	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	77	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_ty0003c;3,npc\cj_040001;3,npc\cj_040002"	3	life_ys_01	20000	5000	2	sh_nf	190			croppernpc10013	cropper_40051		1			13	13			1913	15		1	100	100	100		0
croppernpc10014	CropNpc	茭白	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	81	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_040040;3,npc\cj_040017;3,npc\cj_040018"	3	life_ys_01	20000	5000	2	sh_nf	200			croppernpc10014	cropper_40046		1			13	13			1914	15		1	100	100	100		0
croppernpc10015	CropNpc	胡椒	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	89	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_ts0001a;3,npc\cj_ty0001a;3,npc\cj_ty0001b"	3	life_ys_01	20000	5000	2	sh_nf	220			croppernpc10015	cropper_40050		1			13	13			1915	15		1	100	100	100		0
croppernpc10016	CropNpc	沙葱	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	89	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_ty0001c;3,npc\cj_ty0002a;3,npc\cj_041120a"	3	life_ys_01	20000	5000	2	sh_nf	220			croppernpc10016	cropper_40055		1			13	13			1916	15		1	100	100	100		0
croppernpc10017	CropNpc	冬菇	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	97	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_ty0002c;3,npc\cj_ty0004a;3,npc\cj_ty0004b"	3	life_ys_01	20000	5000	2	sh_nf	240			croppernpc10017	cropper_40060		1			13	13			1917	15		1	100	100	100		0
croppernpc10018	CropNpc	芝麻	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	5	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_ty0004c;1,npc\cj_040027;1,npc\cj_040028"	3	life_ys_01	20000	5000	2	sh_nf	1			croppernpc10018	cropper_40063		1			13	13			1918	15		1	100	100	100		0
croppernpc10019	CropNpc	白菜	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	69	20	7	7	npc\gather_npc.lua	20	10		10	"2,npc\cj_ty0003a;2,npc\cj_041210a;2,npc\cj_041210b"	3	life_ys_01	20000	5000	2	sh_nf	170			croppernpc10019	"cropper_40036,cropper_40059"		1			13	13			1919	15		1	100	100	100		0
																																													
croppernpc10021	CropNpc	茄子	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	73	20	7	7	npc\gather_npc.lua	20	10		10	"3,npc\cj_ty0001a;3,npc\cj_ty0001b;3,npc\cj_ts0001b"	3	life_ys_01	20000	5000	2	sh_nf	180			croppernpc10021	cropper_40038		1			13	13			1921	15		1	100	100	100		0
croppernpc10022	CropNpc	黄豆	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	25	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_ty0001a;2,npc\cj_040007;2,npc\cj_040008"	3	life_ys_01	20000	5000	2	sh_nf	60			croppernpc10022	cropper_40015		1			13	13			1922	15		1	100	100	100		0
croppernpc10023	CropNpc	生姜	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	33	20	7	7	npc\gather_npc.lua	20	10		10	"1,npc\cj_040003;2,npc\cj_040009;2,npc\cj_040010"	3	life_ys_01	20000	5000	2	sh_nf	80			croppernpc10023	cropper_40016		1			13	13			1923	15		1	100	100	100		0
croppernpc10024	CropNpc	番茄	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	45	20	7	7	npc\gather_npc.lua	20	10		10	"2,npc\cj_ty0001a;2,npc\cj_ts0002a;2,npc\cj_ts0002b"	3	life_ys_01	20000	5000	2	sh_nf	110			croppernpc10024	cropper_40019		1			13	13			1924	15		1	100	100	100		0
croppernpc10025	CropNpc	柠檬树	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	53	20	7	7	npc\gather_npc.lua	20	10		10	"2,npc\cj_040042;2,npc\cj_040034;2,npc\cj_040035"	3		20000	5000	2	sh_nf	130			croppernpc10025	cropper_40068		1			13	13			1925	15		1	100	100	100		0
croppernpc10026	CropNpc	苹果树	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	53	20	7	7	npc\gather_npc.lua	20	10		10	"2,npc\cj_040042;2,npc\cj_040019;2,npc\cj_040020"	3		20000	5000	2	sh_nf	130			croppernpc10026	cropper_40031		1			13	13			1926	15		1	100	100	100		0
croppernpc10027	CropNpc	丁香	npc\cj_040101	icon\funcnpc\cj_040001.png	1	201	9	65	20	7	7	npc\gather_npc.lua	20	10		10	"2,npc\cj_040042;2,npc\cj_040019;2,npc\cj_040036"	3	life_ys_01	20000	5000	2	sh_nf	160			croppernpc10027	cropper_40073		1			13	13			1927	15		1	100	100	100		0
