NPC编号	对象类型	名称	模型编号	NPC种类ID	NPC类型	响应范围	传送门开关	脚本编号	传送包编号	AI编辑包	传送门通过的条件包ID
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Resource	CKindID	NpcType	SpringRange	IsClose	LuaScript	DoorPackageID	AIEditorPackID	ConditionID
											
DoorTest	Door	实验传送门	ini\scene\city02_SuZhou	4	41	5	0		1		
											
	//跨场景传送门										
DoorNpc00001	Door	前往燕京	npc\funcnpc019	4	41	8	0		1		
											
DoorNpc00002	Door	前往洛阳	npc\funcnpc019	4	41	8	0		2		
DoorNpc00003	Door	前往塞外大漠	npc\funcnpc019	4	41	8	0		3		
											
DoorNpc00004	Door	前往苏州	npc\funcnpc019	4	41	8	0		4		
											
DoorNpc00005	Door	前往成都	npc\funcnpc019	4	41	8	0		5		
DoorNpc00006	Door	前往凌霄城	npc\funcnpc019	4	41	8	0		6		28276
DoorNpc00088	Door	前往明教	npc\funcnpc019	4	41	8	0		2133		116238
											
DoorNpc00007	Door	前往燕京	npc\funcnpc019	4	41	8	0		7		
											
DoorNpc00008	Door	前往燕京	npc\funcnpc019	4	41	8	0		8		
											
DoorNpc00009	Door	前往苏州	npc\funcnpc019	4	41	8	0		9		
											
DoorNpc00010	Door	前往苏州	npc\funcnpc019	4	41	8	0		10		
											
DoorNpc00011	Door	前往成都	npc\funcnpc019	4	41	8	0		11		
											
DoorNpc00012	Door	前往成都	npc\funcnpc019	4	41	8	0		12		
											
DoorNpc00013	Door	前往洛阳	npc\funcnpc019	4	41	8	0		13		
											
DoorNpc00014	Door	前往洛阳	npc\funcnpc019	4	41	8	0		14		
											
DoorNpc00015	Door	前往燕京	npc\funcnpc019	4	41	8	1		15		
											
DoorNpc00016	Door	前往燕京	npc\funcnpc019	4	41	8	1		16		
											
DoorNpc00017	Door	前往燕京	npc\funcnpc019	4	41	8	1		17		
											
DoorNpc00018	Door	前往成都	npc\funcnpc019	4	41	8	1		18		
											
DoorNpc00019	Door	前往成都	npc\funcnpc019	4	41	8	1		19		
											
DoorNpc00020	Door	前往千灯镇	npc\funcnpc019	4	41	8	1		20		
											
DoorNpc00021	Door	前往苏州	npc\funcnpc019	4	41	8	1		21		
											
DoorNpc00022	Door	前往恶人谷	npc\funcnpc019	4	41	8	0		22		
											
DoorNpc00023	Door	前往洛阳	npc\funcnpc019	4	41	8	1		23		
											
DoorNpc00089	Door	前往恶人谷	npc\funcnpc019	4	41	8	0		2134		
											
DoorNpc00090	Door	前往神机营	npc\funcnpc019	4	41	8	0		2142		116832
											
DoorNpc00091	Door	前往燕京	npc\funcnpc019	4	41	8	0		2143		
											
DoorNpc00092	Door	前往天山派	npc\funcnpc019	4	41	8	0		2159		117309
											
DoorNpc00093	Door	前往塞外大漠	npc\funcnpc019	4	41	8	0		2160		
											
DoorNpc00024	Door	前往鸡鸣驿	npc\funcnpc019	4	41	8	0		24		
DoorNpc00025	Door	前往锦衣卫	npc\funcnpc019	4	41	8	0		25		
DoorNpc00026	Door	前往丐帮	npc\funcnpc019	4	41	8	0		26		
DoorNpc00027	Door	前往幽云十六州	npc\funcnpc019	4	41	8	1		27		
DoorNpc00028	Door	前往蓬莱仙境	npc\funcnpc019	4	41	8	1		28		
DoorNpc00029	Door	前往泛黄平原	npc\funcnpc019	4	41	8	1		29		
DoorNpc00030	Door	前往金陵	npc\funcnpc019	4	41	8	0		30		
											
DoorNpc00031	Door	前往烟雨庄	npc\funcnpc019	4	41	8	0		31		
DoorNpc00032	Door	前往君子堂	npc\funcnpc019	4	41	8	0		32		
DoorNpc00033	Door	前往极乐谷	npc\funcnpc019	4	41	8	0		33		
DoorNpc00034	Door	前往梅花岭	npc\funcnpc019	4	41	8	1		34		
DoorNpc00035	Door	前往金陵	npc\funcnpc019	4	41	8	0		35		
											
DoorNpc00036	Door	前往恶人谷	npc\funcnpc019	4	41	8	0		36		
DoorNpc00037	Door	前往塞北草原	npc\funcnpc019	4	41	8	1		37		
DoorNpc00038	Door	前往武当	npc\funcnpc019	4	41	8	0		38		
DoorNpc00039	Door	前往少林	npc\funcnpc019	4	41	8	0		39		
DoorNpc00040	Door	前往金陵	npc\funcnpc019	4	41	8	0		40		
											
DoorNpc00041	Door	前往千灯镇	npc\funcnpc019	4	41	8	0		41		
DoorNpc00042	Door	前往唐门	npc\funcnpc019	4	41	8	0		42		
DoorNpc00043	Door	前往峨眉	npc\funcnpc019	4	41	8	0		43		
DoorNpc00044	Door	前往向阳坡	npc\funcnpc019	4	41	8	0		44		27879
DoorNpc00045	Door	前往念萝坝	npc\funcnpc019	4	41	8	0		65		110007
DoorNpc00046	Door	前往金陵	npc\funcnpc019	4	41	8	0		46		
DoorNpc00074	Door	前往成都	npc\funcnpc019	4	41	8	0		2072		
											
DoorNpc00047	Door	前往燕京	npc\funcnpc019	4	41	8	0		47		
DoorNpc00048	Door	前往苏州	npc\funcnpc019	4	41	8	0		48		
DoorNpc00049	Door	前往洛阳	npc\funcnpc019	4	41	8	0		49		
DoorNpc00050	Door	前往成都	npc\funcnpc019	4	41	8	0		50		
											
DoorNpc00051	Door	城内部传送1	npc\funcnpc019	4	41	8	0		51		
DoorNpc00052	Door	城内部传送2	npc\funcnpc019	4	41	8	0		52		
											
DoorNpc00058	Door	前往大漠鬼城	npc\funcnpc019	4	41	8	0		58		
DoorNpc00059	Door	前往塞外大漠	npc\funcnpc019	4	41	8	0		59		
DoorNpc00060	Door	前往华山	npc\funcnpc019	4	41	8	0		60		
DoorNpc00061	Door	前往洛阳	npc\funcnpc019	4	41	8	0		61		
											
DoorNpc00062	Door	前往移花宫	npc\itemnpc057	4	47	8	0		1126		102184
DoorNpc00063	Door	前往成都	npc\itemnpc057	4	47	8	0		1127		102184
											
DoorNpc00064	Door	前往桃花岛	npc\funcnpc019	4	41	8	0		1137		102184
DoorNpc00065	Door	前往苏州	npc\funcnpc019	4	41	8	0		1138		
											
DoorNpc00066	Door	前往无根门	npc\itemnpc057_jlg01	4	41	8	0		1128		101996
											
DoorNpc00067	Door	前往古墓派	npc\funcnpc019	4	41	8	0		63		
DoorNpc00068	Door	前往燕京	npc\funcnpc019	4	41	8	0		62		
											
DoorNpc00069	Door	念萝坝前往成都	npc\funcnpc019	4	41	8	0		64		110007
											
DoorNpc00070	Door	洛阳前往华山	npc\funcnpc019	4	41	8	0		66		111329
											
DoorNpc00071	Door	鸡鸣驿前往神水宫	npc\funcnpc019	4	41	8	0		2039		
