NPC编号	对象类型	名称	模型编号	头像	类型	响应范围	选择操作分类	脚本编号	交互家具类型	交互动作	交互家具最大使用次数	持续时间(min)	开始buffer	开始buffer_正太萝莉	奖励buffer1	奖励buffer2	NPC种类ID	玩家角度偏移	玩家坐标偏移	回复房屋耐久	家具使用条件	光源Buff	增加华丽度	玩家使用cd buffer	最大同时使用人数	存在时间(毫秒)	风水值	检索范围	最多有效风水家具数量	家具关系	AI编辑包	家具CD	共用绑定点	共用类型	NPC优先显示	NPC交互一	NPC交互二	NPC多重交互	灯的状态	家具绿圈隐藏	出生状态	家具新冷却
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	string	STRING
ID	script	Name	Resource	Photo	NpcType	SpringRange	SelectState	LuaScript	InterFurnType	InterAction	MaxUseCount	InUsingTime	StartBufferID	StartBufferID_New	FirAwardBufferID	SecAwardBufferID	CKindID	OffsetO	Offset	RepairNum	UseCondition	EffectBuffer	pretty	PlayerCDBufferID	MaxPlayerCount	LifeTime	fengshui	relationrange	maxcheckcount	furnituretype	AIEditorPackID	CoolDownTime	table@ShareFurnBindRec	ShareType	RefreshAtonce	FirstSelect	SecondSelect	MoreInter	LightState	HideDecal	table@BornActionRec	UseCoolDownBigID
interfurn1	InterFurnNpc	交互家具	npc\fbnpc00009	icon\funcnpc\cj_040001.png	333	5	2		4	life_ys_01		1	buf_CS_jh_tlq03		buf_CS_jh_tlq03	buf_CS_jh_tlq03																								1		
																																										
																																										
home_xiulian_putuan_001	InterFurnNpc	蒲团-1	npc\itemnpc909	icon\funcnpc\cj_040001.png	333	5	2		0	ng_state_1		1	buf_jj_tongyong	buf_jj_tongyong	buf_jj_pt_001_bf	buf_jj_pt_001_1_bf					27148		5	buf_jj_not_pt	1		1	2	6	4		6								1		624
home_xiulian_putuan_002	InterFurnNpc	蒲团-2	npc\itemnpc910	icon\funcnpc\cj_040001.png	333	5	2		0	ng_state_1		1	buf_jj_tongyong	buf_jj_tongyong	buf_jj_pt_002_bf	buf_jj_pt_002_1_bf					27148		20	buf_jj_not_pt	1		2	2	6	4		6								1		624
home_xiulian_putuan_003	InterFurnNpc	蒲团-3	npc\itemnpc911	icon\funcnpc\cj_040001.png	333	5	2		0	ng_state_1		1	buf_jj_tongyong	buf_jj_tongyong	buf_jj_pt_003_bf	buf_jj_pt_003_1_bf					27148		40	buf_jj_not_pt	1		3	2	6	4		6								1		624
home_xiulian_putuan_004	InterFurnNpc	蒲团-4	npc\itemnpc912	icon\funcnpc\cj_040001.png	333	5	2		0	ng_state_1		1	buf_jj_tongyong	buf_jj_tongyong	buf_jj_pt_004_bf	buf_jj_pt_004_1_bf					27148		70	buf_jj_not_pt	1		4	2	6	4		6								1		624
home_xiulian_putuan_005	InterFurnNpc	蒲团-5	npc\itemnpc913	icon\funcnpc\cj_040001.png	333	5	2		0	ng_state_1		1	buf_jj_tongyong	buf_jj_tongyong	buf_jj_pt_005_bf	buf_jj_pt_005_1_bf					27148		120	buf_jj_not_pt	1		5	2	6	4		6								1		624
home_xiulian_putuan_006	InterFurnNpc	蒲团-6	npc\itemnpc914	icon\funcnpc\cj_040001.png	333	5	2		0	ng_state_1		1	buf_jj_tongyong	buf_jj_tongyong	buf_jj_pt_006_bf	buf_jj_pt_006_1_bf					27148		200	buf_jj_not_pt	1		6	2	6	4		6								1		624
																																										
																																										
home_xiulian_yuchi_mu_001	InterFurnNpc	浴桶-1	npc\itemnpc921	icon\funcnpc\cj_040001.png	333	5	2		1	interact471		1	buf_jj_using_yt	buf_jj_using_yt_new				1.5			27148		5	buf_jj_not_yt	1		1	3	3	5	3149									1		
home_xiulian_yuchi_mu_002	InterFurnNpc	浴桶-2	npc\itemnpc922	icon\funcnpc\cj_040001.png	333	5	2		1	interact471		1	buf_jj_using_yt	buf_jj_using_yt_new				-1.6			27148		20	buf_jj_not_yt	1		2	3	3	5	3149									1		
home_xiulian_yuchi_mu_003	InterFurnNpc	浴桶-3	npc\itemnpc923	icon\funcnpc\cj_040001.png	333	5	2		1	interact471		1	buf_jj_using_yt	buf_jj_using_yt_new				-1.6			27148		40	buf_jj_not_yt	1		3	3	3	5	3149									1		
home_xiulian_yuchi_shi_001	InterFurnNpc	浴桶-1	npc\itemnpc924	icon\funcnpc\cj_040001.png	333	5	2		1	interact471		1	buf_jj_using_yt_c	buf_jj_using_yt_new_1				1.5			27148		5	buf_jj_not_yt	1		1	3	3	5	3149									1		
home_xiulian_yuchi_shi_002	InterFurnNpc	浴桶-2	npc\itemnpc925	icon\funcnpc\cj_040001.png	333	5	2		1	interact471		1	buf_jj_using_yt_c	buf_jj_using_yt_new_1				1.5			27148		20	buf_jj_not_yt	1		2	3	3	5	3149									1		
home_xiulian_yuchi_shi_003	InterFurnNpc	浴桶-3	npc\itemnpc926	icon\funcnpc\cj_040001.png	333	5	2		1	interact471		1	buf_jj_using_yt_c	buf_jj_using_yt_new_1				1.5			27148		40	buf_jj_not_yt	1		3	3	3	5	3149									1		
home_xiulian_yuchi_mu_gg	CommonNpc	浴桶-客栈	npc\npcitem911	icon\funcnpc\cj_040001.png	333	5	2		1	interact471		1	buf_jj_using_yt	buf_jj_using_yt_new				-1.6			27148			buf_jj_not_yt_gg	9999						3149									1		
																																										
home_xiulian_yanxi_001	InterFurnNpc	宴席-1	npc\itemnpc710		333	5	2		6	life_chi_01	8	1	buf_jj_ty_chair	buf_jj_ty_chair_new	buf_yanxi_01	buf_yanxi_01		0	1.1		27148			buf_jj_not_yx	4															1		625
