NPC编号	对象类型	名称	表现AI包编号	选择操作	鼠标形状	是否转身	走路速度	跑步速度	武器持握方式	模型编号	AI类型	响应范围	是否可见	NPC类型	光圈npc config	有效半径	光圈npc坐标点	光圈npc坐标点	光圈npc坐标点	光圈npc坐标点	光圈npc坐标点	光圈npc坐标点	条件限制	站对以后添加buff	延迟销毁时间	仪式NPC(普通0豪华1)	空气墙npc	空气墙npc坐标	传出点	中心点NPC	中心点坐标	检测半径	拉蒲团坐标点(2人)	拉蒲团坐标点(3人)	拉蒲团坐标点(4人)	拉蒲团坐标点(5人)	拉蒲团坐标点(6人)	抗关刀npc	多人光圈NPC（溶血）	多人光圈NPC（举酒）	开始时的电影id	总结时的电影id	抗关刀npc坐标
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	FLOAT	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING
ID	script	Name	AIParaNo	SelectState	CursorShape	NeedRotate	WalkSpeed	RunSpeed	WeaponMode	Resource	AITemplate	SpringRange	Invisible	NpcType	HaloNpcConfig	HaloRaduis	HaloPoint1	HaloPoint2	HaloPoint3	HaloPoint4	HaloPoint5	HaloPoint6	HaloCondition	SomeHaloBuff	SomeHaloDelay	SeremonyType	NpcKeepOut	PointNpcKeepOut	PointKeepOut	NpcCenter	PointCenter	RaduisKeepOut	PutuanPoint2	PutuanPoint3	PutuanPoint4	PutuanPoint5	PutuanPoint6	NpcGuandao	NpcSomehaloRX	NpcSomehaloJJ	MovieStart	MovieSum	PointNpcGuandao
jb_jvjiu_cd2	SomeHaloNpc	举酒立誓2人（成都）	8	2	2		1.25	4	hand1_1	npc\worldnpc140	3	8	1	709	sworn_gq_001	0.5	"572.4,14.0,1082.2,1.2"	"573.9,14.0,1082.9,-2.0"						buff_jiebai_jjls	2																		
jb_jvjiu_cd3	SomeHaloNpc	举酒立誓3人（成都）	8	2	2		1.25	4	hand1_1	npc\worldnpc140	3	8	1	709	sworn_gq_001	0.5	"572.8,14.0,1083.3,2.7"	"573.1,14.0,1081.7,0.1"	"573.8,14.0,1082.1,-1.0"					buff_jiebai_jjls	2																		
jb_jvjiu_cd4	SomeHaloNpc	举酒立誓4人（成都）	8	2	2		1.25	4	hand1_1	npc\worldnpc140	3	8	1	709	sworn_gq_001	0.5	"573.1,14.0,1081.7,0.1"	"573.8,14.0,1082.1,-1.0"	"573.3,14.0,1083.3,-2.9"	"572.5,14.0,1083.0,2.1"				buff_jiebai_jjls	2																		
jb_jvjiu_cd5	SomeHaloNpc	举酒立誓5人（成都）	8	2	2		1.25	4	hand1_1	npc\worldnpc140	3	8	1	709	sworn_gq_001	0.5	"572.8,14.0,1083.3,2.7"	"572.4,14.0,1082.2,1.2"	"573.9,14.0,1082.9,-2.0"	"573.1,14.0,1081.7,0.1"	"573.8,14.0,1082.1,-1.0"			buff_jiebai_jjls	2																		
jb_jvjiu_cd6	SomeHaloNpc	举酒立誓6人（成都）	8	2	2		1.25	4	hand1_1	npc\worldnpc140	3	8	1	709	sworn_gq_001	0.5	"572.4,14.0,1082.2,1.2"	"573.1,14.0,1081.7,0.1"	"573.8,14.0,1082.1,-1.0"	"573.9,14.0,1082.9,-2.0"	"573.3,14.0,1083.3,-2.9"	"572.5,14.0,1083.0,2.1"		buff_jiebai_jjls	2																		
jb_jvjiu_sz2	SomeHaloNpc	举酒立誓2人（苏州）	8	2	2		1.25	4	hand1_1	npc\worldnpc140	3	8	1	709	sworn_gq_001	0.5	"895.74,10.94,464.33,1.62"	"897.46,10.77,464.30,-1.48"						buff_jiebai_jjls	2																		
jb_jvjiu_sz3	SomeHaloNpc	举酒立誓3人（苏州）	8	2	2		1.25	4	hand1_1	npc\worldnpc140	3	8	1	709	sworn_gq_001	0.5	"896.5,10.9,465.3,-3.1"	"896.10,10.94,463.57,0.58"	"896.98,10.92,463.55,-0.49"					buff_jiebai_jjls	2																		
jb_jvjiu_sz4	SomeHaloNpc	举酒立誓4人（苏州）	8	2	2		1.25	4	hand1_1	npc\worldnpc140	3	8	1	709	sworn_gq_001	0.5	"896.5,10.9,465.3,-3.1"	"896.10,10.94,463.57,0.58"	"896.98,10.92,463.55,-0.49"	"896.5,10.9,463.6,-0.0"				buff_jiebai_jjls	2																		
