NPC编号	对象类型	名称	模型编号	NPC类型	走路速度	跑步速度	相对位置	子怪物	巡逻模式	AI类型	追击范围	路径编号	能否死亡	脚本编号	AI编辑包
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Resource	NpcType	WalkSpeed	RunSpeed	PosList	ChildList	PatrolMode	AITemplate	ChaseRange	PathID	CanDead	LuaScript	AIEditorPackID
															
Leader00001	TeamLeaderNpc	傻子	npc\monster016	11	1.2	3	"0,1;-1,-1;1,-1"	Monster00001;Monster00003;Monster00001	1	6	20	normal_path_009	0		
															
Leader_monv031190	TeamLeaderNpc	逃匿山贼_巡逻_桥上_2人	npc\monster016	11	1	5	"-1,0;1,0"	monv031100;monv031100	1	6	20	monv031190	0		
Leader_monv031191	TeamLeaderNpc	逃匿山贼_巡逻_桥外三点_2人	npc\monster016	11	1	5	"0,0;0,-1"	monv031100;monv031100	1	6	20	monv031191	0		
Leader_monv031192	TeamLeaderNpc	逃匿山贼_巡逻_庙边1_1人	npc\monster016	11	1	5	"0,0"	monv031100	1	6	20	monv031192	0		
Leader_monv031193	TeamLeaderNpc	逃匿山贼_巡逻_庙边2_1人	npc\monster016	11	1	5	"0,0"	monv031100	1	6	20	monv031193	0		
															
Leader_sl_001	TeamLeaderNpc	恶商打手队	npc\monster016	11	1.2	6	"0,0;-1,-1;1,-1"	FightFuncNpc00204b;FightFuncNpc00201b;FightFuncNpc00201b	1	6	20	AI_sl_004	0		
															
Leader_xinshi01	TeamLeaderNpc	信使	npc\itemnpc057	11	1.5	5	"0,1;-1,-1;1,-1"	monf044300;monrf041000;monrf041000	1	6	30	AI_xinshi01	1		
															
Leader_xinshi02	TeamLeaderNpc	夺命恶徒	npc\worldnpc124	11	1.5	5	"0,1;-1,-1;1,-1"	monm010500;monm010500;monm010500	1	6	30	school01_mst01	1		
															
Leader_shaolin01	TeamLeaderNpc	少林藏经阁巡逻3人	npc\worldnpc124	11	1.5	5	"0,1;-1,-1;1,-1"	monm080300;monm080300;monm080300	1	6	30	school08_01	1		
Leader_shaolin02	TeamLeaderNpc	达摩洞巡逻1人	npc\worldnpc124	11	1.5	5	"0,1;-1,-1;1,-1"	monm084700	1	6	30	school08_02	1		
Leader_shaolin03	TeamLeaderNpc	二祖庵巡逻1人a	npc\worldnpc124	11	1.5	5	"0,1;-1,-1;1,-1"	monm084600	1	6	30	school08_03	1		
Leader_shaolin04	TeamLeaderNpc	二祖庵巡逻1人b	npc\worldnpc124	11	1.5	5	"0,1;-1,-1;1,-1"	monm084500	1	6	30	school08_04	1		
Leader_shaolin05	TeamLeaderNpc	塔林巡逻1人a	npc\worldnpc124	11	1.5	5	"0,1;-1,-1;1,-1"	monm084300	1	6	30	school08_05	1		
Leader_shaolin06	TeamLeaderNpc	塔林巡逻1人b	npc\worldnpc124	11	1.5	5	"0,1;-1,-1;1,-1"	monm084300	1	6	30	school08_06	1		
Leader_shaolin07	TeamLeaderNpc	塔林巡逻1人c	npc\worldnpc124	11	1.5	5	"0,1;-1,-1;1,-1"	monm084400	1	6	30	school08_07	1		
Leader_shaolin08	TeamLeaderNpc	塔林巡逻1人d	npc\worldnpc124	11	1.5	5	"0,1;-1,-1;1,-1"	monm084200	1	6	30	school08_08	1		
Leader_shaolin09	TeamLeaderNpc	塔林巡逻1人e	npc\worldnpc124	11	1.5	5	"0,1;-1,-1;1,-1"	monm084100	1	6	30	school08_09	1		
Leader_shaolin10	TeamLeaderNpc	太平村巡逻2人a	npc\worldnpc124	11	1.5	5	"0,1;-1,-1;1,-1"	monm081700;monm081700	1	6	30	school08_10	1		
Leader_shaolin11	TeamLeaderNpc	太平村巡逻2人b	npc\worldnpc124	11	1.5	5	"0,1;-1,-1;1,-1"	monm081700;monm081700	1	6	30	school08_11	1		
Leader_shaolin12	TeamLeaderNpc	太平村巡逻1人c	npc\worldnpc124	11	1.5	5	"0,1;-1,-1;1,-1"	monm081700	1	6	30	school08_12	1		
Leader_shaolin13	TeamLeaderNpc	太平村巡逻1人d	npc\worldnpc124	11	1.5	5	"0,1;-1,-1;1,-1"	monm082200	1	6	30	school08_13	1		
Leader_shaolin14	TeamLeaderNpc	太平村巡逻1人e	npc\worldnpc124	11	1.5	5	"0,1;-1,-1;1,-1"	monm081300	1	6	30	school08_14	1		
Leader_shaolin15	TeamLeaderNpc	太平村巡逻2人f	npc\worldnpc124	11	1.5	5	"0,1;-1,-1;1,-1"	monm081100;monm081200	1	6	30	school08_15	1		
Leader_shaolin16	TeamLeaderNpc	太平村巡逻1人g	npc\worldnpc124	11	1.5	5	"0,1;-1,-1;1,-1"	monm081600	1	6	30	school08_16	1		
Leader_shaolin17	TeamLeaderNpc	太平村巡逻1人h	npc\worldnpc124	11	1.5	5	"0,1;-1,-1;1,-1"	monm081600	1	6	30	school08_17	1		
