NPC编号	对象类型	ini注释名称	脚本编号	Npc类型	实力包编号	级别	修为经验	怪物强度	掉落	表现AI包编号	AI类型	主动被动	响应范围	NPC种类ID	模型编号	性别	模型半径	图片	npc声音	材质类型	脚本编号	技能表	护送类型	护送目标场景编号	护送目标点X	护送目标点Z	能否攻击	能不能被攻击	不能被杀死	护送事件表	锁定位移攻击	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	触发特效	巡逻模式	巡逻半径	"追击范围,米"	路径ID	是否随机出现	武器持握方式	武器名称	武器类型	刷新时间	随机动作	出生状态	走路速度	跑步速度	能否移动	是否转身	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	进入切磋前对话	结束切磋后对话	空闲状态对话	进入战斗对话	脱离战斗对话	死亡对话	召唤对话	受到伤害状态对话	战斗AI命令表	敌人NPC编号表	队友编号	攻击防御比重	"战斗频率,毫秒"	使用锁定技能概率	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	附加随机能力编号	普通攻击	是否停止AI	AI编辑包	生存时间	轻功	直接触发	缩放	格挡方式(-1表示不格挡)	破防几率	动作集	势力归属
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	LuaScript	NpcType	PowerNo	Level	FacultyExp	BossLevel	DropID	AIParaNo	AITemplate	NotPositive	SpringRange	CKindID	Resource	Gender	CollideRadius	Photo	ActionSoundMode	Material	LuaScript	table@SkillRec	ConvoyType	TargetScene	TargetPosX	TargetPosZ	CantAttack	CantBeAttack	CantBeKilled	table@ConvoyEventRec	Fixed	SelectState	PickChangeTime	DestroyTime1	DestroyTime2	SpringEffect	PatrolMode	PatrolRange	ChaseRange	PathID	RandomBorn	WeaponMode	WeaponName	WeaponType	RefreshTime	RandomAction	table@BornActionRec	WalkSpeed	RunSpeed	CantMove	NeedRotate	School	Call	Hometown	Camp	SNameTable	StoryTable	Story	BeginQiecuoTalk	EndQiecuoTalk	FreeTalk	BeginFightTalk	EndFightTalk	DieTalk	SummonTalk	BeAttackTalk	table@PlusHandleRec	table@EnemyNpcRec	FriendNpc	AttackRate	AIFightFreq	UseLockRate	SkillHoldTime	CallHelpID	CallHelpRange	CallHelpType	ShowRate	ShowTime	AddPropID	NormalSkill	StopAI	AIEditorPackID	LifeTime	UseQingGong	DirectSpring	Scale	ParrayID	AIBreakParryRate	ActionSet	SelfForceID
	//护送任务Npc(剧情任务)																																																																																									
Convoy00001	ConvoyNpc	护送NPC示例		110	1	10		1			4	0	10	0	npc\monster058		0.857726	icon\monster\monster058.png					1	6	450	777	0	0				2	40	20	60		0	0	50			hand1_2			-1			1.3	4.5						1																3500																			
Convoy00002	ConvoyNpc	护送NPC示例		110	1	10		1			4	0	10	0	npc\monster058		0.857726	icon\monster\monster058.png					2	4	610	698	0	0				2	40	20	60		0	0	50			hand1_2			-1			1.3	4.5						1																3500																			
Convoy00003	ConvoyNpc	护送NPC示例		110	1	10		1			4	0	6	0	npc\monster058		0.857726	icon\monster\monster058.png					3				0	0		"10,2;30,2;60,0"		2	40	20	60		0	0	0			hand1_2			-1			1.3	4.5						1																3500																			
Convoy00004	ConvoyNpc	秋夫人		110	1	10		1			4	0	10	0	npc\monster088		0.863949	icon\monster\monster088.png					1	27	834	175	0	0				2	40	20	60		0	0	50			hand1_2			-1			1.3	4.5						1																3500																			
Convoy00024	ConvoyNpc	严夫人		110	1	20		1			4	0	10	0	npc\monster126		0.887865	icon\monster\monster126.png					1	14	756	348	1	1				2	40	20	60		0	0	50			hand1_1			-1			1.25	4						1																																			
Convoy00113	ConvoyNpc	胭红		110	1	5		1			4	0	6	0	npc\worldnpc195		0.815212	icon\funcnpc\worldnpc195.png					2	14	350.943	477.512	0	1				2	40	20	60		0	0	0			hand1_2			-1			1.3	4.5						1																3500																			
Convoy00223	ConvoyNpc	马		110	1	5		1			4	0	6	0	npc\mount001		1.444411	icon\funcnpc\mount001.png					1	3	426	1023	0	1				2	40	20	60		0	0	0			hand_0			-1			0	0						1																3500																			
Convoy00503	ConvoyNpc	祖亭		110	1	10		1			4	0	6	0	npc\monster126		0.887865	icon\monster\monster126.png					2	12	823.412	358.523	1	1				2	40	20	60		0	0	0			hand1_1			-1			1.25	4						0																3500																			
Convoy00505	ConvoyNpc	清相		110	1	10		1			4	0	6	0	npc\monster126		0.887865	icon\monster\monster126.png					2	12	576	189	1	1				2	40	20	60		0	0	0			hand1_1			-1			1.25	4						0																3500																			
Convoy00529	ConvoyNpc	清累		110	1	10		1			4	0	6	0	npc\monster126		0.887865	icon\monster\monster126.png					2	12			0	0				2	40	20	60		0	0	0			hand1_1			-1			1.25	4						0																3500																			
Convoy00560	ConvoyNpc	丁禅玉		110	1	10		1			4	0	6	0	npc\boss023		0.947839	icon\monster\boss023.png					2	12	757.38	533.31	0	0				2	40	20	60		0	0	0			hand1_2			-1			1.3	4.5						0																3500																			
