STRING	STRING	STRING	STRING
pre	prop	position	filename
CanAcceptMenu_	TID	left	stringtask_normal
CompleteMenu_	TID	left	stringtask_normal
complete_	TID	left	stringtask_normal
context_	TID	left	stringtask_normal
menu_	TID	left	stringtask_normal
target_	TID	left	stringtask_normal
task_menu_accept_	TID	left	stringtask_normal
task_menu_complete_	TID	left	stringtask_normal
title_	TID	left	stringtask_normal
next_	TID	left	stringtask_normal
UncompleteMenu_	TID	left	stringtask_normal
task_TrackInfo_	TID	left	stringtask_normal
uncom_	TID	left	stringtask_normal
jiaoxue_jia_	TID	left	stringtask_special
jiaoxue_xu_	TID	left	stringtask_special
jiaoxue_real_	TID	left	stringtask_special
tasklua_	TID	left	stringtask_special
convoyinfo_	FID	left	stringtask_special
collectinfo_	FID	left	stringtask_special
interactinfo	FID	left	stringtask_special
hunterinfo_	FID	left	stringtask_special
useiteminfo_	FID	left	stringtask_special
storyinfo_	FID	left	stringtask_special
questioninfo_	FID	left	stringtask_special
okmenu_	FID	left	stringtask_special
convoy_talk_	TID	right	stringtask_special
Dialog_	FID	left	stringtask_special
story_	FID	left	stringtask_special
storymenu_	FID	left	stringtask_special
story_menu_	FID	left	stringtask_special
submitnpcex_	TID	left	stringtask_special
quest_menu_	FID	left	stringtask_special
question_	QID	left	stringtask_special
ZZAnswerText_	QID	right	stringtask_special
QiecuoMenu_	FID	left	stringtask_special
QiecuoTitl_	FID	left	stringtask_special
