STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	NpcId	RefreshMonster	CountEx	Count	Droprate	TrackInfo	SceneId	TaskID	HideNpcID
71651	item_mmzw_mpfg_001				3		collectinfo_71651		71651	
71652	cropper_40082				10		collectinfo_71652		71653	
71653	animal_01001				5		collectinfo_71653		71653	
71654	kuangshi_1001				5		collectinfo_71654		71653	
71655	fish_10003				5		collectinfo_71655		71653	
71656	tre_1001				10		collectinfo_71656		71653	
71657	cropper_40082				3		collectinfo_71657			
71658	animal_01001				3		collectinfo_71658			
71659	kuangshi_1001				3		collectinfo_71659			
71660	fish_10003				3		collectinfo_71660			
71661	tre_1001				3		collectinfo_71661			
71664	item_mm_dy_03	NPC_mm_dy_11			3	1	collectinfo_71664	647	71907	
71663	item_mm_dy_01	Gather_mm_dy_dj			5	1	collectinfo_71663	653	71900	
71666	item_mm_dy_05	NPC_mm_dy_33			1	1	collectinfo_71666	651	71909	
71665	item_mm_dy_04	NPC_mm_dy_32			1	1	collectinfo_71665	651	71909	
71667	taskitem_damo_mm_001				1		collectinfo_71667		71686	
71668	taskitem_gumu_mm_001				1		collectinfo_71668		71687	
71669	taskitem_ss_mm_001				1		collectinfo_71669		71688	
71670	taskitem_changfeng_mm_001				1		collectinfo_71670		71689	
71701	taskitem_wx_mm_001				1		collectinfo_71701		71690	
71702	taskitem_xuedao_mm_001				1		collectinfo_71702		71691	
71703	taskitem_nianluo_mm_001				1		collectinfo_71703			
71704	taskitem_hs_mm_001				1		collectinfo_71704			
