STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	NpcId	RefreshMonster	HideNpcID	Count	Droprate	TrackInfo	SceneId	TaskID
7199									
7001	taskitem_19j	Gather00002W			1	1	collectinfo_7001	7	46038
7002	taskitem_w009	Gather00003W			1	1	collectinfo_7002	7	46053
7003	taskitem_w113	Gather00004W			1	1	collectinfo_7003	7	46065
7004	taskitem_w112	Gather00007W			1	1	collectinfo_7004	7	46072
7005	taskitem_w111	Gather00005W			1	1	collectinfo_7005_1	7	46076
7006	taskitem_w110	Gather00006W			1	1	collectinfo_7006_2	7	46076
7007	taskitem_w116	monf070200			5	0.7	collectinfo_7007	24	46101
7008	taskitem_w117	monf070400			6	0.7	collectinfo_7008	24	46107
7009	taskitem_w119	bossf070200			1	1	collectinfo_7009	24	46136
7010	taskitem_w122	Gather00008W			1	1	collectinfo_7010	11	46180
7011	taskitem_w124	monf020700			5	0.7	collectinfo_7011	19	46204
7012	taskitem_w125	Gather00009W			3	1	collectinfo_7012	19	46206
7013	taskitem_w126	monf020600			5	0.7	collectinfo_7013	19	46211
7014	taskitem_w127	Gather00010W			3	1	collectinfo_7014	19	46212
7015	taskitem_w128	Gather00011W			5	1	collectinfo_7015	20	46237
7016	taskitem_w134	Gather00012W			6	1	collectinfo_7016	20	46265
7017	taskitem_w133	bossf070400			1	1	collectinfo_7017	20	46266
7200	taskitem_yc001	Gather00001yc			1	1	collectinfo_7200	13	46294
7201	taskitem_yc002	Gather00002yc			1	1	collectinfo_7201	13	46304
7202	taskitem_yc003	Gather00003yc			1	1	collectinfo_7202	13	46315
7203	taskitem_yc004	Gather00004yc			1	1	collectinfo_7203	13	46327
7204	taskitem_yc007	Gather00007yc			1	1	collectinfo_7204	10	46350
7205	taskitem_yc008	Gather00008yc			1	0.5	collectinfo_7205	10	46355
7208	taskitem_yc012	Gather00012yc			1	1	collectinfo_7208	9	46406
7209	taskitem_yc013	Gather00013yc			1	1	collectinfo_7209	9	46422
7210	taskitem_yc018	Gather00018yc			1	1	collectinfo_7210	18	46496
7211	taskitem_yc019	Gather00019yc			1	1	collectinfo_7211	18	46502
7212	taskitem_yc020	Gather00020yc			1	1	collectinfo_7212	19	46541
7206	taskitem_yc009	Gather00009yc			1	0.2	collectinfo_7206	10	46376
7207	taskitem_yc011	Gather00011yc			1	1	collectinfo_7207	9	46394
7000	taskitem_w002	Gather00001W			1	1	collectinfo_7000	7	
7213	taskitem_022cyh	monrm030800			1	1	collectinfo_7213	7	46041
