STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	NpcId	RefreshMonster	IsNeedCreator	Count	Droprate	TrackInfo	SceneId	TaskID
10551		Gather_jzsj_004			5	100	collectinfo_10551	1	
10549		Gather_jzsj_003			5	100	collectinfo_10549	1	
10548	taskitem_jzsj_027	Gather_jzsj_026			1	1	collectinfo_10548	17	
10761	taskitem_jzsj_031				2				
10760	taskitem_jzsj_030				2		collectinfo_10760		
10762	taskitem_jzsj_032				2		collectinfo_10762		
10763	taskitem_jzsj_033				2		collectinfo_10763		
10544	taskitem_jzsj_034	Gather_jzsj_029			1	1	collectinfo_10544	17	
10505	taskitem_jzsj_002	Gather_jzsj_002			1	100	collectinfo_10505	17	41505
10540	taskitem_jzsj_011	Gather_jzsj_005			6	100%	collectinfo_10540	17	41527
10543	taskitem_jzsj_013	Gather_jzsj_007			1	100%	collectinfo_10543	17	41530
10701	taskitem_jzsj_019	Gather_jzsj_011			1	100%	collectinfo_10701	1	41701
10711	yaopin_00100				10		collectinfo_10711		41707
10712	yaopin_00300				10		collectinfo_10712		41707
10713	yaopin_00500				10		collectinfo_10713		41707
10714	yaopin_10100				10		collectinfo_10714		41707
10715	yaopin_10300				10		collectinfo_10715		41707
10530	taskitem_jzsj_010	monv041403			5	0.5	collectinfo_10530	1	41521
10541	taskitem_jzsj_009	monc050101			5	0.5	collectinfo_10541	17	41528
10717	tre_1008				20		collectinfo_10717		41709
10718	tre_1009				20		collectinfo_10718		41709
10719	tre_1010				20		collectinfo_10719		41709
10720	tre_2001				20		collectinfo_10720		41709
10721	tre_2002				20		collectinfo_10721		41709
10722	tre_2003				20		collectinfo_10722		41709
10726	buliao_1003				30		collectinfo_10726		41710
10727	buliao_1004				30		collectinfo_10727		41710
10728	buliao_1006				30		collectinfo_10728		41710
10730	kuangshi_1_1003				40		collectinfo_10730		41711
10731	kuangshi_1_1004				40		collectinfo_10731		41711
10732	kuangshi_1_1006				40		collectinfo_10732		41711
10733	kuangshi_1_2001				40		collectinfo_10733		41711
10734	kuangshi_1_2002				40		collectinfo_10734		41711
10736	drug_1005				50		collectinfo_10736		41712
10737	drug_1006				50		collectinfo_10737		41712
10738	drug_1007				50		collectinfo_10738		41712
10739	drug_1008				50		collectinfo_10739		41712
10740	drug_1009				50		collectinfo_10740		41712
10724	buliao_1005				30		collectinfo_10724		41710
10725	buliao_1007				30		collectinfo_10725		41710
10750	toxicant_1008				20				41708
