STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	NpcId	RefreshMonster	IsNeedCreator	Count	Droprate	TrackInfo	SceneId	TaskID
12800	taskitem_thd_001	thd_qianzhi_gather001			3	1	collectinfo_12800	14	39608
12801	taskitem_03100				1		collectinfo_12801		39617
12825	item_thd_tf_xw	thd_rm_tf			15	1	collectinfo_12825	286	39721
12819	taskitem_thd_001	Gather_thd_czz_01			1		collectinfo_12819	286	39667
12820	taskitem_thd_002	Gather_thd_czz_02			1		collectinfo_12820	286	39668
12821	taskitem_thd_003	Gather_thd_czz_03			1		collectinfo_12821	286	39669
12822	taskitem_thd_004	Gather_thd_czz_04			1		collectinfo_12822	286	39670
12823	taskitem_thd_005	Gather_thd_czz_05			1		collectinfo_12823	286	39671
12824	taskitem_thd_006	Gather_thd_czz_06			3		collectinfo_12824	286	39672
12826	item_thd_gb_xw	thd_rm_gb			10	1	collectinfo_12826	286	39721
12827	item_thd_hualu_4	Gather_thd_hualu_4			1	1	collectinfo_12827	286	39722
12828	item_thd_hualu_5	Gather_thd_hualu_5			1	1	collectinfo_12828	286	39722
12829	item_thd_hualu_6	Gather_thd_hualu_6			1	1	collectinfo_12829	286	39722
12830	item_thd_hualu_7	Gather_thd_hualu_7			1	1	collectinfo_12830	286	39722
12831	item_thd_hualu_8	Gather_thd_hualu_8			1	1	collectinfo_12831	286	39722
12832	item_thd_hualu_9	Gather_thd_hualu_9			1	1	collectinfo_12832	286	39722
12835	item_thd_hualu_12	Gather_thd_hualu_12			1	1	collectinfo_12835	286	39722
12834	item_thd_hualu_11	Gather_thd_hualu_11			1	1	collectinfo_12834	286	39722
12833	item_thd_hualu_10	Gather_thd_hualu_10			1	1	collectinfo_12833	286	39722
12847									
12802	jiu_10001				1		collectinfo_12802		39618
12803	jiu_10002				1		collectinfo_12803		39619
12846	item_thd_qin	Gather_thd_qin			1	1	collectinfo_12846	286	39753
12805	item_thd_cc006	Gather_thd_cc001			6	1	collectinfo_12805	286	39626
12804	item_thd_cc001	month_cc001			1	1	collectinfo_12804	286	39620
12806	item_thd_cc008	Gather_thd_cc002		1	6	1	collectinfo_12806	286	39633
12848	item_thd_cc010	Gather_thd_cc003		1	6	1	collectinfo_12848	286	39635
12861					1			286	
12808	item_thd_xinwu_2				1		collectinfo_12808		
12809	item_thd_xinwu_3				1		collectinfo_12809		
12810	item_thd_xinwu_4				1		collectinfo_12810		
12811	item_thd_xinwu_5				1		collectinfo_12811		
12812	item_thd_xinwu_6				1		collectinfo_12812		
12807	item_thd_xinwu_1				1		collectinfo_12807		
12852	hcitem_0900029				1		collectinfo_12852_1		39842
12853	hcitem_0900032				1		collectinfo_12853_1		39843
12854	hcitem_1000024				1		collectinfo_12854_1		39844
12856	ronghe_40001				5		collectinfo_12856_1		39846
12857	fenjie_10001				15		collectinfo_12857_1		39847
12858	fenjie_20001				15		collectinfo_12858_1		39848
