STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	NpcId	RefreshMonster	IsNeedCreator	Count	Droprate	TrackInfo	SceneId	TaskID
16508									
16501	item_wxj_jgjz_002				1		collectinfo_16501		
16511	item_wxj_zyb_005	newschool_wxj_zyb_014			1	1	collectinfo_16511	17	30210
16510	item_wxj_ttlz_008				1		collectinfo_16510	634	30010
16500	taskitem_wuxian_rm_sh_01				1		collectinfo_16500		30109
16509	taskitem_wuxian_rm_sh_03				1		collectinfo_16509	634	30124
16502	item_wxj_zyb_001	newschool_wxj_zyb_008			1	1	collectinfo_16502	565	30205
16503	item_wuxianjiao_rumen_xiezi				1		collectinfo_16503	634	30123
16504	item_wuxianjiao_rumen_she				1		collectinfo_16504	634	30123
16505	item_wuxianjiao_rumen_hama				1		collectinfo_16505	634	30123
16506	item_wuxianjiao_rumen_zhizhu				1		collectinfo_16506	634	30123
16507	item_wuxianjiao_rumen_wugong				1		collectinfo_16507	634	30123
16544	item_yinshibapai_qiyu_014				1		collectinfo_16544	634	30118
16545	taskitem_wuxian_rm_sh_02				1		collectinfo_16545	634	30118
16512	item_wxj_dg_003	Gather_wxj_dg_01			1	1	collectinfo_16512	634	30039
16513	item_wxj_dg_003	Gather_wxj_dg_02			1	1	collectinfo_16513	634	
16514	item_wxj_dg_003	Gather_wxj_dg_03			1	1	collectinfo_16514	634	
16515	item_wxj_dg_003	Gather_wxj_dg_04			1	1	collectinfo_16515	634	
