STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	NpcId	RefreshMonster	HideNpcID	Count	Droprate	TrackInfo	SceneId	TaskID
54001									18428
54070									18469
54010	key_qy_em_yaochu				1		collectinfo_54010		18500
54012	key_qy_em_yao				1		collectinfo_54012		18501
54013	key_qy_em_shiti	qy_em_shiti			1		collectinfo_54013	10	18503
54056	key_qy_em_gutan	NpcQYEM0010			1	1	collectinfo_54056	17	
54011	key_qy_em_caoyao				1		collectinfo_54011		18500
54067	qy_em_xiao	Gather_qy_em_xiao			1	1	collectinfo_54067	10	18446
54068	qy_em_tan	Gather_qy_em_tan			1	1	collectinfo_54068	10	18446
54069	qy_em_liuhuang	Gather_qy_em_liuhuang			1	1	collectinfo_54069	10	18446
