STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	NpcId	RefreshMonster	HideNpcID	Count	Droprate	TrackInfo	SceneId	TaskID
31003	blade90151				1		collectinfo_31003	1	
31004	buliao0016				20		collectinfo_31004	1	
31010	item_zawu_100	monrv04002			5	0.0133	collectinfo_31010_1	1	
31011	item_zawu_83	monrv04003			5	0.0133	collectinfo_31011_2	1	
31013	yaopin10003				30		collectinfo_31013	1	
31015	toxicant_10007				30		collectinfo_31015_1	1	
31016	toxicant_10004				10		collectinfo_31016_2	1	
31036	ore_10006				20		collectinfo_31036	1	
31043	cloth90411	monrv04011			1	0.25	collectinfo_31043	1	
31044	taskitem_01007	Gather10049			1		collectinfo_31044	1	
31045	taskitem_01008	Gather10050			10		collectinfo_31045	1	
31046	buliao0018				10		collectinfo_31046_1	1	
31047	buliao0019				10		collectinfo_31047_2	1	
31048	buliao0020				10		collectinfo_31048_3	1	
31049	buliao0021				10		collectinfo_31049_4	1	
31050	buliao0022				10		collectinfo_31050_5	1	
31051	buliao0023				10		collectinfo_31051_6	1	
31052	taskitem_01009	Gather10053			1		collectinfo_31052	1	
31053	buliao0013				20		collectinfo_31053	1	
31057	taskitem_01011	Gather10061			1		collectinfo_31057	1	
31058	taskitem_01012	Gather10065			1		collectinfo_31058	1	
31059	buliao0016				10		collectinfo_31059	1	
31060	taskitem_01013	monv040500			1	0.15	collectinfo_31060	1	
31143	ore_10010				3		collectinfo_31143	1	
31152	drug_10002				10		collectinfo_31152	1	
31153	buliao0054				1		collectinfo_31153	1	
31154	yaopin10004				1		collectinfo_31154	1	
31155	item_zawu_80	monv041500			5	0.0133	collectinfo_31155	1	
31158	buliao0016				10		collectinfo_31158	1	
31159	item_zawu_79	monv041500			5	0.0133	collectinfo_31159	1	
31160	ear90431				2		collectinfo_31160	1	
31161	taskitem_01060				1		collectinfo_31161	1	
31163	ore_10010				5		collectinfo_31163	1	
31164	item_zawu_93	monv041400			5	1	collectinfo_31164	1	
31165	ore_10008				3		collectinfo_31165	1	
31166	taskitem_01160	Gather10140			1		collectinfo_31166	1	
31167	fish_10018				2		collectinfo_31167	1	
31168	taskitem_01161				1		collectinfo_31168	1	
31172	item_zawu_93	monv041400			10	0.0133	collectinfo_31172	1	
