STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	NpcId	RefreshMonster	CountEx	Count	Droprate	TrackInfo	SceneId	TaskID	HideNpcID
848	drug_1001	drug_1001npc01			1	1	collectinfo_848	1	501	
849	yaopin10082				1	1	collectinfo_849	1	502	
850	toxicant_1001	toxicant_1001npc01			1	1	collectinfo_850	1	503	
851	duyao10006				1	1	collectinfo_851	1	504	
852	kuangshi_1_1001	kuangshi_1001npc01			1	1	collectinfo_852	1	505	
853	kuangshi_1001				1	1	collectinfo_853	1	506	
854	helmet_10102				1	1	collectinfo_854	1	507	
855	ring_10102				1	1	collectinfo_855	1	508	
856	blade_10102				1	1	collectinfo_856	1	509	
857	caiyao20003				1	1	collectinfo_857	1	510	
858	fish_10003	fishnpc10001			1	1	collectinfo_858	1	511	
859	tre_1001	tre_1001npc01			1	1	collectinfo_859	1	512	
862	scholar_10001				1	1	collectinfo_862	1	515	
863	tuhua_2000001				1	1	collectinfo_863	1	516	
600	kuangshi_1_1001				10	1	collectinfo_600		545	
602	kuangshi_1_1001				10	1	collectinfo_602		546	
604	kuangshi_1_1002				8	1	collectinfo_604		547	
606	kuangshi_1_1002				8	1	collectinfo_606		548	
608	kuangshi_1_1003				5	1	collectinfo_608		549	
610	kuangshi_1_1003				5	1	collectinfo_610		550	
612	kuangshi_1_1004				2	1	collectinfo_612		551	
614	kuangshi_1_1006				1	1	collectinfo_614		552	
616	hw_fd_10401				1	1	collectinfo_616		553	
618	hw_fd_10401				1	1	collectinfo_618		554	
620	hw_dw_10601				1	1	collectinfo_620		555	
622	hw_dw_10601				1	1	collectinfo_622		556	
624	hw_zl_10601				1	1	collectinfo_624		557	
626	hw_zl_10601				1	1	collectinfo_626		558	
628	hw_fb_10801				1	1	collectinfo_628		559	
630	hw_fb_10801				1	1	collectinfo_630		560	
632	fish_10003				1	1	collectinfo_632		561	
633	fish_10004				1	1	collectinfo_633		561	
634	fish_10009				1	1	collectinfo_634		562	
635	fish_10010				1	1	collectinfo_635		562	
636	fish_10019				1	1	collectinfo_636		563	
637	fish_10020				1	1	collectinfo_637		563	
638	fish_10034				1	1	collectinfo_638		564	
639	fish_10036				1	1	collectinfo_639		564	
640	fish_10054				1	1	collectinfo_640		565	
641	fish_10055				1	1	collectinfo_641		565	
642	fish_10070				1	1	collectinfo_642		566	
643	fish_10071				1	1	collectinfo_643		566	
644	fish_10101				1	1	collectinfo_644		567	
645	fish_10102				1	1	collectinfo_645		567	
646	fish_10145				1	1	collectinfo_646		568	
647	fish_10146				1	1	collectinfo_647		568	
648	tre_1001				10	1	collectinfo_648		569	
650	tre_1001				10	1	collectinfo_650		570	
652	tre_1002				8	1	collectinfo_652		571	
654	tre_1002				8	1	collectinfo_654		572	
656	tre_1003				5	1	collectinfo_656		573	
658	tre_1003				5	1	collectinfo_658		574	
660	tre_1004				2	1	collectinfo_660		575	
662	tre_1006				1	1	collectinfo_662		576	
664	cropper_10001				1	1	collectinfo_664		577	
665	cropper_10002				1	1	collectinfo_665		577	
666	cropper_10003				1	1	collectinfo_666		578	
667	cropper_40005				1	1	collectinfo_667		578	
668	cropper_40007				1	1	collectinfo_668		579	
669	cropper_40009				1	1	collectinfo_669		579	
670	cropper_40016				1	1	collectinfo_670		580	
