STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	NpcId	RefreshMonster	Count	CountEx	Droprate	TrackInfo	SceneId	HideNpcID	TaskID
51829				3		1	collectinfo_51829	7		
51830				3		1	collectinfo_51830	7		
51831				3		1	collectinfo_51831	7		
51832				3		1	collectinfo_51832	7		
51833				3		1	collectinfo_51833	7		
51834				3		1	collectinfo_51834	7		
51835				3		1	collectinfo_51835	7		
51836				3		1	collectinfo_51836	7		
51837				3		1	collectinfo_51837	7		
51838				3		1	collectinfo_51838	7		
51839				3		1	collectinfo_51839	7		
51840				3		1	collectinfo_51840	7		
51841				3		1	collectinfo_51841	7		
51842				3		1	collectinfo_51842	7		
51843				3		1	collectinfo_51843	7		
51844				3		1	collectinfo_51844	7		
51845				3		1	collectinfo_51845	7		
51846				3		1	collectinfo_51846	7		
51847				3		1	collectinfo_51847	7		
51848				3		1	collectinfo_51848	7		
51849				3		1	collectinfo_51849	7		
51850				3		1	collectinfo_51850	7		
51851				3		1	collectinfo_51851	7		
51852				3		1	collectinfo_51852	7		
51853				3		1	collectinfo_51853	7		
51854				3		1	collectinfo_51854	7		
51855				3		1	collectinfo_51855	7		
51856				3		1	collectinfo_51856	7		
51857				3		1	collectinfo_51857	7		
51858				3		1	collectinfo_51858	7		
51859				3		1	collectinfo_51859	7		
51860				3		1	collectinfo_51860	7		
51861				3		1	collectinfo_51861	7		
51862				3		1	collectinfo_51862	7		
51863				3		1	collectinfo_51863	7		
51864				3		1	collectinfo_51864	7		
51865				3		1	collectinfo_51865	7		
51866				3		1	collectinfo_51866	7		
51867				3		1	collectinfo_51867	7		
51825	taskitem_006kh	monm032801		3		1	collectinfo_51825	7		84560
51826	taskitem_007kh	Gather0004kh		3		1	collectinfo_51826	7		84561
51827	taskitem_008kh	monm032503		3		1	collectinfo_51827	7		84564
51828	taskitem_009kh	monm032403		3		1	collectinfo_51828	7		
