STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	NpcId	RefreshMonster	IsNeedCreator	Count	Droprate	TrackInfo	SceneId	TaskID
31736	taskitem_96y	monv041500			1	0.2	collectinfo_31736	1	80238
31737	taskitem_98y	monv041500			3	1		1	
31738	taskitem_99y	monv041400			2	1		1	
31836	taskitem_101y	0		1	1	1	collectinfo_31836	1	80241
31837	taskitem_98y	monv041500			3	0.8	collectinfo_31837	1	80240
31838	taskitem_99y	monv041400			2	0.8	collectinfo_31838	1	80240
31835	taskitem_95y	monv041303			1	0.2	collectinfo_31835	1	
31833	taskitem_92y	monv041100			1	0.5	collectinfo_31833	1	80233
31834	taskitem_94y	monv041100			1	0.5	collectinfo_31834	1	80234
