STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	NpcId	RefreshMonster	Count	CountEx	Droprate	TrackInfo	SceneId	HideNpcID	TaskID
41858	taskitem_121y	Gather70037y		5		1	collectinfo_41858	11		86451
41857	taskitem_127y	monm075700		3		0.5	collectinfo_41857	11		86450
41868	taskitem_126y	Gather70042y		1		1	collectinfo_41868	11		
41866	taskitem_93y	monm076301		1		0.2	collectinfo_41866	11		86462
41859	taskitem_122y	Gather70038y		5		1	collectinfo_41859	11		86452
41861	taskitem_123y	Gather70039y		5		1	collectinfo_41861	11		86456
41862	taskitem_124y	Gather70040y		5		1	collectinfo_41862	11		86457
41863	taskitem_125y	Gather70041y		5		1	collectinfo_41863	11		86458
41864	taskitem_131y	monm075201		3		0.5	collectinfo_41864	11		86459
41865	taskitem_132y	monm071501		3		0.5	collectinfo_41865	11		86460
41867	taskitem_134y	monm076601		1		0.2	collectinfo_41867	11		86463
41860	taskitem_129y	monm071500		3		1	collectinfo_41860	11		86455
