STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	NpcId	RefreshMonster	CountEx	Count	Droprate	TrackInfo	SceneId	TaskID	HideNpcID
17003	taskitem_w185	bossf071300			1	1	collectinfo_17003	21	34095	
17004	taskitem_w186	Gather00026W			3	1	collectinfo_17004	17	34100	
17005	taskitem_w189	bossf071100			1	1	collectinfo_17005	13	34115	
17007	taskitem_w192	bossf071400			1	1	collectinfo_17007	13	34130	
17006	taskitem_w191	Gather00027W			3	1	collectinfo_17006	13		
17008	taskitem_yl069				1	1	collectinfo_17008	17	34024	
17001	taskitem_w179	Gather00024W			1	1	collectinfo_17001	7		
17002	taskitem_w180	Gather00025W			1	1	collectinfo_17002	3		
17009	taskitem_yl088	Gather0046yl			4	1	collectinfo_17009	16	34041	
17011	taskitem_yl090	monrc047621			1	1	collectinfo_17011	16	34050	
17014	cloth_sell_20101				1	1	collectinfo_17014	16		
17012	taskitem_yl093	monc043307			1	1	collectinfo_17012	16	34053	
17013	taskitem_yl097	Gather0050yl			3	1	collectinfo_17013	16		
17010	taskitem_yl098	Gather0051yl			4	1	collectinfo_17010	16		
17015	taskitem_yl099	monrc047632			3	1	collectinfo_17015	16		
17016	taskitem_yl100				1	1	collectinfo_17016	16	34065	
17017	taskitem_yl101				1	1	collectinfo_17017	16		
