STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	PathID	HideType	SceneID	TrackInfo	HideNpcID	TaskID
17014	Convoy34099		3	21	convoyinfo_17014	WorldNpc05871	34099
17017	Convoy34116		3	13	convoyinfo_17017	WorldNpc08758	34116
17018	WorldNpc08758			13			
17008	Convoy34073	5-34073	3	5	convoyinfo_17008	WorldNpc04234	34073
17019	Convoy34126-1		3	13	convoyinfo_17019	WorldNpc08758	34126
17009	Convoy34080	21-34080	3	21	convoyinfo_17009	WorldNpc05861	34080
17010	Convoy34084	21-34084		21	convoyinfo_17010		34084
17011	Convoy34087	21-34087		21	convoyinfo_17011		34087
17012	Convoy34092	21-34092	3	21	convoyinfo_17012	WorldNpc05870	34092
17013	Convoy34093	21-34093		21	convoyinfo_17013		34093
17015	Convoy34108	13-34108	3	13	convoyinfo_17015	WorldNpc08755	34108
17016	Convoy34114	13-34114		13	convoyinfo_17016		34114
17020	Convoy34126-2	13-34126		13	convoyinfo_17020		34126
17003	Convoy34023	17-34023	3	17	convoyinfo_17003		
17025				17	convoyinfo_17025	WorldNpc09839	
17001	Convoy34015		3	3	convoyinfo_17001	WorldNpc09828	
17023	Convoy34021	17-34021		17	convoyinfo_17023	WorldNpc09778	34021
17024	Convoy34029	17-34029		17	convoyinfo_17024	WorldNpc09838	34029
17022	Convoy34012	17-34012		17	convoyinfo_17022		34012
17004	Convoy34027	17-34027	3	17	convoyinfo_17004	WorldNpc09839	
17026	Convoy34031	17-34031		17	convoyinfo_17026	WorldNpc09839	34031
17002	Convoy34017	17-34017	3	17	convoyinfo_17002		
17005	Convoy34036	7-34036	3	7	convoyinfo_17005		
17021	Convoy34038			7	convoyinfo_17021	WorldNpc03465	
17027	Convoy34142	17-34142		17	convoyinfo_17027	cd472	34142
17006	Convoy34047		3	3	convoyinfo_17006	yyz167	
17028	Convoy34042	16-34042		16	convoyinfo_17028	ly753	34042
17007	Convoy34058	3-34058	3	3	convoyinfo_17007	yyz170	
17029	Convoy34054	16-34054		16	convoyinfo_17029	ly755	34054
17030	Convoy34043	16-34043		16	convoyinfo_17030		34043
17031	Convoy34044	16-34044		16	convoyinfo_17031		
17032	Convoy34044	16-34046		16	convoyinfo_17032		34046
