STRING	STRING	STRING	STRING	STRING
ID	Xpoint	Zpoint	HoldTime	TalkID
09-38319	814	-59	0	
09-38319	827.74	-66.71	0	
09-38319	848.22	-74.88	0	
09-38319	875.79	-84.26	0	
09-38319	892.44	-92.45	0	
09-38319	893.47	-97.7	0	
09-38319	915.59	-104.43	0	
09-38319	918.43	-99.25	0	
09-38319	939.39	-108.06	0	
09-38319	936.71	-123.28	0	
09-38319	975.05	-142.69	0	
09-38319	971.29	-169.84	0	
09-38319	979.43	-180.24	0	
09-38319	982.67	-218.7	0	
09-38319	966.66	-232.8	0	
09-38319	947.08	-244.37	0	
09-38319	957.57	-295.71	0	
09-38319	966.368	-300	0	
09-38319	975.82	-304.71	0	
09-38319	972.74	-306.95	0	
09-38319	966.63	-311.25	1000	
09-38319	959.45	-306.83	0	
12-38019	816	424	0	
12-38019	840	387	0	
12-38019	856	340	0	
12-38019	841	304	0	
12-38019	859	258.5	0	
12-38019	877	213	0	
12-38019	921	229	0	
12-38019	923	271	0	
12-38019	910	288	3000	convoy_talk_38019
12-38019	906	297	0	
12-38019	902.765	299	0	
12-38066	-170.716	514.428	0	
12-38066	-168.567	496.842	2000	
12-38066	-151.274	475.838	0	
12-38066	-103.106	481.465	6000	convoy_talk_38066
12-38066	-95.342	486.719	0	
12-38155	900	339	0	
12-38155	898	345	0	
12-38155	894	355	0	
12-38155	888	370	0	
12-38155	883	386	0	
12-38155	876	402	0	
12-38155	869	420	0	
12-38155	839	410	2000	
12-38155	830	406	0	
12-38248	795	445	0	
12-38248	790	444	0	
12-38248	803	410	0	
12-38248	792	405	0	
12-38248	803	376	0	
12-38248	806	367	0	
12-38248	810	369	0	
12-38248	813	359	0	
12-38248	822.7	361	0	
12-38248	823.7	358	5000	convoy_talk_38248
12-38248	822.7	361	0	
12-38248	826	363	0	
12-38254	791.429	440.543	0	
12-38254	803.556	407.485	0	
12-38254	768.146	384.056	0	
12-38254	769.879	364.629	3000	convoy_talk_38254
12-38254	771.487	356.614	0	
13-38353	354.41	-46.17	0	
13-38353	360.61	-45.75	0	
13-38353	362.76	-58.7	0	
13-38353	362.19	-116.22	0	
13-38353	299.78	-116.76	0	
13-38353	300.72	-168.61	0	
13-38353	270.75	-169.28	2000	convoy_talk_38353
13-38353	274.85	-168.76	0	
13-38376	268.3	268.75	0	
13-38376	275.25	272.9	2000	convoy_talk_38376
13-38376	269.88	272	0	
13-38402	328	686	0	
13-38402	340	672	0	
13-38402	330	631	0	
13-38402	359	635	0	
13-38403	359	635	0	
13-38403	431	666	0	
13-38403	489	677	0	
14-38302	480.636	339.615	0	
14-38302	488.772	314.635	0	
