STRING	STRING	STRING	STRING	STRING
ID	Xpoint	Zpoint	HoldTime	TalkID
12-45501	820	419	0	
12-45501	823	418	3000	convoy_talk_45501_2
12-45501	826	416	0	
10-45505	450	208	0	
10-45505	450	206	3000	convoy_talk_45505_2
10-45505	447	204	0	
9-45513	999	-144	3000	convoy_talk_45513_1
9-45513	1002	-143		
9-45513	1007	-145		
9-45513	1012	-145		
9-45513	1016	-143		
9-45513	1023	-144	2000	convoy_talk_45513_6
9-45513	1029	-145		
9-45513	1034	-145		
9-45513	1041	-146		
9-45513	1049	-148		
9-45513	1056	-149		
9-45513	1060	-151		
9-45513	1065	-152		
9-45513	1070	-152	3000	convoy_talk_45513_14
9-45513	1073	-153		
6-45511	581	429	0	
6-45511	578	431	3000	convoy_talk_45511_2
6-45511	577	428	0	
10-45504	492	322	0	
10-45504	495	320	4000	convoy_talk_45504_2
10-45504	494	317	0	
