STRING	STRING	STRING	STRING	STRING
ID	Xpoint	Zpoint	HoldTime	TalkID
				
				
15-20552	1266	413		
15-20552	1256	419		
15-20552	1238	414		
15-20552	1223	405		
15-20552	1209	393		
15-20552	1198	379		
15-20552	1198	361		
15-20552	1204	344		
15-20552	1208	324		
15-20552	1210	304		
15-20552	1210	282		
15-20552	1209	262		
15-20552	1215	237		
15-20552	1223	222		
15-20552	1232	206		
15-20552	1241	191		
15-20552	1253	172		
15-20552	1276	155		
15-20552	1294	144		
15-20552	1312	131		
15-20552	1336	121		
15-20552	1360	119		
15-20552	1383	115		
15-20552	1400	110		
15-20552	1419	106		
15-20552	1440	100		
15-20552	1459	95		
15-20552	1477	91		
15-20552	1497	86		
15-20552	1513	82		
15-20552	1518	80		
				
15-20551	893	334		
15-20551	900	334		
15-20551	910	334		
15-20551	921	334		
15-20551	934	333		
15-20551	950	332		
15-20551	962	331		
15-20551	973	332		
15-20551	985	333		
15-20551	995	336		
15-20551	1009	339		
15-20551	1020	343		
15-20551	1031	344		
15-20551	1043	345		
15-20551	1063	351		
15-20551	1076	356		
15-20551	1088	361		
15-20551	1101	367		
15-20551	1107	371		
15-20551	1116	371		
15-20551	1123	364		
15-20551	1127	359		
15-20551	1132	352		
15-20551	1140	348		
15-20551	1149	346		
15-20551	1159	350		
15-20551	1166	354		
15-20551	1173	359		
15-20551	1179	365		
15-20551	1186	374		
15-20551	1193	381		
15-20551	1201	387		
15-20551	1209	395		
15-20551	1216	401		
15-20551	1223	406		
15-20551	1232	411		
15-20551	1241	414		
15-20551	1254	417		
15-20551	1264	415		
				
13-20512	1194	1527		
13-20512	1215	1575		
13-20512	1236	1610		
541-20504	-244	-271		
541-20504	-245	-322		
541-20504	-209	-346		
541-20504	-196	-371		
541-20504	-197	-403		
541-20504	-237	-433	1000	convoy_talk_20504_4
541-20504	-244	-439		
541-20524	-246	-526		
541-20524	-246	-504		
541-20524	-261	-504		
541-20524	-261	-488		
541-20524	-252	-472		
541-20524	-320	-471		
541-20524	-320	-506		
				
13-20565	1443	7		
13-20565	1440	1		
13-20565	1438	-4		
13-20565	1434	-13		
13-20565	1430	-23		
13-20565	1426	-39		
13-20565	1424	-55		
13-20565	1424	-69		
13-20565	1424	-80		
13-20565	1425	-94		
13-20565	1427	-105		
13-20565	1427	-116		
13-20565	1433	-133		
13-20565	1446	-141		
13-20565	1454.7	-147.9		
13-20565	1454	-164		
13-20565	1454	-183		
13-20565	1454	-199		
13-20565	1452	-214		
				
13-20566	1443	7		
13-20566	1440	1		
13-20566	1438	-4		
13-20566	1434	-13		
13-20566	1430	-23		
13-20566	1426	-39		
13-20566	1424	-55		
13-20566	1424	-69		
13-20566	1424	-80		
13-20566	1425	-94		
13-20566	1427	-105		
13-20566	1427	-116		
13-20566	1433	-133		
13-20566	1446	-141		
13-20566	1454.7	-147.9		
13-20566	1454	-164		
13-20566	1454	-183		
13-20566	1454	-199		
13-20566	1452	-214		
				
13-20567	1454	-222		
13-20567	1456	-210		
13-20567	1457	-199		
13-20567	1458	-183		
13-20567	1456	-165		
13-20567	1456	-147		
13-20567	1467	-139		
13-20567	1476	-132		
13-20567	1481	-119		
13-20567	1487	-106		
13-20567	1494	-94	10000	convoy_talk_20567_1
13-20567	1507	-93	10000	convoy_talk_20567_2
13-20567	1519	-94		
				
13-20569	1511.6	-92.8		
13-20569	1494.4	-92.6		
13-20569	1489.2	-99.8		
13-20569	1486.1	-107.3		
13-20569	1483.8	-115.3		
13-20569	1480.9	-124.8		
13-20569	1476.3	-134.8		
13-20569	1469.3	-137.6		
13-20569	1459.6	-141.9		
13-20569	1455.1	-150.1		
13-20569	1454.9	-160		
13-20569	1455.8	-169.3		
13-20569	1465.8	-169.1		
13-20569	1477.7	-168.8		
13-20569	1484.8	-168.4		
13-20569	1493.6	-168.1		
13-20569	1501.8	-167.9		
13-20569	1512.8	-167.9		
13-20569	1522	-168		
13-20569	1532.5	-168.6		
13-20569	1542.6	-169.6		
13-20569	1553.2	-170.3		
13-20569	1560.7	-171.3		
