STRING	STRING	STRING	STRING	STRING
ID	Xpoint	Zpoint	HoldTime	TalkID
16-30401	1158	1258		
16-30401	1180	1248		
16-30401	1186	1259		
16-30401	1201	1263		
16-30401	1213	1269		
16-30401	1224	1283		
16-30401	1240	1302		
16-30401	1256	1320		
16-30401	1271	1336		
16-30401	1286	1348		
16-30401	1302	1357		
16-30401	1314	1371		
16-30401	1317	1393		
16-30401	1314	1401		
16-30401	1314	1407		
16-30401	1309	1425		
16-30401	1308	1430		
16-30401	1296	1448		
16-30401	1283	1444		
16-30304	1079	672		
16-30304	1086	701		
16-30304	1118	702		
16-30304	1157	702		
16-30304	1201	706		
16-30304	1228	725		
16-30304	1262	765		
16-30304	1280	781		
