STRING	STRING	STRING	STRING	STRING
ID	Xpoint	Zpoint	HoldTime	TalkID
17-41503	340	815		
17-41503	333	812	3000	convoy_talk_41503_2
17-41503	339	794	2000	convoy_talk_41503_3
17-41503	352	798		
17-41503	351	801	8000	convoy_talk_41503_4
17-41503	352	803	8000	convoy_talk_41503_5
17-41503	356	799		
17-41504	309.606	790.507		
17-41504	309.695	778.835		
17-41504	323.932	770.646		
17-41504	332.901	748.85		
17-41504	370.505	749.792		
17-41504	384.246	761.314		
17-41504	388.115	785.814		
17-41504	405.85	797.029		
17-41504	431.261	774.955		
17-41504	462.034	790.509		
17-41504	473.288	813.523		
17-41504	496.133	843.805		
17-41504	507.482	872.283		
17-41504	497.681	869.559		
17-41722	226.305	775.187		convoy_nmp_41722_1
17-41722	225.794	780.114		
17-41722	234.885	782.59		convoy_nmp_41722_3
17-41722	254.33	788.932		
17-41722	252.802	797.483	3000	convoy_nmp_41722_5
17-41722	255.989	788.774		
17-41722	267.568	792.026		
17-41722	279.013	762.199		
17-41722	278.693	762.015	3000	convoy_nmp_41722_9
17-41722	268.555	792.197		
17-41722	279.302	793.983	3000	convoy_nmp_41722_11
17-41722	276.413	813.682	3000	convoy_nmp_41722_12
17-41722	294.79	818.13		convoy_nmp_41722_13
17-41722	306.341	811.124		
17-41722	318.436	808.309		
17-41722	325.688	810.095		
17-41722	334.366	812.311	3000	convoy_nmp_41722_17
17-41722	328.708	810.768		
