STRING	STRING	STRING	STRING	STRING
ID	Xpoint	Zpoint	HoldTime	TalkID
10-17711	446	208		
10-17711	476	221		
10-17711	488	248		
10-17711	488	276		
10-17711	493	282		
10-17711	493	291		
10-17711	491	301		
10-17711	489	303	5	
10-17711	488	337		
10-17711	488	362		
10-17711	488	379		
10-17711	488	392		
10-17711	484	401		
10-17711	479	408		
10-17711	473	417		
10-17711	456	428		
10-17711	436	441		
10-17711	416	452		
10-17711	396	463		
10-17711	373	473		
10-17711	356	482		
10-17711	332	494		
10-17711	331	495		
10-17711	290	495		
10-17711	285	496		
9-17614	696	81	1100	
9-17614	696	81	110	convoy_talk_17614_2
9-17614	723	86	5	
9-17614	733	85	10	convoy_talk_17614_4
9-17614	741	74	5	
9-17614	756	52	10	convoy_talk_17614_6
9-17614	770	21	5	convoy_talk_17614_7
9-17614	791	-16	10	convoy_talk_17614_8
9-17614	797	-27	10	
9-17614	811	-49		
