STRING	STRING	STRING	STRING	STRING
ID	Xpoint	Zpoint	HoldTime	TalkID
11-18631	574	832		
11-18631	648	848		
11-18631	704	892		
11-18631	709	911		
11-18631	662	922		
11-18631	607	929		
11-18631	580	930		
11-18631	548	900		
11-18631	523	905		
11-18631	524	963	3000	convoy_talk_41003
11-18631	524	970		
11-18641	504	-107		
11-18641	437	-107		
11-18641	391	-168		
11-18641	402	-199		
11-18641	419	-245		
11-18641	425	-304		
11-18641	426	-355	3000	convoy_talk_41004
11-18641	426	-364		
11-18711	29	-312	0	
11-18711	60	-304	0	
11-18711	120	-326	0	
11-18711	187	-327	0	
11-18711	258	-313	0	
11-18711	284	-290	0	
11-18711	316	-253	0	
11-18711	360	-211	0	
14-18738	1161	907		
14-18738	1159	913		
14-18738	1116	911		
14-18738	1097	897		
14-18738	1076	875		
14-18738	1067	875		
14-18764	803	780		
14-18764	805	808		
14-18736	1169	2242		
14-18736	1136	2205		
14-18736	1108	2219		
14-18736	1092	2210		
14-18736	1084	2196		
14-18736	1072	2197		
