STRING	STRING	STRING	STRING	STRING
ID	Xpoint	Zpoint	HoldTime	TalkID
16-26018	936	510	0	
16-26018	923	510	0	
16-26018	898	510	0	
16-26018	881	509	0	
16-26018	863	510	0	
16-26018	845	509	0	
16-26018	824	509	0	
16-26018	801	509	0	convoy_talk_26018_8
16-26018	787	509	0	
16-26021	789	508	0	
16-26021	782	507	3000	convoy_talk_26021_2
16-26021	777	507	0	
16-26017	1065.29	619.36	0	
16-26017	1048.52	618.6	0	
16-26017	1033.91	621	0	
16-26017	1013.75	620.84	0	
16-26017	1002.9	619.23	0	
16-26017	998.56	618.78	3000	convoy_talk_26017_11	
16-26017	977.39	611.15	0	
16-26017	961.8	605.54	0	
16-26017	961.28	582.36	0	
16-26017	960.86	563.61	0	
16-26017	960.34	540.27	0	
16-26017	958.4	521.71	0	
16-26017	958.77	511.77	0	
16-26017	956.38	511.85	3000	convoy_talk_26017_9
16-26017	958.11	521.01	0	
