STRING	STRING	STRING	STRING	STRING
ID	Xpoint	Zpoint	HoldTime	TalkID
1-24001	877.7	603.192	0	
1-24001	873.2	592.5	0	
1-24001	867.6	592.42	0	
1-24019	359.205	869.815	0	
1-24019	359	885	0	
1-24019	354	897	0	
1-24019	356	917	0	
1-24019	364	951	0	
1-24019	371	964	0	
1-24019	383	977	5000	convoy_talk_24019
1-24019	389	985	0	
1-24070	1036.174	1058.438		
1-24070	1020.716	1069.754		
1-24070	1011.865	1086.064		
1-24070	992.7	1106.4		
1-24259	644	686	0	
1-24259	605	734	0	
1-24259	586	767	0	
1-24259	575	782	3000	
1-24259	588	764	0	
10-24081	428.483	256.275	0	
10-24081	489.052	257.131	0	
10-24081	490.599	196.694	0	
10-24081	497.661	189.82	0	
10-24081	492.789	160.142	0	
10-24081	489.162	156.82	0	
10-24388	780	387	0	
10-24388	781	416	0	
10-24388	758	437	0	
10-24388	762	407.4	0	
10-24406	486	155	0	
10-24406	472	152	0	
10-24406	465	149	0	
10-24406	455	147	0	
10-24406	447	103	0	
10-24406	380	109	0	
10-24406	332	107	0	
10-24424	757	810	0	
10-24424	760	784	0	
10-24424	724	749	0	
10-24424	649	741	0	
10-24424	612	719	0	
10-24424	565	688	0	
10-24424	520	640	0	
10-24424	443	621	0	
10-24424	419	619	0	
10-24424	385	604	0	
10-24424	336	590	0	
10-24424	315	553	0	
10-24424	331	502	0	
10-24424	362	482	0	
10-24424	429	458	0	
10-24424	450	438	0	
10-24424	487	386	0	
10-24424	492	321	0	
10-24424	496	321	0	
13-24377	411	1352	0	
13-24377	400.5	1353.15	0	
13-24377	385	1353	0	
13-24377	363	1343	0	
13-24377	334	1346	0	
13-24377	322	1386.6	0	
13-24377	256.6	1392.8	3000	
13-24377	253	1387	0	
17-24196	639	589		
17-24196	648	625		
17-24196	652	648		
17-24196	680	651		
17-24196	737	699		
17-24196	775	664		
17-24196	804	688		
17-24196	831	711		
17-24196	861	738		
17-24196	893	766		
17-24196	950	815		
17-24196	977	802		
17-24196	1024.6	778		
17-24217	1227.324	703.847		
17-24217	1227.324	678.012		
17-24217	1186.924	678.012		
17-24217	1192.322	705.33		
17-24217	1197.961	735.861		
17-24217	1208.058	776.229		
17-24217	1214.076	807.409		
17-24217	1209.624	828.358		
17-24217	1195.833	833.949		
20-24325	622	1187		
20-24325	637.6	1150.7		
20-24325	628	1134		
20-24325	609.058	1111.68		
22-24165	1719.502	1075.984	0	
22-24165	1728.864	1058.267	0	
22-24165	1753.672	1057.146	0	
22-24165	1784	1011	0	
22-24165	1798	996	0	
22-24165	1807	982	0	
22-24165	1799	978	0	
22-24165	1789	975	0	
22-24165	1785.319	970.784	0	
22-24165	1821.57	918.403	0	
22-24165	1804.533	904.794	0	
22-24165	1808.452	897.368	0	
22-24165	1814.273	859.206	0	
22-24165	1819.489	847.627	0	
22-24165	1818.697	845.788	0	
22-24165	1820	838.1	0	
22-24170	1975	767	0	
22-24170	1991.817	829.635	30	
22-24170	1995.995	900.962	30	
22-24170	1981.439	925.668	60	
22-24172	1933.78	1065.234	0	
22-24172	1946	1091	0	
22-24172	1951.1	1153.5	0	
22-24491	1851	968	0	
22-24491	1845	963	0	
22-24491	1880	911	0	
22-24491	1860	898	0	
22-24491	1868	895	0	
22-24491	1890	896	0	
10-24402	1088	96	0	
10-24402	1095	123	0	
10-24402	1096.9	150	3000	
10-24402	1094.5	144.6	0	
13-24292	523.41	587.77		
13-24292	523	583	3000	
13-24292	528.66	583		
20-24315	640.95	1285.8		
20-24315	674.03	1286.91	3000	
20-24315	670.873	1290.44		
9-24436	703	592	0	
9-24436	674	620	0	
9-24436	632	654	0	
9-24436	595	688	0	
9-24436	564	705	0	
9-24436	536	699	0	
9-24436	497	706	0	
9-24450	804	858		
9-24450	808	888	5000	
9-24450	800	892		
9-24470	883.92	880.18	3000	
9-24470	881.54	877.63		
9-24470	879.9	876.92		
9-24470	877.87	878.32		
9-24470	875.31	872.64		
9-24470	858.88	833		
10-24087	475.1	450.1	0	
10-24087	496.387	491.985	0	
10-24087	482.067	515.837	0	
10-24087	468.482	524.876	0	
10-24087	471.445	532.381	5000	convoy_talk_24087_5
22-24159	1621.554	1175.987	0	
22-24159	1628	1169	0	
22-24159	1640	1158	0	
22-24159	1654	1147	0	
22-24159	1668	1136	0	
22-24159	1685	1122	0	
22-24159	1693.305	1117.989	0	
22-24159	1696.593	1101.84	0	convoy_talk_24159_8
11-24626	717	371	0	
11-24626	766	317	0	
11-24626	783	300	0	
11-24626	813	294	0	
1-24044	372	1039	2000	
1-24044	370	1043	1000	
1-24044	347	1072	2000	
1-24044	343	1077	1000	
1-24044	339	1081	2000	
1-24044	332	1078	1000	
1-24044	325	1077	2000	
1-24044	318	1072	1000	
1-24044	313	1069	0	
1-24044	308	1066	2000	
1-24044	300	1069	1000	
1-24044	296	1076	0	
1-24044	293	1084	0	
1-24044	289	1093	0	
1-24044	288	1099	1000	
1-24044	287	1107	2000	
1-24044	286	1113	0	
1-24044	285	1120	2000	
1-24044	283	1126	2000	
1-24044	284	1115	2000	
1-24044	281	1108	0	
10-24086	476	451	0	
10-24086	484	462	0	
10-24086	497	498	0	
10-24086	478	517	2000	
10-24086	463	528	0	
10-24086	452	425	1000	
1-24064	884	546		
1-24064	890	555	100	convoy_talk_24064_2
