STRING	STRING	STRING	STRING	STRING
ID	Xpoint	Zpoint	HoldTime	TalkID
16-22569	447.8	954.4	0	convoy_talk_22569_1
16-22569	436.6	965.4	0	
16-22569	421.9	953.1	0	
16-22569	383.4	953.6	0	convoy_talk_22569_2
16-22540	1056	660	0	
16-22540	1056	622	0	
16-22540	1056	583	0	
16-22540	1056	550	0	convoy_talk_22540_1
16-22540	1056	514	0	
16-22540	1056	485	0	
16-22540	1075	466	0	
16-22540	1085	452	0	convoy_talk_22540_3
16-22540	1106	452	0	
16-22540	1127	452	0	
16-22540	1150	452	0	
16-22540	1174	454	0	
16-22540	1195	468	0	
16-22540	1210	470	0	convoy_talk_22540_14
