STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	Count	RefreshMonster	TrackInfo	SceneID	HideAccept	IsNeedCreator	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID
81501	NPC_4nei_gb002	3		hunterinfo_81501	6						
81503	NPC_4nei_gb005	1		hunterinfo_81503	15			0			56534
81504	NPC_4nei_gb006	1		hunterinfo_81504	4						56516
81502	Boss_4nei_mtd_stz	1		hunterinfo_81502	219						56518
81505	monm021401	10		hunterinfo_81505	6						56504
81506	Boss_4nei_xcj_005	1		hunterinfo_81506							56541
81507	5nei_gbmdt001	1		hunterinfo_81507	14			1	QiecuoTitle_81507	QiecuoMenu_81507	56550
81508	NPC_5nei_gbzd001	1		hunterinfo_81508	14			0			56552
81509	NPC_5nei_gbzd002	1		hunterinfo_81509	14			0			56552
81510	NPC_5nei_gbzd003	1		hunterinfo_81510	14			0			56552
81511											
81512											
81513	NPC_5nei_gbzd004	1		hunterinfo_81513	332						56559
81514	NPC_5nei_gbysx001	1		hunterinfo_81514	6			1	QiecuoTitle_81514	QiecuoMenu_81514	56574
