STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	Count	RefreshMonster	TrackInfo	SceneID	HideAccept	IsNeedCreator	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID	HideNpcID
8754	wgm_zd_003	1		hunterinfo_8754	14						49515	
8751	wgm_zd_001	4		hunterinfo_8751	13						49508	
8752	wgm_zd_002	1		hunterinfo_8752	13						49508	
8750	wgm_028	1		hunterinfo_8750	13			1	QiecuoTitle_8750	QiecuoMenu_8750	49504	
8753	wgm_038	1		hunterinfo_8753	14			1	QiecuoTitle_8753	QiecuoMenu_8753	49515	
8758	wgm_045	1		hunterinfo_8758	296			1	QiecuoTitle_8758	QiecuoMenu_8758		
8759	wgm_046	1		hunterinfo_8759	296			1	QiecuoTitle_8759	QiecuoMenu_8759		
8760	wgm_047	1		hunterinfo_8760	296			1	QiecuoTitle_8760	QiecuoMenu_8760		
8761	wgm_048	1		hunterinfo_8761	296			1	QiecuoTitle_8761	QiecuoMenu_8761		
8762	wgm_zd_007	1		hunterinfo_8762	3						49529	
8763	wgm_zd_008	2		hunterinfo_8763	3						49529	
8757	wgm_zd_006	1	7750	hunterinfo_8757	3						49527	
8764	wgm_zd_009	8		hunterinfo_8764	14						49531	
8765				hunterinfo_8765								
8766	wgm_zd_010	1		hunterinfo_8766	14						49534	
8812												
8813												
8814												
8815												
8803	wgm_task_glm_002	1		hunterinfo_8803	5						49555	
8804	wgm_task_glm_003	1		hunterinfo_8804	5						49555	
8805	wgm_task_glm_004	1		hunterinfo_8805	5						49555	
8806	wgm_task_glm_005	1		hunterinfo_8806	5						49555	
8807	wgm_task_glm_006	3		hunterinfo_8807	5						49555	
8767	wgm_task_001	1		hunterinfo_8767	296						49795	
8768	wgm_task_002	1		hunterinfo_8768	296						49795	
8769	wgm_task_003	1		hunterinfo_8769	296						49795	
8755	wgm_zd_004	3		hunterinfo_8755	296							
8922	NPC_wgm_dy_dipi	1		hunterinfo_8922	15			1	QiecuoTitle_8922	QiecuoMenu_8922	49543	
8923	NPC_wgm_dy_hy	1		hunterinfo_8923	15						49543	
8924	NPC_wgm_dy_hyjj	3		hunterinfo_8924	15						49543	
8925	NPC_wgm_dy_hyhw	2		hunterinfo_8925	15						49543	
8810	npc_wgm_ccgai_001	1		hunterinfo_8810	296						49572	
8811	npc_wgm_cc_004	1		hunterinfo_8811					QiecuoTitle_8811	QiecuoMenu_8811	49575	
8809	wgm_task_glm_008	1		hunterinfo_8809	296						49562	wgm_glm_021
8921	NPC_wgm_dy_wrlx	1		hunterinfo_8921	15						49546	
8756	wgm_zd_005	1		hunterinfo_8756	296						49525	
8998	wgm_zd_005	3			296							
8808	wgm_task_glm_007	3		hunterinfo_8808	15						49563	
8999	wgm_zd_005	2		hunterinfo_8999	296						49525	
8997	wgm_zd_005	3		hunterinfo_8997	296						49525	
8995				hunterinfo_8995								
8802	monm010402	4		hunterinfo_8802	5						49554	
8801	monm010400	10		hunterinfo_8801	5						49554	
8820	monm010401	10		hunterinfo_8820	5						49554	
8800	wgm_glm_notexist	1		hunterinfo_8800	15						49551	jl356;jl383;jl357;wgm_glm_002
8770	wgm_015	1		hunterinfo_8770	15			1	QiecuoTitle_8770	QiecuoMenu_8770	49824	
