STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	Count	RefreshMonster	TrackInfo	SceneID	HideAccept	IsNeedCreator	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID
42001	monm083600	8		hunterinfo_42001	12						18816
42004	monm083600	10		hunterinfo_42004	12						18833
42002	monrm08002	1		hunterinfo_42002	12		1				18829
42007	WorldNpc00359	1		hunterinfo_42007	12			1	QiecuoTitle_42007	QiecuoMenu_42007	18839
42003	WorldNpc00395	1		hunterinfo_42003	12			1	QiecuoTitle_42003	QiecuoMenu_42003	18832
42005	monm083700	8		hunterinfo_42005	12						18834
42006	monrm08005	1		hunterinfo_42006	12		1				18835
42008	WorldNpc00383	1		hunterinfo_42008	12			1	QiecuoTitle_42008	QiecuoMenu_42008	18858
42009	qy_shaolin_fansen	6		hunterinfo_42009	12						18862
42010	WorldNpc10397	1		hunterinfo_42010	16			1	QiecuoTitle_42010	QiecuoMenu_42010	18864
42011	WeiqiNpc001_16	1		hunterinfo_42011	16			1	QiecuoTitle_42011	QiecuoMenu_42011	18872
42012	wd018	1		hunterinfo_42012	11			1	QiecuoTitle_42012	QiecuoMenu_42012	18902
42013	sl057	1		hunterinfo_42013	12			1	QiecuoTitle_42013	QiecuoMenu_42013	18902
