STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	Count	CountEx	RefreshMonster	TrackInfo	SceneID	HideNpcID	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID
56780	monf033301	3			hunterinfo_56780	20					82750
56781	monf033300	3			hunterinfo_56781	20					82751
56783	monf033401	2			hunterinfo_56783	20					82752
56784	monf033404	3			hunterinfo_56784	20					82753
56785	monf033401	3			hunterinfo_56785	20					82754
56786	monf033403	3			hunterinfo_56786	20					82755
56788	monf033403	3			hunterinfo_56788	20					82756
56787	monf033400	3			hunterinfo_56787	20					82756
56789	monf033601	3			hunterinfo_56789	20					82757
56790	monf033600	3			hunterinfo_56790	20					82758
56791	monf033601	3			hunterinfo_56791	20					82758
56792	monf033402	3			hunterinfo_56792	20					82759
56793	monf033500	3			hunterinfo_56793	20					82760
56794	monf033501	3			hunterinfo_56794	20					82760
56795	monf033501	3			hunterinfo_56795	20					82761
56796	monf033500	3			hunterinfo_56796	20					82761
56797	monf033701	3			hunterinfo_56797	20					82762
56798	monf033700	3			hunterinfo_56798	20					82763
56799	monf033701	3			hunterinfo_56799	20					82763
56800	monf033100	3			hunterinfo_56800	20					82764
56801	monf033102	3			hunterinfo_56801	20					82764
56802	monf033102	3			hunterinfo_56802	20					82765
56803	monf033100	3			hunterinfo_56803	20					82765
56782	monf033103	3			hunterinfo_56782	20					82752
