STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	Count	CountEx	RefreshMonster	TrackInfo	SceneID	HideNpcID	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID
50621		1			hunterinfo_50621	6					
50622		1			hunterinfo_50622	6					
50623		1			hunterinfo_50623	6					
50624		1			hunterinfo_50624	6					
50625		1			hunterinfo_50625	6					
50626		1			hunterinfo_50626	6					
50627		1			hunterinfo_50627	6					
50628		1			hunterinfo_50628	6					
50629		1			hunterinfo_50629	6					
50630		1			hunterinfo_50630	6					
50631		1			hunterinfo_50631	6					
50632		1			hunterinfo_50632	6					
50633		1			hunterinfo_50633	6					
50634		1			hunterinfo_50634	6					
50635		1			hunterinfo_50635	6					
50636		1			hunterinfo_50636	6					
50637		1			hunterinfo_50637	6					
50638		1			hunterinfo_50638	6					
50639		1			hunterinfo_50639	6					
50640		1			hunterinfo_50640	6					
50641		1			hunterinfo_50641	6					
50642		1			hunterinfo_50642	6					
50600	monm020100	5			hunterinfo_50600	6					84301
50602	monm020300	3			hunterinfo_50602	6					84305
50604	monm020700	5			hunterinfo_50604	6					84308
50605	monm020700	5			hunterinfo_50605	6					84309
50606	monm020900	5			hunterinfo_50606	6					84309
50607	monm020900	5			hunterinfo_50607	6					84310
50608	monm020901	5			hunterinfo_50608	6					84310
50610	monm020500	5			hunterinfo_50610	6					84311
50611	monm020200	5			hunterinfo_50611	6					84312
50612	monm020700	3			hunterinfo_50612	6					84313
50613	monm020701	3			hunterinfo_50613	6					84313
50616	monm020600	3			hunterinfo_50616	6					84315
50617	monm020601	3			hunterinfo_50617	6					84315
50618	monm020602	3			hunterinfo_50618	6					84315
50619	monm020603	3			hunterinfo_50619	6					84315
50601	monm020300	5			hunterinfo_50601	6					
50615	monm020801	1			hunterinfo_50615	6					84314
50603	monm020801	1			hunterinfo_50603	6					84306
50609	monm020902	1			hunterinfo_50609	6					84310
50614	monm020702	1			hunterinfo_50614	6					84313
50620	monm020600	4			hunterinfo_50620	6					84316
