STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	Count	CountEx	RefreshMonster	TrackInfo	SceneID	HideNpcID	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID
52720	monm041600	3			hunterinfo_52720	8					84672
52704	WorldNpc04008	1			hunterinfo_52704	8		1	QiecuoTitle_52704	QiecuoMenu_52704	84656
52709	monm041505	3			hunterinfo_52709	8					84659
52712	monm41500	5			hunterinfo_52712	8					
52701	monm041301	3			hunterinfo_52701	8					84650
52702	monm041302	3			hunterinfo_52702	8					84650
52703	monm041400	3			hunterinfo_52703	8					84654
52705	monm041101	3			hunterinfo_52705	8					84657
52706	monm041102	3			hunterinfo_52706	8					84657
52708	monm041504	3			hunterinfo_52708	8					84659
52710	monm041104	3			hunterinfo_52710	8					84661
52711	monm041102	3			hunterinfo_52711	8					84661
52713	monm041501	3			hunterinfo_52713	8					84662
52714	monm041506	3			hunterinfo_52714	8					84665
52716	monm041407	3			hunterinfo_52716	8					84667
52717	monm041406	3			hunterinfo_52717	8					84667
52718	monrm040050	3			hunterinfo_52718	8					84669
52719	monm041604	3			hunterinfo_52719	8					84671
52724	monm041404	3			hunterinfo_52724	8					84673
52700	monm041303	3			hunterinfo_52700	8					84650
52722	monm041601	1			hunterinfo_52722	8					84672
52723	monm041603	2			hunterinfo_52723	8					84672
52721	monm041604	3			hunterinfo_52721	8					84672
52707	monm041104	1			hunterinfo_52707	8					84657
52728	monrm040099	2			hunterinfo_52728	8					84676
52725	monrm040098	2			hunterinfo_52725	8					84680
52726	monrm040102	1			hunterinfo_52726	8					84681
52727	monrm040100	3			hunterinfo_52727	8					84681
