STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	Count	CountEx	RefreshMonster	TrackInfo	SceneID	HideNpcID	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID
51849		1			hunterinfo_51849	7					
51850		1			hunterinfo_51850	7					
51851		1			hunterinfo_51851	7					
51852		1			hunterinfo_51852	7					
51853		1			hunterinfo_51853	7					
51854		1			hunterinfo_51854	7					
51855		1			hunterinfo_51855	7					
51856		1			hunterinfo_51856	7					
51858		1			hunterinfo_51858	7					
51859		1			hunterinfo_51859	7					
51860		1			hunterinfo_51860	7					
51861		1			hunterinfo_51861	7					
51862		1			hunterinfo_51862	7					
51863		1			hunterinfo_51863	7					
51864		1			hunterinfo_51864	7					
51865		1			hunterinfo_51865	7					
51866		1			hunterinfo_51866	7					
51867		1			hunterinfo_51867	7					
51825	monm032701	5			hunterinfo_51825	7					84550
51826	monm032700	4			hunterinfo_51826	7					84550
51827	monm032702	4			hunterinfo_51827	7					84551
51828	monm032100	5			hunterinfo_51828	7					84551
51830	monm032400	4			hunterinfo_51830	7					84553
51831	monm032401	5			hunterinfo_51831	7					84553
51832	monm032201	4			hunterinfo_51832	7					84554
51833	monm032200	5			hunterinfo_51833	7					84554
51834	monm032300	4			hunterinfo_51834	7					84555
51835	monm032500	4			hunterinfo_51835	7					84556
51836	monm032501	5			hunterinfo_51836	7					84556
51837	monm032900	3			hunterinfo_51837	7					84557
51839	monm032901	5			hunterinfo_51839	7					84558
51840	monm032902	4			hunterinfo_51840	7					84558
51841	monm032800	5			hunterinfo_51841	7					84559
51842	monm032200	6			hunterinfo_51842	7					84561
51845	monm032601	5			hunterinfo_51845	7					84563
51846	monm032502	4			hunterinfo_51846	7					84564
51847	monm032203	5			hunterinfo_51847	7					84566
51848	monm032201	6			hunterinfo_51848	7					84566
51829	WorldNpc03715	1			hunterinfo_51829	7		1	QiecuoTitle_51829	QiecuoMenu_51829	84552
51838	monm032902	4			hunterinfo_51838	7					84557
51843	monm032403	3			hunterinfo_51843	7					84562
51844	monm032402	4			hunterinfo_51844	7					84562
