STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	Count	CountEx	RefreshMonster	TrackInfo	SceneID	HideNpcID	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID
45611	monf060706	1			hunterinfo_45611	23					83311
45613	monf060801				hunterinfo_45613	23					83314
45614	monf060802	3			hunterinfo_45614	23					83314
45615	WorldNpc07619	1			hunterinfo_45615	23		1	QiecuoTitle_45615	QiecuoMenu_45615	83316
45619	monf060602	3			hunterinfo_45619	23					83318
45621	monf060401	3			hunterinfo_45621	23					83323
45620	monf060400	3			hunterinfo_45620	23					83323
45617	monf060600	3			hunterinfo_45617	23					83318
45616	monf060500	3			hunterinfo_45616	23					83317
45612	monf060800	3			hunterinfo_45612	23					83314
45609	monf060704	3			hunterinfo_45609	23					83310
45610	monf060705	3			hunterinfo_45610	23					83310
45608	monf060707	3			hunterinfo_45608	23					83309
45606	monf060700	3			hunterinfo_45606	23					83308
45607	monf060701	3			hunterinfo_45607	23					83308
45605	monf060300	3			hunterinfo_45605	23					83307
45604	monf060100	3			hunterinfo_45604	23					83306
45603	monf060202	3			hunterinfo_45603	23					83305
45602	monf060100	3			hunterinfo_45602	23					83304
45601	monf060703	3			hunterinfo_45601	23					83300
45600	monf060708	3			hunterinfo_45600	23					83300
45618	monf060601	2			hunterinfo_45618	23					83318
