STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	Count	RefreshMonster	TrackInfo	SceneID	HideAccept	IsNeedCreator	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID
48780	monf094201	10		hunterinfo_48780	26						84059
48781	monf094202	10		hunterinfo_48781	26						84060
48782	monf094300	10		hunterinfo_48782	26						84061
48783	monf094400	10		hunterinfo_48783	26						84061
48784	monf094301	10		hunterinfo_48784	26						84062
48785	monf094401	10		hunterinfo_48785	26						84062
48786	monf094100	10		hunterinfo_48786	26						84063
48787	monf094101	10		hunterinfo_48787	26						84064
48788	monf094102	10		hunterinfo_48788	26						84064
48789	monf094500	10		hunterinfo_48789	26						84065
48790	monf094700	10		hunterinfo_48790	26						84065
48791	monf094600	10		hunterinfo_48791	26						84066
48792	monf094601	10		hunterinfo_48792	26						84066
48797	monf094702	10		hunterinfo_48797	26						84069
48796	monf094502	10		hunterinfo_48796	26						84068
48795	monf094503	10		hunterinfo_48795	26						84068
48793	monf094502	10		hunterinfo_48793	26						84067
48794	monf094503	10		hunterinfo_48794	26						84067
48798	monf094200	10		hunterinfo_48798	26						84070
48800	monf094200	10		hunterinfo_48800	26						84073
48801	monf094701	10		hunterinfo_48801	26						84074
48802	monf094700	10		hunterinfo_48802	26						84074
48803	monf094202	10		hunterinfo_48803	26						84075
48804	monf094201	10		hunterinfo_48804	26						"8,405,684,075"
48805	monf094100	10		hunterinfo_48805	26						
48799	monf094701	10		hunterinfo_48799	26						84071
