STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	Count	CountEx	RefreshMonster	TrackInfo	SceneID	HideNpcID	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID
35600	monc020200	10			hunterinfo_35600	13					81078
35602	monc020102	8			hunterinfo_35602	13					81080
35603	monc020300	6			hunterinfo_35603	13					81081
35604	monc020400	12			hunterinfo_35604	13					81082
35605	monc020202	12			hunterinfo_35605	13					81083
35606	monc020401	8			hunterinfo_35606	13					81084
35607	monc021301	6			hunterinfo_35607	13					81085
35608	monc021101	8			hunterinfo_35608	13					81086
35609	monc021200	8			hunterinfo_35609	13					81087
35611	monc020300	6			hunterinfo_35611	13					81100
35613	monc020201	10			hunterinfo_35613	13					81102
35614	monc020600	6			hunterinfo_35614	13					81103
35615	monc021100	4			hunterinfo_35615	13					81104
35618	monc022502	12			hunterinfo_35618	13					81107
35619	monc021100	6			hunterinfo_35619	13					81108
35620	monc020203	10			hunterinfo_35620	13					81109
35621	monc021101	6			hunterinfo_35621	13					81110
35623	monc021601	10			hunterinfo_35623	13					81123
35634	monc021700	5			hunterinfo_35634	13					81123
35624	monc020500	10			hunterinfo_35624	13					81124
35635	monc020600	8			hunterinfo_35635	13					81124
35625	monc021701	10			hunterinfo_35625	13					81125
35636	monc021702	4			hunterinfo_35636	13					81125
35626	monc020700	12			hunterinfo_35626	13					81126
35637	monc020701	4			hunterinfo_35637	13					81126
35628	monc021101	10			hunterinfo_35628	13					81128
35639	monc021201	10			hunterinfo_35639	13					81128
35629	monc022102	10			hunterinfo_35629	13					81129
35640	monc022103	10			hunterinfo_35640	13					81129
35630	monc020401	10			hunterinfo_35630	13					81130
35641	monc020502	10			hunterinfo_35641	13					81130
35631	monc022501	10			hunterinfo_35631	13					81131
35642	monc022502	10			hunterinfo_35642	13					81131
35632	monc023201	10			hunterinfo_35632	13					81132
35643	monc023202	10			hunterinfo_35643	13					81132
35644	monc022502	10			hunterinfo_35644	13					81139
35645	monc022100	4			hunterinfo_35645	13					81140
35646	monc023203	1			hunterinfo_35646	13					81141
35647	monc020102	6			hunterinfo_35647	13					81142
35648	monc022101	8			hunterinfo_35648	13					81143
35649	monc020502	10			hunterinfo_35649	13					81144
35650	monc022702	5			hunterinfo_35650	13					81145
35651	monc023301	1			hunterinfo_35651	13					81146
35653	monc022400	10			hunterinfo_35653	13					81148
35654	monc023500	8			hunterinfo_35654	13					81149
35655	monc022800	8			hunterinfo_35655	13					81150
35656	monc022704	10			hunterinfo_35656	13					81151
35657	monc022701	10			hunterinfo_35657	13					81152
35658	monc020202	10			hunterinfo_35658	13					81153
35601	monc020703	10			hunterinfo_35601	13					81079
35659	monc020203	10			hunterinfo_35659	13					81162
35652	monc022106	8			hunterinfo_35652	13					81147
35660	monc020301	10			hunterinfo_35660	13					81166
35661	monc022502	10			hunterinfo_35661	13					81167
35663	monc020102	10			hunterinfo_35663	13					81171
35664	monc023201	10			hunterinfo_35664	13					81172
35666	monc020401	10			hunterinfo_35666	13					81176
35616	monc020702	3			hunterinfo_35616	13					81105
35617	monc020102	10			hunterinfo_35617	13					81106
35612	monv020300	10			hunterinfo_35612	13					81101
35662	monc020103	5			hunterinfo_35662	13		1			81169
35610	monc020101	5			hunterinfo_35610	13					81088
35667	monrc025072	12			hunterinfo_35667	13					81057
35668	monrc025073	1			hunterinfo_35668	13					81057
35622	monc020203	3			hunterinfo_35622	13					81122
35633	monc020402	3			hunterinfo_35633	13					81122
35627	monc020302	3			hunterinfo_35627	13					81127
35638	monc020400	3			hunterinfo_35638	13					81127
