STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	Count	CountEx	RefreshMonster	TrackInfo	SceneID	HideNpcID	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID
33601	WorldNpc00523	1			hunterinfo_33601	3		1	QiecuoTitle_33601	QiecuoMenu_33601	80611
33602	WorldNpc00503	1			hunterinfo_33602	3		1	QiecuoTitle_33602	QiecuoMenu_33602	80621
33603	WorldNpc00590	1			hunterinfo_33603	3		1	QiecuoTitle_33603	QiecuoMenu_33603	80605
33604	WorldNpc00519	1			hunterinfo_33604	3		1	QiecuoTitle_33604	QiecuoMenu_33604	80610
33608	eytestcyh005	1			hunterinfo_33608	3		1	QiecuoTitle_33608	QiecuoMenu_33608	80629
33612	eytestcyh004	1			hunterinfo_33612	3		1	QiecuoTitle_33612	QiecuoMenu_33612	80633
33606	monrv030233	2			hunterinfo_33606	3					80626
33607	monrv030234	2			hunterinfo_33607	3					80628
33609	monrv030237	2			hunterinfo_33609	3					80630
33610	monrv030238	2			hunterinfo_33610	3					80630
33611	monrv030239	2			hunterinfo_33611	3					80630
33613	monrv030235	3			hunterinfo_33613	3					80634
33614	monrv030236	5			hunterinfo_33614	3					80635
33615	monrv03106	8			hunterinfo_33615	3					
