STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	Count	RefreshMonster	TrackInfo	SceneID	HideAccept	IsNeedCreator	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID
41	monrm013901	2		hunterinfo_41	5						48
42	monm010304	2		hunterinfo_42	5						
40	monrm024718	4		hunterinfo_40	6		1				
43	hd_qm_007	1		hunterinfo_43	15			1	QiecuoTitle_43	QiecuoMenu_43	206;291;292;293
1	BossClone003001	1		hunterinfo_1	clone003						
2	BossClone003001	1		hunterinfo_2	clone003						
3	BossClone003001	1		hunterinfo_3	clone003						
4	BossClone003001										
5	BossClone003001	1		hunterinfo_5	clone003						
6	BossClone003001	1		hunterinfo_6	clone003						
7	BossClone003001	1		hunterinfo_7	clone003						
8	BossClone003001	1		hunterinfo_8	clone003						
44	NpcSkill001001	3		hunterinfo_44	15						240
9	world_korea_c01	1		hunterinfo_9	5			1	QiecuoTitle_9	QiecuoMenu_9	420
10	world_korea_c02	1		hunterinfo_10	6			1	QiecuoTitle_10	QiecuoMenu_10	421
11	world_korea_c03	1		hunterinfo_11	7			1	QiecuoTitle_11	QiecuoMenu_11	422
12	world_korea_c04	1		hunterinfo_12	8			1	QiecuoTitle_12	QiecuoMenu_12	423
13	world_korea_c05	1		hunterinfo_13	9			1	QiecuoTitle_13	QiecuoMenu_13	424
14	world_korea_c06	1		hunterinfo_14	10			1	QiecuoTitle_14	QiecuoMenu_14	425
15	world_korea_c07	1		hunterinfo_15	11			1	QiecuoTitle_15	QiecuoMenu_15	426
16	world_korea_c08	1		hunterinfo_16	12			1	QiecuoTitle_16	QiecuoMenu_16	427
17	world_korea_01	1		hunterinfo_17							434
45	monc035300	10		hunterinfo_45	15						228
46	world_korea_c09	1		hunterinfo_46	769			1	QiecuoTitle_46	QiecuoMenu_46	
47	world_korea_c10	1		hunterinfo_47	832			1	QiecuoTitle_47	QiecuoMenu_47	
