STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	Count	RefreshMonster	TrackInfo	SceneID	HideAccept	IsNeedCreator	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID
3126	tianshan_zyb_001	1		hunterinfo_3126	17			1	QiecuoTitle_3126	QiecuoMenu_3126	22241
3127	tianshan_zyb_002	1		hunterinfo_3127	17			1	QiecuoTitle_3127	QiecuoMenu_3127	22241
3129	tianshan_gw_002	3		hunterinfo_3129	595						22248
3130	tianshan_gw_003	3		hunterinfo_3130	595						22248
3128	tianshan_zyb_005	1		hunterinfo_3128	595			1	QiecuoTitle_3128	QiecuoMenu_3128	22244
3134	tianshan_gw_008	1		hunterinfo_3134	595						22256
3132	tianshan_gw_006	3		hunterinfo_3132	595						22253
3131	tianshan_gw_004	3		hunterinfo_3131	595						22248
3133	tianshan_gw_007	3		hunterinfo_3133	595						22256
