STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID	BufferID
71151	ym_zybnpc_001	16	DialogID_71151			interactinfo_71151	okmenu_71151	71151	
71165	Eventnpc_ymzyb_005	16				interactinfo_71165		71157	
71187									
71205	ymsj_fenwei_003	16	DialogID_71205			interactinfo_71205	okmenu_71205		
71206	ymsj_fenwei_004	16	DialogID_71206			interactinfo_71206	okmenu_71206		
71207	ymsj_fenwei_005	16	DialogID_71207			interactinfo_71207	okmenu_71207		
71222	WorldNpc09955	17	DialogID_71222			interactinfo_71222	okmenu_71222	71350	
71223	ngsj_guj_juqing_001	17	DialogID_71223			interactinfo_71223	okmenu_71223	71350	
71224	ngsj_guj_juqing_002	17	DialogID_71224			interactinfo_71224	okmenu_71224	71350	
71225	ngsj_guj_juqing_003	17	DialogID_71225			interactinfo_71225	okmenu_71225	71350	
71227	ngsj_guj_juqing_002	17	DialogID_71227			interactinfo_71227	okmenu_71227	71351	
71226	ngsj_guj_juqing_002	17	DialogID_71226			interactinfo_71226	okmenu_71226	71351	
71229	ngsj_guj_juqing_004	17	DialogID_71229			interactinfo_71229	okmenu_71229	71353	
71230	ngsj_guj_juqing_005	17	DialogID_71230			interactinfo_71230	okmenu_71230	71353	
71231	WorldNpc09955	17	DialogID_71231			interactinfo_71231	okmenu_71231	71353	
71232	ngsj_guj_juqing_006	17	DialogID_71232			interactinfo_71232	okmenu_71232	71353	
71234	WorldNpc09955	17	DialogID_71234			interactinfo_71234	okmenu_71234	71354	
71236	WorldNpc09796	17	DialogID_71236			interactinfo_71236	okmenu_71236	71356	
71239	ngsj_guj_juqing_010	17	DialogID_71239			interactinfo_71239	okmenu_71239	71357	
71237	WorldNpc09955	17	DialogID_71237			interactinfo_71237	okmenu_71237	71357	
71238	ngsj_guj_juqing_009	17	DialogID_71238			interactinfo_71238	okmenu_71238	71357	
71240	WorldNpc09968	17	DialogID_71240			interactinfo_71240	okmenu_71240	71357	
71241	WorldNpc09955	17	DialogID_71241			interactinfo_71241	okmenu_71241	71357	
71247	ngsj_guj_juqing_012	17	DialogID_71247			interactinfo_71247	okmenu_71247	71359	
71251	ngsj_guj_juqing_013	17	DialogID_71251			interactinfo_71251	okmenu_71251	71361	
71253	ngsj_guj_juqing_013	17	DialogID_71253			interactinfo_71253	okmenu_71253	71361	
71257	ngsj_guj_juqing_014	17	DialogID_71257			interactinfo_71257	okmenu_71257	71362	
71256	WorldNpc09955	17	DialogID_71256			interactinfo_71256	okmenu_71256	71362	
71264	WorldNpc09992	17	DialogID_71264			interactinfo_71264	okmenu_71264	71364	
71263	EventNpc_ngsj_guj_jqi003	17	DialogID_71263			interactinfo_71263	okmenu_71263	71364	
71259	EventNpc_ngsj_guj_jqi001	17	DialogID_71259			interactinfo_71259	okmenu_71259	71363	
71261	EventNpc_ngsj_guj_jqi002	17	DialogID_71261			interactinfo_71261	okmenu_71261	71363	
71266	ngsj_guj_juqing_016	17	DialogID_71266			interactinfo_71266	okmenu_71266	71365	
71272	WorldNpc09955	17	DialogID_71272			interactinfo_71272	okmenu_71272	71368	
71235	WorldNpc09796	17	DialogID_71235	item_ngsj_juqingguj_003-1		interactinfo_71235	okmenu_71235	71356	
71245	ngsj_guj_juqing_012	17	DialogID_71245	item_ngsj_juqingguj_005-1		interactinfo_71245	okmenu_71245	71359	
71271		17	DialogID_71271			interactinfo_71271	okmenu_71271	71367	
71153	ym_zybnpc_002	16	DialogID_71153		item_ymzyb_002-1	interactinfo_71153	okmenu_71153	71154	
71154	ym_zybnpc_003	16	DialogID_71154		item_ymzyb_002-1	interactinfo_71154	okmenu_71154	71154	
71155	ym_zybnpc_004	16	DialogID_71155		item_ymzyb_002-1	interactinfo_71155	okmenu_71155	71154	
71156	ym_zybnpc_005	16	DialogID_71156		item_ymzyb_002-1	interactinfo_71156	okmenu_71156	71154	
71158	WorldNpc10049	16	DialogID_71158	item_ymzyb_003-1		interactinfo_71158	okmenu_71158	71154	
71157	Eventnpc_ymzyb_002	16				interactinfo_71157		71154	
71159	WorldNpc10591	16	DialogID_71159		item_ymzyb_003-1	interactinfo_71159	okmenu_71159	71155	
71160	WorldNpc10591	16	DialogID_71160			interactinfo_71160	okmenu_71160	71155	
71161	Eventnpc_ymzyb_003	16				interactinfo_71161		71155	
71162	Eventnpc_ymzyb_004	16				interactinfo_71162		71155	
71163	ym_zybnpc_006	16	DialogID_71163	item_ymzyb_01-1		interactinfo_71163	okmenu_71163	71156	
71164	ym_zybnpc_006	16	DialogID_71164	item_ymzyb_02-1		interactinfo_71164	okmenu_71164	71156	
71244	WorldNpc09955	17	DialogID_71244			interactinfo_71244	okmenu_71244		
71248	WorldNpc09958	17	DialogID_71248			interactinfo_71248	okmenu_71248		
71255	WorldNpc09955	17	DialogID_71255			interactinfo_71255	okmenu_71255		
71258	WorldNpc09955	17	DialogID_71258			interactinfo_71258	okmenu_71258		
