STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID	HideNpcID	BufferID
5750	ldjhd_03	17	DialogID_5750			interactinfo_5750	okmenu_5750	43752		
5752	ldjhd_07	17	DialogID_5752			interactinfo_5752	okmenu_5752	43754		
5755	ldjhd_05	17	DialogID_5755			interactinfo_5755	okmenu_5755	43753		
5753	ldjhd_09	17	DialogID_5753			interactinfo_5753	okmenu_5753	43755		
5751	FuncNpc00607	17	DialogID_5751	taskitem_ldj_02-1		interactinfo_5751	okmenu_5751	43752		
5754	ldjhd_03	17	DialogID_5754		taskitem_ldj_02-1	interactinfo_5754	okmenu_5754	43752		
5758	hd_dw_001		DialogID_5758		taskitem_dwhd001-1|taskitem_dwhd002-1|taskitem_dwhd003-1	interactinfo_5758	okmenu_5758			
5766	jltq_qz_xmz04	15	DialogID_5766			interactinfo_5766	okmenu_5766	43802		
5763	jltq_qz_003	15	DialogID_5763	items_jltq_wensh-1		interactinfo_5763	okmenu_5763	43801		
5760	jltq_qz_001	15	DialogID_5760			interactinfo_5760	okmenu_5760			
5761	EventNpc_jltq_001	15	DialogID_5761			interactinfo_5761	okmenu_5761			
5764	jltq_qz_003	15	DialogID_5764	item_jltq_lp_01-1		interactinfo_5764	okmenu_5764	43801		
5775	EventNpc_jltq_007	15	DialogID_5775			interactinfo_5775	okmenu_5775	43801		buf_jltq_04
5772	jltq_qz_xmz03	15	DialogID_5772			interactinfo_5772	okmenu_5772	43811		
5773	jltq_qz_001	15	DialogID_5773			interactinfo_5773	okmenu_5773	43812		
5768	jltq_qz_001	15	DialogID_5768			interactinfo_5768	okmenu_5768	43810		
5769	jltq_qz_001	15	DialogID_5769	111		interactinfo_5769	okmenu_5769	43810		
5770	EventNpc_jltq_003	15	DialogID_5770			interactinfo_5770	okmenu_5770	43810		
5762	jltq_qz_002	15	DialogID_5762			interactinfo_5762	okmenu_5762			
5785	EventNpc_jltq_012	15				interactinfo_5785		43800		
5786	EventNpc_jltq_011	15				interactinfo_5786		43811		
5774	jltq_qz_xmz03	15	DialogID_5774			interactinfo_5774	okmenu_5774	43812		buf_jltq_07
5776	jltq_qz_xmz04	15	DialogID_5776	item_jltq_02-1		interactinfo_5776	okmenu_5776	43813		
