STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID	BufferID
71651	waiyuwulin_88_037	2	DialogID_71651			interactinfo_71651	okmenu_71651	71655	
71652	waiyuwulin_88_012	2	DialogID_71652			interactinfo_71652	okmenu_71652	71657	
71653	waiyuwulin_88_044	2	DialogID_71653			interactinfo_71653	okmenu_71653		
71817	gathernpc_mmzw_other_001	14		item_mmzw_other_001		interactinfo_71817		71705	
71816	npc_mmzw_other_001	14	DialogID_71816	item_mmzw_other_002-1	item_mmzw_other_001-1	interactinfo_71816	okmenu_71816	71705	
71800	npc_sl_mxm01	653	DialogID_71800			interactinfo_71800	okmenu_71800	71800	
71801	npc_sl_mxm01	653	DialogID_71801			interactinfo_71801	okmenu_71801	71800	
71802	npc_wd_mxm01	652	DialogID_71802			interactinfo_71802	okmenu_71802	71801	
71803	npc_wd_mxm01	652	DialogID_71803			interactinfo_71803	okmenu_71803	71801	
71812	npc_tm_mxm01	650	DialogID_71812	item_tm_mxm01-2		interactinfo_71812	okmenu_71812	71806	
71805	npc_em_mxm01	651	DialogID_71805			interactinfo_71805	okmenu_71805	71802	
71813	npc_tm_mxm01	650	DialogID_71813		item_tm_mxm02-2	interactinfo_71813	okmenu_71813	71806	
71818	npc_tm_mxm04	650	DialogID_71818	item_tm_mxm02-1	item_tm_mxm01-1	interactinfo_71818	okmenu_71818	71806	
71819	npc_tm_mxm05	650	DialogID_71819	item_tm_mxm02-1	item_tm_mxm01-1	interactinfo_71819	okmenu_71819	71806	
71804	npc_em_mxm01	651	DialogID_71804			interactinfo_71804	okmenu_71804	71802	
71806	npc_jlg_mxm01	649	DialogID_71806			interactinfo_71806	okmenu_71806	71803	
71807	npc_jlg_mxm01	649	DialogID_71807			interactinfo_71807	okmenu_71807	71803	
71808	npc_gb_mxm01	647	DialogID_71808			interactinfo_71808	okmenu_71808	71804	
71809	npc_gb_mxm01	647	DialogID_71809			interactinfo_71809	okmenu_71809	71804	
71810	npc_jzt_mxm01	648	DialogID_71810			interactinfo_71810	okmenu_71810	71805	
71811	npc_jzt_mxm01	648	DialogID_71811			interactinfo_71811	okmenu_71811	71805	
71814	npc_jyw_mxm01	646	DialogID_71814			interactinfo_71814	okmenu_71814	71807	
71815	npc_jyw_mxm01	646	DialogID_71815			interactinfo_71815	okmenu_71815	71807	
71881			DialogID_71881			interactinfo_71881		71808	
71661	mie_jl_001	649	DialogID_71661			interactinfo_71661	okmenu_71661	71703	
71660	mie_jl_001	649	DialogID_71660	mie_jl_01-1		interactinfo_71660	okmenu_71660	71703	
71654	mie_jyw_001	646	DialogID_71654			interactinfo_71654	okmenu_71654	71701	
71658	mie_jyw_001	646	DialogID_71658			interactinfo_71658	okmenu_71658	71701	
71878	mie_tm_005	650	DialogID_71878			interactinfo_71878	okmenu_71878	71702	
71659	mie_tm_005	650	DialogID_71659	mie_tm_02-3		interactinfo_71659	okmenu_71659	71702	
71876	mie_tm_007	650	DialogID_71876		mie_tm_02-1	interactinfo_71876	okmenu_71876	71702	
71879	mie_tm_008	650	DialogID_71879		mie_tm_02-1	interactinfo_71879	okmenu_71879	71702	
71880	mie_tm_009	650	DialogID_71880		mie_tm_02-1	interactinfo_71880	okmenu_71880	71702	
71668	mie_jz_006	648	DialogID_71668	mie_jz_02-1		interactinfo_71668	okmenu_71668	71704	
71669	mie_jz_007	648	DialogID_71669	mie_jz_02-1		interactinfo_71669	okmenu_71669	71704	
71670	mie_jz_008	648	DialogID_71670	mie_jz_02-1		interactinfo_71670	okmenu_71670	71704	
71671	mie_jz_002	648	DialogID_71671		mie_jz_02-3	interactinfo_71671	okmenu_71671	71704	
71882	mie_jz_002	648	DialogID_71882			interactinfo_71882	okmenu_71882		
71883						interactinfo_71883		71809	
71884						interactinfo_71884		71810	
71885						interactinfo_71885		71811	
71886						interactinfo_71886		71812	
71887						interactinfo_71887		71813	
71888						interactinfo_71888		71814	
71889						interactinfo_71889		71815	
71820	NPC_mm_dy_01	653	DialogID_71820	useitem_mm_dy_02-1		interactinfo_71820	okmenu_71820	71900	
71822	NPC_mm_dy_04	647	DialogID_71822			interactinfo_71822	okmenu_71822	71906	
71823	NPC_mm_dy_03	651	DialogID_71823	useitem_mm_dy_04-1		interactinfo_71823	okmenu_71823	71909	
71663	mie_jl_003	649	DialogID_71663		mie_jl_01-1	interactinfo_71663	okmenu_71663		
71664	mie_jl_003	649	DialogID_71664			interactinfo_71664	okmenu_71664		
71672	npc_dm_mm_001	637	DialogID_71672		taskitem_88yinshi_04-1	interactinfo_71672	okmenu_71672	71686	
71673	newmp_gumu_mm_001	541	DialogID_71673		taskitem_88yinshi_05-1	interactinfo_71673	okmenu_71673	71687	
71674	npc_ss_mm_001	573	DialogID_71674		taskitem_88yinshi_07-1	interactinfo_71674	okmenu_71674	71688	
71675	newmp_changfeng_mm_001	15	DialogID_71675		taskitem_88yinshi_06-1	interactinfo_71675	okmenu_71675	71689	
71676	npc_wx_mm_001	634	DialogID_71676		taskitem_88yinshi_08-1	interactinfo_71676	okmenu_71676	71690	
71680	npc_hsp_mm_001	571	DialogID_71680		taskitem_88yinshi_03-1	interactinfo_71680	okmenu_71680		
71677	newmp_xuedao_mm_001	552	DialogID_71677		taskitem_88yinshi_01-1	interactinfo_71677	okmenu_71677	71691	
71679	newmp_nlb_mm_001	565	DialogID_71679		taskitem_88yinshi_02-1	interactinfo_71679	okmenu_71679	71692	
71821	NPC_mm_dy_02	652	DialogID_71821	useitem_mm_dy_03-1|useitem_mm_dy_01-1		interactinfo_71821	okmenu_71821	71903	
