STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID
8007	WorldNpc03810	8	DialogID_8007_1			interactinfo_8007_1	okmenu_8007_1	
8033	WorldNpc05105	24	DialogID_8033_2			interactinfo_8033_2	okmenu_8033_2	
8204	WorldNpc05815	21	DialogID_8204		taskitem_79y-1	interactinfo_8204	okmenu_8204	
8012	WorldNpc03816	8	DialogID_8012_1		taskitem_11y-1	interactinfo_8012_1	okmenu_8012_1	48043
8013	WorldNpc03809	8	DialogID_8013_2			interactinfo_8013_2	okmenu_8013_2	48043
8014	WorldNpc03816	8	DialogID_8014_1			interactinfo_8014_1	okmenu_8014_1	48047
8021	WorldNpc03822	8	DialogID_8021_1			interactinfo_8021_1	okmenu_8021_1	48076
8022	WorldNpc03816	8	DialogID_8022_1		taskitem_15y-1|taskitem_19y-1	interactinfo_8022_1	okmenu_8022_1	48080
8027	WorldNpc03930	8	DialogID_8027_1			interactinfo_8027_1	okmenu_8027_1	48089
8029	WorldNpc03930	8	DialogID_8029_1			interactinfo_8029_1	okmenu_8029_1	48091
8030	WorldNpc05102	24	DialogID_8030_2			interactinfo_8030_2	okmenu_8030_2	48091
8031	WorldNpc05104	24	DialogID_8031_1			interactinfo_8031_1	okmenu_8031_1	48097
8032	WorldNpc05102	24	DialogID_8032			interactinfo_8032	okmenu_8032	48099
8036	WorldNpc05103	24	DialogID_8036_1			interactinfo_8036_1	okmenu_8036_1	48113
8037	WorldNpc05106	24	DialogID_8037_1			interactinfo_8037	okmenu_8037_1	48117
8038	WorldNpc05103	24	DialogID_8038_2			interactinfo_8038	okmenu_8038_2	48117
8039	WorldNpc05107	24	DialogID_8039			interactinfo_8039	okmenu_8039	48120
8040	WorldNpc04004	8	DialogID_8040_1			interactinfo_8040_1	okmenu_8040_1	48183
8041	WorldNpc04002	8	DialogID_8041_1			interactinfo_8041_1	okmenu_8041_1	48185
8042	WorldNpc04024	8	DialogID_8042_1			interactinfo_8042_1	okmenu_8042_1	48189
8043	WorldNpc04013	8	DialogID_8043_1			interactinfo_8043_1	okmenu_8043_1	48192
8044	WorldNpc04057	8	DialogID_8044_2			interactinfo_8044_2	okmenu_8044_2	48192
8045	WorldNpc03808	8	DialogID_8045_1			interactinfo_8045_1	okmenu_8045_1	48198
8047	WorldNpc04004	8	DialogID_8047_2			interactinfo_8047_2	okmenu_8047_2	48201
8048	WorldNpc04086	8	DialogID_8048_1			interactinfo_8048_1	okmenu_8048_1	48207
8049	WorldNpc04008	8	DialogID_8049_1			interactinfo_8049_1	okmenu_8049_1	48210
8050	WorldNpc04009	8	DialogID_8050_1			interactinfo_8050_1	okmenu_8050_1	48212
8051	WorldNpc03808	8	DialogID_8051_1			interactinfo_8051_1	okmenu_8051_1	48219
8052	WorldNpc03835	8	DialogID_8052_1			interactinfo_8052_1	okmenu_8052_1	48235
8053	WorldNpc03842	8	DialogID_8053_1			interactinfo_8053_1	okmenu_8053_1	48243
8054	WorldNpc04401	11	DialogID_8054_1			interactinfo_8054_1	okmenu_8054_1	48247
8055	WorldNpc09206	2	DialogID_8055_1			interactinfo_8055_1	okmenu_8055_1	48263
8056	WorldNpc01621	14	DialogID_8056_1			interactinfo_8056_1	okmenu_8056_1	48274
