STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID
7000	WorldNpc03313	7	DialogID_7000		taskitem_w001-1	interactinfo_7000	okmenu_7000	46001
7001	WorldNpc03313	7	DialogID_7001			interactinfo_7001	okmenu_7001	46001
7002	WorldNpc03335	7	DialogID_7002	taskitem_w003-1		interactinfo_7002	okmenu_7002	46006
7003	WorldNpc03313	7	DialogID_7003		taskitem_w003-1	interactinfo_7003	okmenu_7003	46006
7004	WorldNpc03313	7	DialogID_7004	taskitem_w004-1		interactinfo_7004	okmenu_7004	46008
7013	WorldNpc03313	7	DialogID_7013		taskitem_w007-1	interactinfo_7013	okmenu_7013	46045
7014	WorldNpc03305	7	DialogID_7014		taskitem_w008-1	interactinfo_7014	okmenu_7014	46051
7015	WorldNpc03306	7	DialogID_7015			interactinfo_7015	okmenu_7015	46054
7017	WorldNpc03314	7	DialogID_7017	taskitem_w114-1		interactinfo_7017	okmenu_7017	46097
7018	WorldNpc03316	7	DialogID_7018		taskitem_w114-1	interactinfo_7018	okmenu_7018	46097
7019	EventNpc46099	24				interactinfo_7019		46099
7020	EventNpc46109	24				interactinfo_7020		46109
7021	EventNpc46115	24				interactinfo_7021		46115
7022	EventNpc46128	24				interactinfo_7022		46128
7023	WorldNpc05098	24	DialogID_7023	taskitem_w118-1		interactinfo_7023	okmenu_7023	46129
7024	WorldNpc05099	24	DialogID_7024		taskitem_w118-1	interactinfo_7024	okmenu_7024	46129
7025	WorldNpc05100	24	DialogID_7025		taskitem_w118-1	interactinfo_7025	okmenu_7025	46131
7026	WorldNpc04405	11	DialogID_7026			interactinfo_7026	okmenu_7026	46159
7027	WorldNpc04404	11	DialogID_7027			interactinfo_7027	okmenu_7027	46159
7028	WorldNpc04401	11	DialogID_7028		taskitem_w120-1	interactinfo_7028	okmenu_7028	46169
7029	EventNpc46170	11				interactinfo_7029		46170
7030	EventNpc46173	11				interactinfo_7030		46173
7031	WorldNpc04701	11	DialogID_7031		taskitem_w121-1	interactinfo_7031	okmenu_7031	46177
7032	WorldNpc03305	7	DialogID_7032		taskitem_w123-1	interactinfo_7032	okmenu_7032	46187
7033	WorldNpc02036	19	DialogID_7033			interactinfo_7033	okmenu_7033	46194
7034	EventNpc46203	19				interactinfo_7034		46203
7035	EventNpc46209	19				interactinfo_7035		46209
7036	WorldNpc02038	19	DialogID_7036			interactinfo_7036	okmenu_7036	46224
7037	WorldNpc02035	19	DialogID_7037			interactinfo_7037	okmenu_7037	46227
7038	WorldNpc03305	7	DialogID_7038			interactinfo_7038	okmenu_7038	46227
7039	WorldNpc06647	20	DialogID_7039	taskitem_w129-20		interactinfo_7039	okmenu_7039	46235
7040	WorldNpc06648	20	DialogID_7040		taskitem_w129-20	interactinfo_7040	okmenu_7040	46235
7041	EventNpc46240	20				interactinfo_7041		46240
7042	WorldNpc06651	20	DialogID_7042			interactinfo_7042	okmenu_7042	46243
7043	WorldNpc06652	20	DialogID_7043			interactinfo_7043	okmenu_7043	46243
7044	WorldNpc06653	20	DialogID_7044			interactinfo_7044	okmenu_7044	46243
7045	WorldNpc06645	20	DialogID_7045		taskitem_w130-1	interactinfo_7045	okmenu_7045	46246
7046	WorldNpc06645	20	DialogID_7046	taskitem_w130-1		interactinfo_7046	okmenu_7046	46246
7047	EventNpc46248	20				interactinfo_7047		46248
7048	WorldNpc06646	20	DialogID_7048			interactinfo_7048	okmenu_7048	46251
7049	WorldNpc06652	20	DialogID_7049		taskitem_w131-1	interactinfo_7049	okmenu_7049	46251
7050	WorldNpc06653	20	DialogID_7050		taskitem_w131-1	interactinfo_7050	okmenu_7050	46251
7051	EventNpc46253	20				interactinfo_7051		46253
7052	WorldNpc06654	20	DialogID_7052			interactinfo_7052	okmenu_7052	46255
7053	WorldNpc06654	20	DialogID_7053			interactinfo_7053	okmenu_7053	46255
7054	WorldNpc06654	20	DialogID_7054	useitem_10w-1	taskitem_w132-1	interactinfo_7054	okmenu_7054	46255
7055	WorldNpc06654	20	DialogID_7055			interactinfo_7055	okmenu_7055	46257
7056	WorldNpc06529	20	DialogID_7056			interactinfo_7056	okmenu_7056	46258
7057	EventNpc46258	20				interactinfo_7057		46258
7058	WorldNpc06656	20	DialogID_7058	useitem_11w-1		interactinfo_7058	okmenu_7058	46260
7059	WorldNpc06659	20	DialogID_7059			interactinfo_7059	okmenu_7059	46266
7060	WorldNpc06645	20	DialogID_7060			interactinfo_7060	okmenu_7060	46267
7061	WorldNpc06656	20	DialogID_7061			interactinfo_7061	okmenu_7061	46268
7062	WorldNpc06656	20	DialogID_7062			interactinfo_7062	okmenu_7062	46268
7063	WorldNpc03313	7	DialogID_7063			interactinfo_7063	okmenu_7063	46268
7064	EventNpc46001	7				interactinfo_7064		46001
