STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID
81023	npc_4nei_emei07	10				interactinfo_81023		56023
81021	WorldNpc02604	10	DialogID_81021			interactinfo_81021	okmenu_81021	56021
81031	WorldNpc02604	10	DialogID_81031			interactinfo_81031	okmenu_81031	56031
81002	WorldNpc02604	10	DialogID_81002			interactinfo_81002	okmenu_81002	56001
81044	em814	10	DialogID_81044			interactinfo_81044	okmenu_81044	56044
81045	em815	10	DialogID_81045			interactinfo_81045	okmenu_81045	56044
81033	npc_4nei_emei32	10	DialogID_81033	item_4nei_emei05-1		interactinfo_81033	okmenu_81033	56033
81050	npc_4nei_emei35	10	DialogID_81050	item_4nei_emei06-1		interactinfo_81050	okmenu_81050	56046
81003	WorldNpc02604	10	DialogID_81003	item_4nei_emei01-1		interactinfo_81003	okmenu_81003	56003
81046	em816	10	DialogID_81046			interactinfo_81046	okmenu_81046	56044
81015	npc_4nei_emei02	10				interactinfo_81015		
81047	em813	10	DialogID_81047			interactinfo_81047	okmenu_81047	56044
81026	ItemNpc02201	10	DialogID_81026			interactinfo_81026	okmenu_81026	56021
81049	WorldNpc02636	10	DialogID_81049			interactinfo_81049	okmenu_81049	56046
81025	WorldNpc02621	10	DialogID_81025			interactinfo_81025	okmenu_81025	56021
81027	WorldNpc02692	10	DialogID_81027			interactinfo_81027	okmenu_81027	56021
81028	npc_4nei_emei06	10				interactinfo_81028		
81022	WorldNpc02692	10	DialogID_81022			interactinfo_81022	okmenu_81022	
81060	npc_5n_em_01	10				interactinfo_81060		56083
81070	EventNpc_5n_zx_01	17	DialogID_81070			interactinfo_81070	okmenu_81070	56102
81072	EventNpc_5n_zx_03	17	DialogID_81072			interactinfo_81072	okmenu_81072	56105
81071	EventNpc_5n_zx_02	17				interactinfo_81071		56103
81073	npc_5n_zx_12	17	DialogID_81073			interactinfo_81073	okmenu_81073	56107
81074	EventNpc_5n_zx_04	17	DialogID_81074			interactinfo_81074	okmenu_81074	56107
81075	EventNpc_5n_zx_05	17	DialogID_81075			interactinfo_81075	okmenu_81075	56107
81076	EventNpc_5n_zx_06	17	DialogID_81076			interactinfo_81076	okmenu_81076	56107
81061	npc_5n_em_11	10	DialogID_81061			interactinfo_81061	okmenu_81061	56088
81077	World_qy_em018	17	DialogID_81077			interactinfo_81077	okmenu_81077	56110
81078	ldjhd_05	17	DialogID_81078			interactinfo_81078	okmenu_81078	56110
81079	WorldNpc09624	17	DialogID_81079			interactinfo_81079	okmenu_81079	56110
81080	cd469	17	DialogID_81080			interactinfo_81080	okmenu_81080	56111
81081	WorldNpc09836	17	DialogID_81081			interactinfo_81081	okmenu_81081	56111
81082	WorldNpc09828	17	DialogID_81082			interactinfo_81082	okmenu_81082	56111
81062	npc_5n_em_12	10				interactinfo_81062		56089
81063	EventNpc_5n_zx_07	17				interactinfo_81063		
81065	npc_5n_zx_07	16				interactinfo_81065		56101
81066	npc_5n_zx_09	16				interactinfo_81066		56101
81067	npc_5n_zx_10	16				interactinfo_81067		56101
81068	npc_5n_zx_08	16				interactinfo_81068		56101
81069	npc_5n_zx_05	16	DialogID_81069			interactinfo_81069	okmenu_81069	56101
81084						interactinfo_81084		
81085						interactinfo_81085		
81083	EventNpc_5n_zx_08					interactinfo_81083		
