STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID
81503								
81509	gb161	6						
81501	gb120	6	DialogID_81501			interactinfo_81501	okmenu_81501	56503
81502	gb121	6	DialogID_81502			interactinfo_81502	okmenu_81502	56503
81505	gb161	6						
81506	WorldNpc03149	6		Item_4nei_gb002	Item_4nei_gb001			
81504	WorldNpc03005	6						
81522								
81513								
81508	WorldNpc10645	4		Item_4nei_gb002				
81511	WorldNpc10622	4	DialogID_81511		Item_4nei_gb007-1	interactinfo_81511	okmenu_81511	56513
81512	WorldNpc10949	4	DialogID_81512		Item_4nei_gb007-1	interactinfo_81512	okmenu_81512	56513
81507		6						
81510	WorldNpc10673	4	DialogID_81510	Item_4nei_gb007-2		interactinfo_81510	okmenu_81510	56513
81514	WorldNPC10738	4	DialogID_81514		Item_4nei_gb007-1	interactinfo_81514	okmenu_81514	
81516	gb161	6	DialogID_81516			interactinfo_81516	okmenu_81516	56519
81517	WorldNpc03003	6	DialogID_81517		Item_4nei_gb011-1	interactinfo_81517	okmenu_81517	56535
81518								
81515	gb161	6	DialogID_81515			interactinfo_81515	okmenu_81515	56517
81523	WorldNpc03003	6	DialogID_81523			interactinfo_81523	okmenu_81523	56543
81557								
81526	EventNpc_5nei_gb002	14				interactinfo_81526		56551
81524	yyz068	3				interactinfo_81524		
81525	NPC_5nei_gblz001	3	DialogID_81525				okmenu_81525	
81527	EventNpc_5nei_gb003	332				interactinfo_81527		56558
81528	EventNpc_5nei_gb004	332				interactinfo_81528		56559
81529	tm047	9	DialogID_81529	Item_5nei_gbtz001-1		interactinfo_81529	okmenu_81529	
81531	WorldNpc03003	6	DialogID_81531		Item_5nei_gblsy001-1	interactinfo_81531	okmenu_81531	
81530	NPC_5nei_gbsy001	6	DialogID_81530	Item_5nei_gblsy001-1		interactinfo_81530	okmenu_81530	
