STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID	BufferID	HideNpcID
82501	WorldNpc02205	9	DialogID_82501			interactinfo_82501	okmenu_82501	57501		
82503	WorldNpc02205	9	DialogID_82503			interactinfo_82503	okmenu_82503	57502		
82504	WorldNpc02201	9	DialogID_82504			interactinfo_82504	okmenu_82504	57503		
82514	NPC_4nei_tm_xianren01	17	DialogID_82514				okmenu_82514			
82507	NPC_4nei_tm_paohui00	9	DialogID_82507			interactinfo_82507	okmenu_82507	57509		
82508	NPC_4nei_tm_xianren01	9	DialogID_82508			interactinfo_82508	okmenu_82508	57509		
82509	npc_4neidh_tm	9	DialogID_82509			interactinfo_82509	okmenu_82509	57510		
82511	EvenNPC_4nei_tm_blood00	9	DialogID_82511			interactinfo_82511		57511		
82512	EvenNPC_4nei_tm_blood01	9				interactinfo_82512		57511		
82515	WorldNpc02203	9	DialogID_82515			interactinfo_82515	okmenu_82515	57514		
82516	tm047	9	DialogID_82516			interactinfo_82516	okmenu_82516	57515		
82517	EvenNPC_4nei_tm_blood02	9				interactinfo_82517		57516		
82513	tm047	9	DialogID_82513			interactinfo_82513	okmenu_82513	57512		
82518	WorldNpc02201	9	DialogID_82518			interactinfo_82518	okmenu_82518	57517		
82502	NPC_4nei_tm_smrtmj01	9	DialogID_82502			interactinfo_82502	okmenu_82502	57501		
82506	WorldNpc02201	9	DialogID_82506			interactinfo_82506	okmenu_82506	57506		
82521	WorldNpc02208	9	DialogID_82521			interactinfo_82521	okmenu_82521	57522		
82522	WorldNpc02208	9	DialogID_82522			interactinfo_82522	okmenu_82522	57523	buf_4nei_tmbleed	
82519	EvenNPC_4nei_tm_blood03	9				interactinfo_82519		57507		
82523	EvenNPC_4nei_tm_blood05	9				interactinfo_82523		57524		
82505	WorldNpc02201	9	DialogID_82505			interactinfo_82505	okmenu_82505	57505		
82524	NPC_4nei_tm_smrtmj02	9	DialogID_82524			interactinfo_82524	okmenu_82524	57504		
82520	EvenNPC_4nei_tm_blood04	9	DialogID_82520			interactinfo_82520	okmenu_82520	57526		
82526	EvenNPC_4nei_tm_blood07	9				interactinfo_82526		57526		
82527	WorldNpc02205	9	DialogID_82527			interactinfo_82527	okmenu_82527	57528		
82528	EventNPCxszhh_4nei_protect	15				interactinfo_82528		57532		
82529	EventNPCxszhh_4nei_fgxsh	15				interactinfo_82529		57531		
82531	EventNPCxszhh_4nei_smell01	15				interactinfo_82531		57536		
82532	EventNPCxszhh_4nei_smell02	15				interactinfo_82532		57536		
82533	EventNPCxszhh_4nei_smell03	15				interactinfo_82533		57536		
82530	NPCxszhh_4nei_xiansuo	15	DialogID_82530			interactinfo_82530	okmenu_82530	57536		
82525	EvenNPC_4nei_tm_blood06	9				interactinfo_82525		57526		
82536	NPC_tm5nei_sucker01	9	DialogID_82536			interactinfo_82536	okmenu_82536	57551		
82539	EventNpc_tm5nei_dog	17				interactinfo_82539		57557		
82535	NPC_tm5nei_xiansuo	9	DialogID_82535			interactinfo_82535	okmenu_82535	57552		
82537	EventNpc_tm5nei_xiansuo01	9				interactinfo_82537		57553		
82538	EventNpc_tm5nei_xiansuo02	9				interactinfo_82538		57553		
82542	EventNpc_tm5nei_fight	17	DialogID_82542			interactinfo_82542	okmenu_82542	57559		NPC_tm5nei_xiaolong02;NPC_tm5nei_chuxiao01
82541	NPC_tm5nei_gb02	17	DialogID_82541	Item_tm5nei_tape-1		interactinfo_82541	okmenu_82541	57558		
82540	EventNpc_0tm5nei_mountain01	352				interactinfo_82540		57561		
82543	EventNpc_0tm5nei_mountain02	352				interactinfo_82543		57562	buf_0tm5nei_stop	
82544	NPC_0tm5nei_yxx02	352	DialogID_82544	Item_0tm5nei_yinque-1		interactinfo_82544	okmenu_82544	57564	buf_0tm5nei_dead	
82545	EventNpc_0tm5nei_jzt01	7				interactinfo_82545		57567		
82546	NPC_tm5nei_gb04	17	DialogID_82546		Item_tm5nei_hidden-1	interactinfo_82546	okmenu_82546	57560		
82548	npc_5nei_lzj_bird01	332	DialogID_82548			interactinfo_82548	okmenu_82548	57571	buf_5nei_birdclear	
82547	npc_5nei_lzj_bird01	332	DialogID_82547			interactinfo_82547	okmenu_82547	57570	buf_5nei_birdclear	
82549	NPC_tm5nei_guard	17	DialogID_82549		Item_tm5nei_tape-1	interactinfo_82549	okmenu_82549	57558		
