STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID	BufferID
16757	Npc_yxy_hs_005		DialogID_16757			interactinfo_16757	okmenu_16757		
16754			DialogID_16754			interactinfo_16754	okmenu_16754	30341	
16755						interactinfo_16755			
16756	Npc_yxy_hs_005					interactinfo_16756			
16802	event_hsp_mxm02	16				interactinfo_16802		30301	
16801	npc_hsp_mxm01	16	DialogID_16801			interactinfo_16801	okmenu_16801	30301	
16803	npc_hsp_mxm02	16	DialogID_16803			interactinfo_16803	okmenu_16803	30301	
16804	event_hsp_mxm01	16				interactinfo_16804		30301	
16805	npc_hsp_mxm03	16	DialogID_16805			interactinfo_16805	okmenu_16805	30302	
16806	event_hsp_mxm03	16	DialogID_16806			interactinfo_16806	okmenu_16806	30302	
16807	npc_hsp_mxm05	16	DialogID_16807			interactinfo_16807	okmenu_16807	30302	
16809	gather_hsp_mxm01	16				interactinfo_16809		30303	
16811	event_hsp_mxm04	16				interactinfo_16811		30303	
16818	npc_hsp_mxm09	16	DialogID_16818			interactinfo_16818	okmenu_16818		
16819	npc_hsp_mxm10	16	DialogID_16819			interactinfo_16819	okmenu_16819	30301	
16812	npc_hsp_mxm08	16	DialogID_16812			interactinfo_16812	okmenu_16812	30305	
16816	gather_hsp_mxm02	16				interactinfo_16816		30306	
16817	event_hsp_mxm06	16				interactinfo_16817		30306	
16820	npc_hsp_mxm12	16	DialogID_16820			interactinfo_16820	okmenu_16820	30304	
16814	npc_hsp_mxm09	16	DialogID_16814			interactinfo_16814	okmenu_16814	30305	
16815	event_hsp_mxm05	16				interactinfo_16815		30305	
16821	event_hsp_mxm07	16				interactinfo_16821		30305	
16822	npc_hsp_mxm13	16	DialogID_16822			interactinfo_16822	okmenu_16822	30304	
16909	event_hsp_mxm08								
16918	event_hsp_mxm09	16				interactinfo_16918		30314	
16923	event_hsp_mxm10	16				interactinfo_16923		30317	
16925	npc_hsp_mxm31	16	DialogID_16925			interactinfo_16925	okmenu_16925	30318	
16929									
16919	event_hsp_mxm13	16				interactinfo_16919		30314	
