STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID
15000								
15009								
15010								
15011								
15012								
15013								
15014								
15019								
15015								
15020	WorldNpc04636	13	DialogID_15020			interactinfo_15020	okmenu_15020	20014
15021	lmbj_biaoshi_001	13	DialogID_15021	UseItem_lmzc_002-1		interactinfo_15021	okmenu_15021	20015
15023								
15035	EventNpc_lmzc_04	14	DialogID_15035			interactinfo_15035	okmenu_15035	20005
15032	EventNpc_lmzc_03	14	DialogID_15032			interactinfo_15032	okmenu_15032	20004
15033	FuncNpc00107_a	14	DialogID_15033			interactinfo_15033	okmenu_15033	20004
15037			DialogID_15037			interactinfo_15037	okmenu_15037	20006
15022	lmbj_biaoshi_001	13	DialogID_15022	item_lmzc_001-3	UseItem_lmzc_002-1	interactinfo_15022	okmenu_15022	20015
15026	EventNpc_lmzc_02	14	DialogID_15026			interactinfo_15026	okmenu_15026	20003
15024	EventNpc_lmzc_01	14	DialogID_15024			interactinfo_15024	okmenu_15024	20002
15025		14	DialogID_15025			interactinfo_15025	okmenu_15025	20002
15027		14	DialogID_15027			interactinfo_15027	okmenu_15027	20003
15036		14	DialogID_15036			interactinfo_15036	okmenu_15036	20005
15034			DialogID_15034			interactinfo_15034	okmenu_15034	
15028	EventNpc_96zb_01	14	DialogID_15028			interactinfo_15028	okmenu_15028	
15029	EventNpc_96zb_02	14	DialogID_15029			interactinfo_15029	okmenu_15029	
15030	EventNpc_96zb_03	14	DialogID_15030			interactinfo_15030	okmenu_15030	
15031	EventNpc_96zb_04	14	DialogID_15031			interactinfo_15031	okmenu_15031	
15038	lmhd_008	13	DialogID_15038			interactinfo_15038	okmenu_15038	20016
15120	newmp_changfeng_004	15	DialogID_15120			interactinfo_15120	okmenu_15120	20096
15121	newschool_changfeng_rumen_011	15	DialogID_15121			interactinfo_15121	okmenu_15121	20096
15112	newschool_changfeng_rumen_008	15						
15126	newmp_changfeng_017		DialogID_15126		item_cf_cfl-30	interactinfo_15126	okmenu_15126	20361
15127	newmp_changfeng_017		DialogID_15127		item_cf_cfl-20	interactinfo_15127	okmenu_15127	20362
15128	newmp_changfeng_017		DialogID_15128		item_cf_cfl-10	interactinfo_15128	okmenu_15128	20363
15129	newmp_changfeng_016		DialogID_15129		item_cf_cfl-30	interactinfo_15129	okmenu_15129	20365
15130	newmp_changfeng_016		DialogID_15130		item_cf_cfl-20	interactinfo_15130	okmenu_15130	20366
15131	newmp_changfeng_016		DialogID_15131		item_cf_cfl-10	interactinfo_15131	okmenu_15131	20367
15132	newmp_changfeng_015		DialogID_15132		item_cf_cfl-30	interactinfo_15132	okmenu_15132	20369
