STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID
52000	WorldNpc04007	8	DialogID_52000			interactinfo_52000	okmenu_52000	18002
52005	qy_111030_jilegu_baimuyun	8	DialogID_52005			interactinfo_52005	okmenu_52005	18010
52009								
52006	lurknpc_jzt05	7	DialogID_52006			interactinfo_52006	okmenu_52006	18020
52007	lurknpc_jzt01	7	DialogID_52007			interactinfo_52007	okmenu_52007	18020
52008	qy_111030_jilegu_shenmihezi	8		key_111030_jilegu_jinhe		interactinfo_52008		18017
52001	JlgNpc019	8	DialogID_52001	key_qy_jilegu_xuelian		interactinfo_52001	okmenu_52001	
52002	JlgNpc015	8	DialogID_52002		key_qy_jilegu_xuelian	interactinfo_52002	okmenu_52002	
52003	WorldNpc03811	8	DialogID_52003			interactinfo_52003	okmenu_52003	
52004	Boss_qy_jilegu020_wufuren	8	DialogID_52004		key_qy_jilegu020_chaizi-1	interactinfo_52004	okmenu_52004	
52020	WorldNpc03996	8	DialogID_52020	key_120301_school04_bianzi-1|key_120301_school04_zhuizi-1		interactinfo_52020	okmenu_52020	18057
52021	WorldNpc03919	8	DialogID_52021			interactinfo_52021	okmenu_52021	
52022	lurknpc_jzt01	7	DialogID_52022			interactinfo_52022	okmenu_52022	
52023	lurknpc_jzt03	7	DialogID_52023			interactinfo_52023	okmenu_52023	
52024	lurknpc_jzt05	7	DialogID_52024			interactinfo_52024	okmenu_52024	
52025	WorldNpc03816	8	DialogID_52025			interactinfo_52025	okmenu_52025	
52029	WorldNpc03816	8	DialogID_52029			interactinfo_52029	okmenu_52029	
52026	lurknpc_jlg03	8	DialogID_52026			interactinfo_52026	okmenu_52026	
52027	lurknpc_jlg05	8	DialogID_52027			interactinfo_52027	okmenu_52027	
52028	lurknpc_jlg01	8	DialogID_52028			interactinfo_52028	okmenu_52028	
