STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID
51003	WorldNpc03441	7	DialogID_51003			interactinfo_51003	okmenu_51003	17804
51009	WorldNpc03451	7	DialogID_51009		yaopin_10200-10		okmenu_51009	
51004	WorldNpc03315	14	DialogID_51004			interactinfo_51004	okmenu_51004	
51006	Event_qy_jzt02	14	DialogID_51006			interactinfo_51006	okmenu_51006	
51014	WorldNpc03306	7				interactinfo_51014		
51015	Event_qy_jzt01	14				interactinfo_51015		
51001	Event_qy_jzt01	14				interactinfo_51001		
51016	WorldNpc03339	7	DialogID_51016	taskitem_qy_jzt004	taskitem_qy_jzt003	interactinfo_51016	okmenu_51016	17824
51017	qy_111030_junzitang_youyuandong_01	7	DialogID_51017			interactinfo_51017	okmenu_51017	17825
51018	WorldNpc03320	7	DialogID_51018		taskitem_qy_jzt004	interactinfo_51018	okmenu_51018	17826
51019	qy_111030_junzitang_sishi	7	DialogID_51019	useitem_jzt029-1		interactinfo_51019	okmenu_51019	17827
51020	qy_jzt_xingjunke	7	DialogID_51020			interactinfo_51020	okmenu_51020	17828
51021	qy_111030_junzitang_shanmen	7	DialogID_51021			interactinfo_51021	okmenu_51021	17829
51022	qy_111205_jzt_fodingbaoxiang	7		key_111205_jzt_baoyu01		interactinfo_51022		17841
51008	WorldNpc01304	14	DialogID_51008		taskitem_qy_jzt014-1	interactinfo_51008	okmenu_51008	
51023	WorldNpc03628	7	DialogID_51023	key_qy_jzt_yankang-1		interactinfo_51023	okmenu_51023	17854
51024	WorldNpc03305	7	DialogID_51024			interactinfo_51024	okmenu_51024	17858
51026	JZTNPC059	7	DialogID_51026			interactinfo_51026	okmenu_51026	17860
51025	Event_qy_jzt01	7	DialogID_51025			interactinfo_51025	okmenu_51025	17859
51029	Qiecuojzt005	7	DialogID_51029			interactinfo_51029	okmenu_51029	17862
51046	WorldNpc03339	7						
51034	WorldNpc03320	7	DialogID_51034			interactinfo_51034	okmenu_51034	17866
51030	WorldNpc03662	7	DialogID_51030	taskitem_qy_jzt006-1		interactinfo_51030	okmenu_51030	17863
51031	qy_111030_junzitang_xingjunke	7	DialogID_51031		taskitem_qy_jzt006-1	interactinfo_51031	okmenu_51031	17863
51035	Gather_qyjzt_002	7	DialogID_51035	taskitem_qy_jzt007-1		interactinfo_51035	okmenu_51035	17867
51036	WorldNpc03658	7	DialogID_51036		taskitem_qy_jzt007-1	interactinfo_51036	okmenu_51036	17867
51037	Gather_qyjzt_002	7	DialogID_51037	taskitem_qy_jzt007-1		interactinfo_51037	okmenu_51037	17867
51040	WorldNpc03663	7	DialogID_51040	taskitem_qy_jzt008-1		interactinfo_51040	okmenu_51040	17868
51033	WorldNpc03316	7	DialogID_51033		taskitem_qy_jzt011-1	interactinfo_51033	okmenu_51033	17864
51027	Event_qy_jzt02	7	DialogID_51027			interactinfo_51027	okmenu_51027	17861
51041	WorldNpc03316	7	DialogID_51041	taskitem_qy_jzt010-1	taskitem_qy_jzt009-1	interactinfo_51041	okmenu_51041	17869
51047	WorldNpc03305	7	DialogID_51047			interactinfo_51047	okmenu_51047	17870
51048	WorldNpc03308	7	DialogID_51048			interactinfo_51048	okmenu_51048	17872
51049	WorldNpc03320	7	DialogID_51049			interactinfo_51049	okmenu_51049	17873
51032	Gather_qyjzt_001	7	DialogID_51032	taskitem_qy_jzt011-1		interactinfo_51032	okmenu_51032	17864
51050	WorldNpc03428	7	DialogID_51050	taskitem_qy_jzt012-1		interactinfo_51050	okmenu_51050	17874
51051	WorldNpc03320	7	DialogID_51051		taskitem_qy_jzt012-1	interactinfo_51051	okmenu_51051	17874
51028								
51052	WorldNpc03306	7	DialogID_51052			interactinfo_51052	okmenu_51052	17875
51054	WorldNpc03315	7	DialogID_51054			interactinfo_51054	okmenu_51054	17877
51056	WorldNpc03468	7	DialogID_51056			interactinfo_51056	okmenu_51056	17884
51038	WorldNpc03658	7	DialogID_51038		taskitem_qy_jzt007-1	interactinfo_51038	okmenu_51038	
51039	Gather_qyjzt_002	7	DialogID_51039	taskitem_qy_jzt007-1		interactinfo_51039	okmenu_51039	
51057	WorldNpc03314	7	DialogID_51057			interactinfo_51057	okmenu_51057	17886
51058	WorldNpc03308	7	DialogID_51058			interactinfo_51058	okmenu_51058	17880
51055	JZTNPC127	7	DialogID_51055			interactinfo_51055	okmenu_51055	
51060	WorldNpc03613	7	DialogID_51060			interactinfo_51060	okmenu_51060	17879
51062	WorldNpc03308	7	DialogID_51062		stuff_tj_04-5	interactinfo_51062	okmenu_51062	17880
51059	WorldNpc03308	7	DialogID_51059		stuff_tj_04-5	interactinfo_51059	okmenu_51059	
51063	WorldNpc03308	7	DialogID_51063			interactinfo_51063	okmenu_51063	17884
51061	WorldNpc03308	7	DialogID_51061			interactinfo_51061	okmenu_51061	17896
51053	WorldNpc03306	7	DialogID_51053		key_120301_Jztbaoyu-1	interactinfo_51053	okmenu_51053	
51064	WorldNpc03315	7	DialogID_51064	key_120301_school03_gouzi-1		interactinfo_51064	okmenu_51064	17891
51065	WorldNpc03306	7	DialogID_51065	key_qyjzt_shiyb-1		interactinfo_51065	okmenu_51065	
