STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID	BufferID
36000	GatherClone022001	14	DialogID_36000			interactinfo_36000	okmenu_36000	11901	
36001	WorldNpc01432	14	DialogID_36001	qiyubao0002-1	key_book_wx_jh_yxjf01_1-1	interactinfo_36001	okmenu_36001	11902	
36002	WorldNpc01363	14	DialogID_36002	qiyubao0003-1		interactinfo_36002	okmenu_36002	11903	
36003	WorldNpc01128	14	DialogID_36003	qiyubao0005-1	key_book_wx_jl_dp03_1-1	interactinfo_36003	okmenu_36003	11905	
36004	GatherClone022002	14				interactinfo_36004		11906	
36005	GatherClone022003	14				interactinfo_36005		11907	
36006	GatherClone022004	14	DialogID_36006	qiyubao0008-1		interactinfo_36006	okmenu_36006	11908	
36007	WorldNpc01081	14	DialogID_36007			interactinfo_36007	okmenu_36007	11909	
36008	WorldNpc00935	14	DialogID_36008			interactinfo_36008	okmenu_36008	11909	
36009	WorldNpc01052	14	DialogID_36009		key_book_qinggong_5_1-1	interactinfo_36009	okmenu_36009	11909	
36010	WorldNpc01338	14	DialogID_36010	qiyubao0010-1	key_book_wx_jh_yxjf07_1-1	interactinfo_36010	okmenu_36010	11910	
36011	WorldNpc01532	14	DialogID_36011			interactinfo_36011	okmenu_36011	11910	
36012	GatherClone022005	14		qiyubao0011-1		interactinfo_36012		11911	
36013	WorldNpc01222	14	DialogID_36013		key_book_wx_jl_xxj03_1-1	interactinfo_36013	okmenu_36013	11912	
36023	sz074	14	DialogID_36023				okmenu_36023		
36031			DialogID_36031						
36020	WorldNpc01244	14	DialogID_36020			interactinfo_36020	okmenu_36020	11921	
36021	WorldNpc01244	14	DialogID_36021				okmenu_36021	11921	
36022	WorldNpc01244	14	DialogID_36022				okmenu_36022	11921	
36024	FuncNpc00106	14	DialogID_36024				okmenu_36024	11922	
36025	FuncNpc00106	14	DialogID_36025				okmenu_36025	11922	
36026	FuncNpc00106	14	DialogID_36026				okmenu_36026	11922	
36027	FuncNpc00106	14	DialogID_36027				okmenu_36027	11922	
36028	FuncNpc00106	14	DialogID_36028				okmenu_36028	11922	
36029	WorldNpc01150	14	DialogID_36029				okmenu_36029	11923	
36030	WorldNpc01150	14	DialogID_36030				okmenu_36030	11923	
36033			DialogID_36033				okmenu_36033	11925	
36034	WorldNpc01053	14	DialogID_36034			interactinfo_36034	okmenu_36034		
36035	WorldNpc01053	14	DialogID_36035			interactinfo_36035	okmenu_36035		
36037	WorldNpc01053	14	DialogID_36037				okmenu_36037		
36036	WorldNpc01053	14	DialogID_36036				okmenu_36036		
36038	WorldNpc01053	14	DialogID_36038				okmenu_36038		
36039									
36047	WorldNpc01244	14	DialogID_36047				okmenu_36047		
36046	WorldNpc01244	14	DialogID_36046				okmenu_36046		
36043	sz398	14	DialogID_36043				okmenu_36043		
36042	sz398	14	DialogID_36042				okmenu_36042		
36041	sz398	14	DialogID_36041				okmenu_36041		
36053		14	DialogID_36053				okmenu_36053		
36050		14	DialogID_36050				okmenu_36050		
36049		14	DialogID_36049				okmenu_36049		
36054		14	DialogID_36054				okmenu_36054		
36055			DialogID_36055				okmenu_36055		
36056		14	DialogID_36056				okmenu_36056		
36057		14	DialogID_36057				okmenu_36057		
36058		14	DialogID_36058				okmenu_36058		
36059		14	DialogID_36059				okmenu_36059		
36060		14	DialogID_36060				okmenu_36060		
36061		14	DialogID_36061				okmenu_36061		
36062			DialogID_36062				okmenu_36062		
36063			DialogID_36063				okmenu_36063		
36065	WorldNpc01503	14	DialogID_36065				okmenu_36065		
36045		14	DialogID_36045				okmenu_36045		
36066	WorldNpc01194	14	DialogID_36066				okmenu_36066		
36052	WorldNpc01194	14	DialogID_36052			interactinfo_36052	okmenu_36052		
36051	WorldNpc01503	14	DialogID_36051			interactinfo_36051	okmenu_36051		
36040	sz398	14	DialogID_36040			interactinfo_36040	okmenu_36040		
36076	ïÚÊ¦NPC		DialogID_36076			interactinfo_36076	okmenu_36076		
36077	NpcClone011077		DialogID_36077			interactinfo_36077	okmenu_36077		
36078	NpcClone011078		DialogID_36078			interactinfo_36078	okmenu_36078		
36081	npc_cwqy_zhijiang	3	DialogID_36081			interactinfo_36081	okmenu_36081	12226	
36090	FuncNpc00606	17							
36082	WorldNpc09601	17	DialogID_36082			interactinfo_36082	okmenu_36082	12230	
36083	WorldNpc09601	17	DialogID_36083			interactinfo_36083	okmenu_36083	12230	
36084	WorldNpc09601	17	DialogID_36084			interactinfo_36084	okmenu_36084	12231	
36085	WorldNpc09601	17	DialogID_36085			interactinfo_36085	okmenu_36085	12231	
36086	WorldNpc09641	17	DialogID_36086			interactinfo_36086	okmenu_36086	12232	
36087	WorldNpc09641	17	DialogID_36087			interactinfo_36087	okmenu_36087	12232	
36088	WorldNpc09641	17	DialogID_36088			interactinfo_36088	okmenu_36088	12232	
36089	FuncNpc00606	17	DialogID_36089			interactinfo_36089	okmenu_36089	12233	
36091	npc_cwqy_ergou	3	DialogID_36091			interactinfo_36091	okmenu_36091	12227	
36079	EventNpc_cwqy_cc	14	DialogID_36079			interactinfo_36079	okmenu_36079	12222	
36080	Npc_cwqy_zydhz2	14	DialogID_36080			interactinfo_36080	okmenu_36080	12112	
36115						interactinfo_36115		12252	
