STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID
53000	funnpcqy012	9	DialogID_53000			interactinfo_53000	okmenu_53000	18202
53010	WorldNpc02206	9	DialogID_53010		key_tangmen_3nei_mimaben		okmenu_53010	
53011	WorldNpc02206	9	DialogID_53011		key_tangmen_3nei_mimaben-1	interactinfo_53011	okmenu_53011	18209
53014	WorldNpc02206	9						
53024								
53031	WorldNpc02203	9	DialogID_53031		key_tangmen_3nei_13feng-1	interactinfo_53031	okmenu_53031	
53019	EventNpc_qy_tangmen_task18214	17				interactinfo_53019		18214
53035	WorldNpc02203	9	DialogID_53035	key_tangmen_3nei_plan02-1		interactinfo_53035	okmenu_53035	18227
53030	WorldNpc02203	9	DialogID_53030	key_tangmen_3nei_miling09-1		interactinfo_53030	okmenu_53030	18226
53034	WorldNpc02203	9	DialogID_53034	key_tangmen_3nei_plan01-1		interactinfo_53034	okmenu_53034	18225
53025	WorldNpc02203	9	DialogID_53025			interactinfo_53025	okmenu_53025	18221,18225
53032	WorldNpc02203	9	DialogID_53032			interactinfo_53032	okmenu_53032	18224,18217
53005	EventNpc_qy_tangmen_end	27				interactinfo_53005		
53002	WorldNpc02203	9	DialogID_53002			interactinfo_53002	okmenu_53002	
53001			DialogID_53001			interactinfo_53001	okmenu_53001	18210
53033	WorldNpc02203	9	DialogID_53033			interactinfo_53033	okmenu_53033	18224,18217
53026	WorldNpc02203	9	DialogID_53026			interactinfo_53026	okmenu_53026	18222
53021	WorldNpc02203	9	DialogID_53021	key_tangmen_3nei_miling02-1		interactinfo_53021	okmenu_53021	18217
53036	WorldNpc02203	9	DialogID_53036			interactinfo_53036	okmenu_53036	18212
53022	WorldNpc02203	9	DialogID_53022			interactinfo_53022	okmenu_53022	
53006	WorldNpc02203	9	DialogID_53006			interactinfo_53006	okmenu_53006	18226
53037	WorldNpc02203	9				interactinfo_53037		
53007	WorldNpc02203	9	DialogID_53007			interactinfo_53007	okmenu_53007	18207
53027	EventNpc_qy_tangmen_task18223	17				interactinfo_53027		18223
53003	WorldNpc02203	9	DialogID_53003			interactinfo_53003	okmenu_53003	18215
53012	WorldNpc02203	9	DialogID_53012			interactinfo_53012	okmenu_53012	18212
53013	WorldNpc02203	9	DialogID_53013	key_tangmen_3nei_miling01-1		interactinfo_53013	okmenu_53013	18212
53004	WorldNpc02203	9	DialogID_53004			interactinfo_53004	okmenu_53004	18215
53029	WorldNpc02203	9	DialogID_53029			interactinfo_53029	okmenu_53029	18221,18225
53041	NPC_qygp_sbfed01	14	DialogID_53041			interactinfo_53041	okmenu_53041	18244
53042	EvenNPC_qygp_suzhou03	14	DialogID_53042			interactinfo_53042	okmenu_53042	
53008	EvenNPC_qygp_suzhou02	14				interactinfo_53008		18241
53040	EvenNPC_qygp_suzhou01	14				interactinfo_53040		18241
