STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID	HideNpcID
38841	WorldNpc10569	16	DialogID_38841			interactinfo_38841	okmenu_38841	82001	
38842	WorldNpc10567	16	DialogID_38842			interactinfo_38842	okmenu_38842	82001	
38843	WorldNpc10052	16	DialogID_38843			interactinfo_38843	okmenu_38843	82002	
38844	WorldNpc10052	16	DialogID_38844			interactinfo_38844	okmenu_38844	82003	
38845	WorldNpc10570	16	DialogID_38845			interactinfo_38845	okmenu_38845	82003	
38847	WorldNpc10570	16	DialogID_38847			interactinfo_38847	okmenu_38847	82005	
38848	WorldNpc10591	16	DialogID_38848			interactinfo_38848	okmenu_38848	82005	
38849	WorldNpc10575	16	DialogID_38849			interactinfo_38849	okmenu_38849	82006	
38850	WorldNpc10568	16	DialogID_38850			interactinfo_38850	okmenu_38850	82006	
38852	WorldNpc10569	16	DialogID_38852			interactinfo_38852	okmenu_38852	82007	
38853	WorldNpc10569	16	DialogID_38853			interactinfo_38853	okmenu_38853	82008	
38854	WorldNpc10568	16	DialogID_38854			interactinfo_38854	okmenu_38854	82009	
38855	WorldNpc10567	16	DialogID_38855			interactinfo_38855	okmenu_38855	82009	
38856	WorldNpc10591	16	DialogID_38856			interactinfo_38856	okmenu_38856	82010	
38857	WorldNpc10593	16	DialogID_38857			interactinfo_38857	okmenu_38857	82011	
38859	WorldNpc10568	16	DialogID_38859			interactinfo_38859	okmenu_38859	82012	
38860	WorldNpc10599	16	DialogID_38860			interactinfo_38860	okmenu_38860	82012	
38861	WorldNpc10589	16	DialogID_38861			interactinfo_38861	okmenu_38861	82013	
38862	WorldNpc10054	16	DialogID_38862			interactinfo_38862	okmenu_38862	82014	
38863	WorldNpc10569	16	DialogID_38863			interactinfo_38863	okmenu_38863	82015	
38864	WorldNpc10570	16	DialogID_38864			interactinfo_38864	okmenu_38864	82015	
38865	WorldNpc10589	16	DialogID_38865			interactinfo_38865	okmenu_38865	82015	
38867	WorldNpc10054	16	DialogID_38867			interactinfo_38867	okmenu_38867	82016	
38866	WorldNpc10054	16	DialogID_38866			interactinfo_38866	okmenu_38866	82016	
38868	WorldNpc10054	16	DialogID_38868			interactinfo_38868	okmenu_38868	82016	
38840	WorldNpc10587	16	DialogID_38840			interactinfo_38840	okmenu_38840	82000	
38846	WorldNpc10587	16	DialogID_38846			interactinfo_38846	okmenu_38846	82004	
38858	WorldNpc10587	16	DialogID_38858			interactinfo_38858	okmenu_38858	82011	
38851	WorldNpc10600	16	DialogID_38851			interactinfo_38851	okmenu_38851	82007	
