STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID
44600								
44601	WorldNpc06181	22	DialogID_44601			interactinfo_44601	okmenu_44601	83151
44609								83157
44628								
44611	WorldNpc06125	22	DialogID_44611			interactinfo_44611	okmenu_44611	
44613	WorldNpc06280	22	DialogID_44613			interactinfo_44613	okmenu_44613	
44615	WorldNpc06128	22	DialogID_44615			interactinfo_44615	okmenu_44615	
44621	WorldNpc06073	22	DialogID_44621			interactinfo_44621	okmenu_44621	
44622	WorldNpc06137	22	DialogID_44622			interactinfo_44622	okmenu_44622	
44624	WorldNpc05778	22	DialogID_44624			interactinfo_44624	okmenu_44624	
44627	WorldNpc05801	22	DialogID_44627			interactinfo_44627	okmenu_44627	
44630	WorldNpc06116	22	DialogID_44630			interactinfo_44630	okmenu_44630	
44637	WorldNpc06372	22	DialogID_44637			interactinfo_44637	okmenu_44637	
44638	WorldNpc06373	22	DialogID_44638			interactinfo_44638	okmenu_44638	
44639	WorldNpc06374	22	DialogID_44639			interactinfo_44639	okmenu_44639	
44640	WorldNpc06378	22	DialogID_44640			interactinfo_44640	okmenu_44640	
44641	WorldNpc06381	22	DialogID_44641			interactinfo_44641	okmenu_44641	
44643	wd002	22	DialogID_44643			interactinfo_44643	okmenu_44643	
44645	WorldNpc06112	22	DialogID_44645			interactinfo_44645	okmenu_44645	
44647	WorldNpc06134	22	DialogID_44647			interactinfo_44647	okmenu_44647	
44618	WorldNpc06135	22	DialogID_44618			interactinfo_44618	okmenu_44618	
44634	WorldNpc06127	22	DialogID_44634			interactinfo_44634	okmenu_44634	
