STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID
47787	WorldNpc07923	25	DialogID_47787			interactinfo_47787	okmenu_47787	83818
47792	WorldNpc07930	25	DialogID_47792			interactinfo_47792	okmenu_47792	83821
47793	WorldNpc07925	25	DialogID_47793			interactinfo_47793	okmenu_47793	83821
47780	WorldNpc07933	25	DialogID_47780			interactinfo_47780	okmenu_47780	83811
47781	WorldNpc07931	25	DialogID_47781			interactinfo_47781	okmenu_47781	83812
47782	WorldNpc07932	25	DialogID_47782			interactinfo_47782	okmenu_47782	83813
47783	WorldNpc07924	25	DialogID_47783			interactinfo_47783	okmenu_47783	83814
47784	WorldNpc07920	25	DialogID_47784			interactinfo_47784	okmenu_47784	83815
47785	WorldNpc07921	25	DialogID_47785			interactinfo_47785	okmenu_47785	83816
47786	WorldNpc07922	25	DialogID_47786			interactinfo_47786	okmenu_47786	83817
47788	WorldNpc07928	25	DialogID_47788			interactinfo_47788	okmenu_47788	83819
47789	WorldNpc07929	25	DialogID_47789			interactinfo_47789	okmenu_47789	83819
47790	WorldNpc07929	25	DialogID_47790			interactinfo_47790	okmenu_47790	83820
47791	WorldNpc07930	25	DialogID_47791			interactinfo_47791	okmenu_47791	83820
47794	WorldNpc07925	25	DialogID_47794			interactinfo_47794	okmenu_47794	83822
47795	WorldNpc07928	25	DialogID_47795			interactinfo_47795	okmenu_47795	83822
47796	WorldNpc07932	25	DialogID_47796			interactinfo_47796	okmenu_47796	83823
47798	WorldNpc07931	25	DialogID_47798			interactinfo_47798	okmenu_47798	83825
47797	WorldNpc07933	25	DialogID_47797			interactinfo_47797	okmenu_47797	83824
